Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,5.0,1
80112,San Carlos Hotel,1.0,1
93396,The Iroquois,9.333333333333334,3
93338,Hotel Beacon,4.666666666666667,6
93419,"The Carlyle, A Rosewood Hotel",5.0,3
224224,"The Ritz-Carlton New York, Central Park",4.333333333333333,3
502407,AKA United Nations,3.0,2
121981,Americana Inn,2.0,1
234762,Buckingham Hotel,4.0,1
225944,Washington Hotel,3.0,1
93380,The Aladdin,1.0,1
99357,Mayfair Hotel,2.6666666666666665,3
239836,"The St. Regis Club at the Essex House, New York",2.75,4
93333,Wolcott Hotel,2.0,1
99292,Riverside Hotel,3.0,1
217613,Chocolat Hostel,1.3333333333333333,3
224229,Hotel Riverside Studios,3.5,2
93356,New York Inn,1.0,2
99287,West Side Inn,4.0,1
122007,Manhattan Broadway Hotel,1.5,6
93345,Skyline Hotel,3.0,2
246797,Park 79 Hotel,5.0,2
93539,Riverside Tower,2.8,5
80093,Murray Hill Inn,3.75,4
142114,Days Inn Hotel New York City - Broadway,3.75,4
93344,Holiday Inn Midtown / 57th St,4.0,2
93357,Park Savoy,4.0,3
93581,The Inn at Irving Place,1.5,2
112066,W New York,4.0,5
80081,Chelsea Inn - 17th Street,5.0,1
208888,Chelsea Star Hotel,5.0,1
113297,Beekman Tower Hotel,2.5,4
99447,Comfort Inn Central Park West,2.5,2
93421,Hotel Carter,3.2857142857142856,7
80075,Amsterdam Court Hotel,3.0,1
93403,Bedford Hotel,5.0,1
223022,Holiday Inn SoHo New York,3.0,2
93374,Off Soho Suites,17.0,1
93334,Excelsior Hotel,4.0,2
112062,The Time,3.7142857142857144,7
93475,New York Marriott East Side,3.0,1
99766,The Roosevelt Hotel,4.5,2
93625,Hotel Wales,3.5,2
93390,Hotel Belleclaire,7.5,4
93575,The Franklin,4.5,2
93351,Cosmopolitan Hotel - Tribeca,3.6666666666666665,3
93561,Soho Grand Hotel,5.0,1
122015,Hotel Grand Union,5.0,1
93398,60 Thompson - A Thompson Hotel,11.0,1
121987,The Milburn Hotel,3.4,5
214197,Hotel Pennsylvania New York,1.6875,32
99382,The Marcel at Gramercy,3.111111111111111,9
93612,The Shoreham,2.6666666666666665,3
93586,The Mansfield,4.4,5
99307,Wellington Hotel,3.1818181818181817,11
99774,La Quinta Inn Manhattan,3.25,4
93520,Park Central,4.0,5
223023,Hudson New York,3.107142857142857,28
99333,Washington Jefferson Hotel,3.0,8
93452,Herald Square Hotel,3.7142857142857144,7
93622,Travel Inn Hotel New York,4.0,4
292140,Sohotel,2.0,1
208455,Tribeca Grand Hotel,17.0,1
112041,Larchmont Hotel,3.4,5
93486,Millennium Hotel Broadway,2.75,8
93437,Edison Hotel Times Square,4.428571428571429,7
93464,Le Parker Meridien,3.375,16
93579,The Helmsley Park Lane,6.5,2
93466,Doubletree Hotel Metropolitan - New York City,2.2,5
209382,ONE UN New York,6.0,6
112039,Hotel Newton,3.0,1
93467,Affinia Gardens,4.0,1
93335,The Kimberly Hotel,4.5,2
126257,Hotel 31,11.333333333333334,3
224226,City Club Hotel,4.0,1
220243,W New York - Union Square,5.0,2
93450,Grand Hyatt New York,2.75,4
93571,"Carlton Hotel, Autograph Collection",3.0,1
611947,Hilton New York,4.333333333333333,3
93568,"Algonquin Hotel Times Square, Autograph Collection",9.666666666666666,3
121996,Comfort Inn Manhattan,4.0,1
217630,414 Hotel,5.0,1
93435,Eastgate Tower,4.0,2
93516,Novotel New York Times Square,2.5,2
93358,Pod 51,2.0,2
99371,Courtyard by Marriott New York Manhattan / Midtown East,3.0,1
93618,Waldorf Astoria New York,4.5,2
112021,Broadway at Times Square Hotel,4.0,1
93569,The Belvedere,4.181818181818182,11
99288,On The Ave Hotel,6.818181818181818,11
99368,Courtyard by Marriott New York Manhattan / Times Square South,3.0,1
208454,Sofitel New York,4.0,1
93462,InterContinental New York Barclay,5.6,5
93543,Affinia Shelburne,4.0,1
93603,"The Pierre, A Taj Hotel, New York",2.0,1
93562,Affinia Manhattan,5.0,1
113311,The Peninsula New York,5.0,1
93346,Salisbury Hotel,4.5,2
112064,Warwick New York Hotel,3.3333333333333335,3
99281,The Lucerne Hotel,7.333333333333333,6
99354,Moderne Hotel,4.0,1
217626,The Benjamin,4.0,1
222959,Ritz-Carlton Battery Park,5.0,3
249712,The Westin New York at Times Square,3.3333333333333335,3
93614,The St. Regis New York,3.5,2
99392,Hotel Metro,5.0,1
93454,Crowne Plaza Times Square Manhattan,3.5,2
93589,The Michelangelo Hotel,5.0,2
217616,The Muse Hotel New York,4.428571428571429,7
235238,W New York - Times Square,4.0,1
223024,Hotel Chandler,4.4,5
93624,The Towers of the Waldorf Astoria,5.0,1
93507,New York Marriott Marquis,4.5,2
93534,Renaissance New York Hotel Times Square,5.0,2
113300,Omni Berkshire Place,4.5,2
126260,The New York Palace Hotel,3.0,3
208453,Hilton Times Square,5.0,2
93352,Doubletree Guest Suites Times Square,9.333333333333334,3
113317,Casablanca Hotel Times Square,5.0,1
224221,Library Hotel,5.0,2
99762,Hotel Giraffe,4.0,1
