Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,4.5,2
80112,San Carlos Hotel,8.419354838709678,31
93396,The Iroquois,7.590909090909091,22
93338,Hotel Beacon,7.3478260869565215,69
93419,"The Carlyle, A Rosewood Hotel",8.142857142857142,14
75698,BEST WESTERN PLUS Seaport Inn Downtown,6.625,8
224224,"The Ritz-Carlton New York, Central Park",7.857142857142857,21
113309,Fitzpatrick Manhattan,11.0,8
502407,AKA United Nations,3.0,2
112053,The Mercer Hotel,7.8,5
93364,Hotel Deauville,6.882352941176471,17
93401,Comfort Inn Chelsea,7.357142857142857,28
121981,Americana Inn,5.625,16
234762,Buckingham Hotel,5.2727272727272725,22
246797,Park 79 Hotel,2.707317073170732,41
284904,Senton Hotel,1.0,1
122011,Hotel Riverview,2.6666666666666665,3
225944,Washington Hotel,1.75,4
93380,The Aladdin,2.4285714285714284,7
249780,BEST WESTERN PLUS Queens Court Hotel,7.5,2
290982,La Semana Hotel,1.0,1
267183,World Hotel,1.0,2
99357,Mayfair Hotel,2.4583333333333335,24
93333,Wolcott Hotel,5.40625,32
260396,The Amsterdam Inn,2.6666666666666665,6
122022,Box Tree Inn,8.0,3
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",12.5,2
281695,Metro-Home / United Nations Suites,12.0,2
93384,Allerton,2.0,6
239836,"The St. Regis Club at the Essex House, New York",3.4615384615384617,13
99287,West Side Inn,2.1875,48
217613,Chocolat Hostel,2.054054054054054,37
320562,YourStay MidTown Apartments,6.538461538461538,13
99292,Riverside Hotel,2.0,4
93356,New York Inn,1.3157894736842106,19
290978,Hotel St. James,3.0434782608695654,23
224229,Hotel Riverside Studios,2.3333333333333335,9
93345,Skyline Hotel,5.397260273972603,73
122007,Manhattan Broadway Hotel,1.8409090909090908,44
249710,Morningside Inn,6.25,4
219622,Chelsea Hotel,3.272727272727273,11
235228,BEST WESTERN Convention Center Hotel,7.111111111111111,9
256738,Envoy Club Suites,8.444444444444445,9
267182,Windsor Hotel,2.5,2
93539,Riverside Tower,4.318181818181818,22
93440,Flatotel,4.130434782608695,23
249656,The Premier Hotel,5.0,1
93470,Jolly Hotel Madison Towers,5.388888888888889,18
80093,Murray Hill Inn,4.62962962962963,27
142114,Days Inn Hotel New York City - Broadway,4.365384615384615,52
93344,Holiday Inn Midtown / 57th St,5.5588235294117645,34
93357,Park Savoy,3.64,25
596200,Comfort Inn Convention Center,6.4,20
93581,The Inn at Irving Place,2.75,4
112066,W New York,3.7555555555555555,45
80081,Chelsea Inn - 17th Street,4.777777777777778,9
113297,Beekman Tower Hotel,7.0,22
93633,The Helmsley Carlton House,5.0,1
208888,Chelsea Star Hotel,3.590909090909091,22
93421,Hotel Carter,2.2560975609756095,82
99447,Comfort Inn Central Park West,5.217391304347826,23
217627,Belnord Hotel,4.173913043478261,23
80075,Amsterdam Court Hotel,4.38,50
93403,Bedford Hotel,6.638888888888889,36
223022,Holiday Inn SoHo New York,5.0,19
99321,The Manhattan Club,5.416666666666667,12
80107,Roger Smith Hotel,11.25,8
93374,Off Soho Suites,8.285714285714286,7
93334,Excelsior Hotel,5.024390243902439,41
112062,The Time,4.2105263157894735,57
93475,New York Marriott East Side,7.32,25
122015,Hotel Grand Union,5.6875,32
99766,The Roosevelt Hotel,6.078125,128
