Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,5.6,5
80112,San Carlos Hotel,12.403225806451612,62
93396,The Iroquois,10.159090909090908,44
93338,Hotel Beacon,11.545454545454545,154
93419,"The Carlyle, A Rosewood Hotel",11.818181818181818,22
75698,BEST WESTERN PLUS Seaport Inn Downtown,12.695652173913043,23
224224,"The Ritz-Carlton New York, Central Park",11.46938775510204,49
113309,Fitzpatrick Manhattan,11.705882352941176,17
502407,AKA United Nations,3.0,2
112053,The Mercer Hotel,10.058823529411764,17
93382,Washington Square Hotel,10.88,50
99321,The Manhattan Club,8.217391304347826,23
93364,Hotel Deauville,11.853658536585366,41
93401,Comfort Inn Chelsea,9.633802816901408,71
121981,Americana Inn,13.782608695652174,69
234762,Buckingham Hotel,7.775,40
246797,Park 79 Hotel,7.1125,80
284904,Senton Hotel,1.0,1
122011,Hotel Riverview,8.88888888888889,9
557499,Mount Royal Hotel & Hostel,7.896551724137931,29
93380,The Aladdin,3.8333333333333335,12
225944,Washington Hotel,1.75,4
290982,La Semana Hotel,4.0,3
249780,BEST WESTERN PLUS Queens Court Hotel,6.333333333333333,3
93333,Wolcott Hotel,9.4875,80
99357,Mayfair Hotel,6.446808510638298,47
267183,World Hotel,2.3333333333333335,3
580078,Woogo Apartments - Times Square,11.15,20
260396,The Amsterdam Inn,9.772727272727273,22
99287,West Side Inn,4.901234567901234,81
530265,Metro Home / Trump Park,18.0,1
235236,Oakwood Cosmopolitan,21.0,1
122022,Box Tree Inn,7.0,4
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",10.666666666666666,3
281695,Metro-Home / United Nations Suites,9.0,5
93384,Allerton,2.0,6
239836,"The St. Regis Club at the Essex House, New York",9.565217391304348,23
320562,YourStay MidTown Apartments,9.041666666666666,48
217613,Chocolat Hostel,3.152542372881356,59
99292,Riverside Hotel,4.833333333333333,6
290978,Hotel St. James,7.777777777777778,99
93356,New York Inn,3.056603773584906,53
93345,Skyline Hotel,7.515384615384615,130
224229,Hotel Riverside Studios,6.478260869565218,23
122007,Manhattan Broadway Hotel,3.686046511627907,86
290987,St. Marks Hotel,11.8,10
249710,Morningside Inn,8.705882352941176,17
219622,Chelsea Hotel,4.777777777777778,18
235228,BEST WESTERN Convention Center Hotel,11.130434782608695,23
256738,Envoy Club Suites,12.423076923076923,26
93440,Flatotel,7.796296296296297,54
267182,Windsor Hotel,10.2,5
93539,Riverside Tower,6.890909090909091,55
249656,The Premier Hotel,6.0,3
93470,Jolly Hotel Madison Towers,8.745098039215685,51
142114,Days Inn Hotel New York City - Broadway,6.8,100
224217,Clarion Hotel Park Avenue,19.0,8
80093,Murray Hill Inn,6.523809523809524,42
93344,Holiday Inn Midtown / 57th St,9.281553398058252,103
99443,Astor on the Park,11.862068965517242,29
93357,Park Savoy,6.27027027027027,37
596200,Comfort Inn Convention Center,8.212121212121213,33
93421,Hotel Carter,4.792727272727273,275
112066,W New York,7.242857142857143,140
93581,The Inn at Irving Place,5.75,8
550885,254 East Vacation,4.0,1
80081,Chelsea Inn - 17th Street,7.45,20
113297,Beekman Tower Hotel,12.926470588235293,68
208888,Chelsea Star Hotel,8.76923076923077,52
93633,The Helmsley Carlton House,10.333333333333334,3
217627,Belnord Hotel,8.797297297297296,74
99447,Comfort Inn Central Park West,8.538461538461538,52
80075,Amsterdam Court Hotel,7.837606837606837,117
93403,Bedford Hotel,10.4875,80
223022,Holiday Inn SoHo New York,9.195652173913043,46
80107,Roger Smith Hotel,12.578947368421053,19
93334,Excelsior Hotel,8.55952380952381,84
93374,Off Soho Suites,7.5625,16
112062,The Time,7.760683760683761,117
93475,New York Marriott East Side,11.764705882352942,68
99766,The Roosevelt Hotel,8.94758064516129,248
122015,Hotel Grand Union,10.242718446601941,103
93561,Soho Grand Hotel,10.825396825396826,126
93390,Hotel Belleclaire,10.366666666666667,120
93625,Hotel Wales,10.533333333333333,15
93575,The Franklin,7.791666666666667,24
214197,Hotel Pennsylvania New York,5.3509544787077825,681
112019,Chelsea Savoy Hotel,8.722222222222221,18
93351,Cosmopolitan Hotel - Tribeca,13.817567567567568,148
217622,Dylan Hotel,8.24390243902439,41
223021,Club Quarters Midtown,9.625,32
93565,Hotel Stanford,10.779661016949152,59
99365,Da Vinci Hotel,7.366666666666666,30
99307,Wellington Hotel,8.423645320197044,203
93398,60 Thompson - A Thompson Hotel,10.777777777777779,63
93339,Hilton Manhattan East,11.527777777777779,36
121987,The Milburn Hotel,12.033333333333333,60
99382,The Marcel at Gramercy,6.885057471264368,87
93612,The Shoreham,9.0,60
93586,The Mansfield,8.621621621621621,74
217623,Club Quarters Wall Street,11.048780487804878,41
281697,The Alex Hotel,8.53968253968254,63
75688,Dream New York,7.918367346938775,98
99774,La Quinta Inn Manhattan,8.38679245283019,106
223023,Hudson New York,6.479041916167665,334
93520,Park Central,8.006896551724138,290
99333,Washington Jefferson Hotel,6.671875,64
584986,Holiday Inn Express New York City Fifth Ave,15.0,4
292140,Sohotel,9.244444444444444,45
281234,Four Points by Sheraton Manhattan Chelsea,13.714285714285714,49
93452,Herald Square Hotel,9.405405405405405,74
93622,Travel Inn Hotel New York,12.694656488549619,131
93466,Doubletree Hotel Metropolitan - New York City,8.251046025104603,239
208455,Tribeca Grand Hotel,7.26984126984127,63
488793,Solita Soho Hotel,14.96,25
93486,Millennium Hotel Broadway,9.969696969696969,132
112041,Larchmont Hotel,9.147058823529411,34
93437,Edison Hotel Times Square,9.47867298578199,211
287626,Hotel Gansevoort,11.272727272727273,77
99388,Ramada Eastside,10.309859154929578,71
93464,Le Parker Meridien,8.532663316582914,199
99391,Courtyard New York Manhattan/Fifth Avenue,8.044444444444444,45
93579,The Helmsley Park Lane,7.48,75
93607,Loews Regency Hotel,8.58974358974359,39
209382,ONE UN New York,10.581196581196581,117
93379,Hotel 17,9.885416666666666,96
112039,Hotel Newton,10.609375,128
93489,Murray Hill East Suites,12.85483870967742,62
93335,The Kimberly Hotel,13.688311688311689,77
93467,Affinia Gardens,6.375,16
126257,Hotel 31,10.313432835820896,134
93583,The Lombardy,20.5,2
518280,Room Mate Grace,17.829545454545453,88
93337,Kitano New York,11.282051282051283,39
254605,Equity Point New York @ Times Square,13.205882352941176,136
224226,City Club Hotel,10.0,29
93571,"Carlton Hotel, Autograph Collection",10.356521739130434,115
122004,Phillips Club,6.375,8
93450,Grand Hyatt New York,10.011049723756907,181
313862,Soho House New York,12.0,7
220243,W New York - Union Square,12.166666666666666,36
611947,Hilton New York,9.860696517412935,201
223019,Broadway Plaza Hotel,11.101851851851851,108
251906,The Wall Street Inn,9.11111111111111,9
93568,"Algonquin Hotel Times Square, Autograph Collection",12.314606741573034,89
121996,Comfort Inn Manhattan,9.865384615384615,104
80083,Chelsea Lodge,12.395348837209303,43
224223,"nyma, the New York Manhattan Hotel",12.430379746835444,158
225942,Park South Hotel,11.666666666666666,69
455186,JW Marriott Essex House New York,11.655737704918034,61
217630,414 Hotel,11.868852459016393,61
262330,Millenium Hilton,11.53551912568306,183
93516,Novotel New York Times Square,10.020689655172413,145
93435,Eastgate Tower,9.846153846153847,52
93358,Pod 51,7.883333333333334,60
93618,Waldorf Astoria New York,10.133333333333333,240
93477,New York Marriott Downtown,12.846153846153847,39
99371,Courtyard by Marriott New York Manhattan / Midtown East,10.10344827586207,29
112021,Broadway at Times Square Hotel,11.143617021276595,188
93569,The Belvedere,12.642023346303501,514
498869,Hampton Inn Madison Square Garden,17.0,14
502408,Affinia 50,16.47741935483871,155
122005,The New Yorker Hotel,8.285714285714286,7
514488,Hotel on Rivington,14.976744186046512,43
99288,On The Ave Hotel,8.275,160
208454,Sofitel New York,13.611764705882353,340
99368,Courtyard by Marriott New York Manhattan / Times Square South,14.975,40
93462,InterContinental New York Barclay,10.859649122807017,171
157057,Chambers Hotel,10.545454545454545,22
121999,AKA Sutton Place,5.0,1
93543,Affinia Shelburne,14.16842105263158,95
93606,Hotel Plaza Athenee New York,11.692307692307692,13
93562,Affinia Manhattan,12.957805907172995,237
93445,The Blakely New York,16.270833333333332,48
93603,"The Pierre, A Taj Hotel, New York",8.833333333333334,24
93430,70 park avenue hotel - a Kimpton Hotel,11.166666666666666,42
99354,Moderne Hotel,8.56,50
93346,Salisbury Hotel,11.42134831460674,178
113311,The Peninsula New York,10.758620689655173,29
112064,Warwick New York Hotel,10.1015625,128
113298,Four Seasons Hotel New York,12.821428571428571,28
281071,"Mandarin Oriental, New York",10.160714285714286,56
99281,The Lucerne Hotel,12.793650793650794,126
217626,The Benjamin,12.90677966101695,118
222959,Ritz-Carlton Battery Park,12.49367088607595,79
268216,Hampton Inn Manhattan Chelsea,10.972222222222221,36
249712,The Westin New York at Times Square,11.127035830618892,307
99327,Fitzpatrick Grand Central Hotel,9.020833333333334,48
99392,Hotel Metro,13.079365079365079,126
93614,The St. Regis New York,14.291666666666666,24
93454,Crowne Plaza Times Square Manhattan,9.775862068965518,116
93589,The Michelangelo Hotel,11.376,125
217616,The Muse Hotel New York,10.715277777777779,144
235238,W New York - Times Square,10.813559322033898,118
273530,The Maritime Hotel,10.533333333333333,30
223024,Hotel Chandler,9.489795918367347,49
93507,New York Marriott Marquis,9.898230088495575,226
93624,The Towers of the Waldorf Astoria,9.307692307692308,13
93534,Renaissance New York Hotel Times Square,10.333333333333334,90
113300,Omni Berkshire Place,11.206349206349206,63
126260,The New York Palace Hotel,12.454545454545455,77
93585,Lowell Hotel,15.0,9
93623,Trump International Hotel and Tower,13.659090909090908,44
292142,Affinia Dumont,15.098837209302326,172
99352,Hilton Garden Inn Times Square,15.217391304347826,23
80087,BEST WESTERN PLUS Hospitality House,18.14814814814815,27
208453,Hilton Times Square,13.307692307692308,156
93457,The Hampton Inn Times Square North,18.714285714285715,21
93352,Doubletree Guest Suites Times Square,11.47191011235955,178
113317,Casablanca Hotel Times Square,12.447154471544716,123
80092,Inn New York City,14.333333333333334,6
224214,The Bryant Park Hotel,8.837837837837839,37
93340,Hotel Elysee,13.344827586206897,29
122020,Chelsea Pines Inn,7.75,16
224221,Library Hotel,13.17741935483871,62
99762,Hotel Giraffe,11.40625,64
