Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,16.166666666666668,18
80112,San Carlos Hotel,19.85972850678733,221
93396,The Iroquois,20.883895131086142,267
93338,Hotel Beacon,17.327319587628867,388
224224,"The Ritz-Carlton New York, Central Park",19.5,134
93419,"The Carlyle, A Rosewood Hotel",16.636363636363637,66
75698,BEST WESTERN PLUS Seaport Inn Downtown,15.892857142857142,56
113309,Fitzpatrick Manhattan,19.25531914893617,94
93335,The Kimberly Hotel,18.367346938775512,196
93467,Affinia Gardens,20.597122302158272,139
1379306,Hilton Club New York,25.333333333333332,3
502407,AKA United Nations,13.875,8
112053,The Mercer Hotel,20.438356164383563,73
617306,Manhattan Centre Hotel,17.353846153846153,130
624442,Hotel 373,19.932098765432098,162
93382,Washington Square Hotel,18.028301886792452,212
99321,The Manhattan Club,16.907692307692308,130
1027901,"Wyndham Garden Hotel Manhattan, Chelsea West",20.55,20
121987,The Milburn Hotel,17.58282208588957,163
99382,The Marcel at Gramercy,12.98576512455516,281
80107,Roger Smith Hotel,18.153846153846153,104
217629,3 West Club,24.5,8
93364,Hotel Deauville,17.398230088495577,113
93401,Comfort Inn Chelsea,13.755102040816327,147
121981,Americana Inn,17.492,250
247814,"The GEM Hotel-SoHo, an Ascend Collection hotel",16.708333333333332,24
125274,King & Grove New York,3.3333333333333335,3
246797,Park 79 Hotel,14.231046931407942,277
673080,Holiday Inn NYC - Manhattan 6th Avenue,21.349206349206348,63
234762,Buckingham Hotel,14.795275590551181,127
93333,Wolcott Hotel,16.04123711340206,291
290978,Hotel St. James,14.475925925925926,540
235228,BEST WESTERN Convention Center Hotel,12.198924731182796,186
99357,Mayfair Hotel,14.170731707317072,164
99443,Astor on the Park,15.910891089108912,303
234764,Oakwood Midtown East,17.0,1
616887,New York Escape,30.0,1
598980,Apollo,16.375,8
557499,Mount Royal Hotel & Hostel,8.5,62
1206876,Luxurstay B&B,23.0,1
1164614,Third Ave House,11.0,2
665814,The Soho Loft,13.681818181818182,22
1141305,HOTEL 52,7.8,5
284904,Senton Hotel,4.555555555555555,9
122011,Hotel Riverview,10.736842105263158,19
540545,Chelsea Inn - 11th Avenue,14.5,2
1176643,Central Park House,17.0,2
249780,BEST WESTERN PLUS Queens Court Hotel,14.88888888888889,18
260396,The Amsterdam Inn,15.753246753246753,77
93380,The Aladdin,5.5625,16
580078,Woogo Apartments - Times Square,10.061224489795919,49
225944,Washington Hotel,2.2,5
651216,Beekman Apartments,1.0,1
290982,La Semana Hotel,9.1875,16
1201662,Tone on Lex,10.0,1
93345,Skyline Hotel,13.180758017492712,343
99287,West Side Inn,7.473958333333333,192
217613,Chocolat Hostel,7.741758241758242,182
267183,World Hotel,5.578947368421052,19
673661,Sun Bright Hotel,10.636363636363637,11
268217,Oakwood at 777 6th Avenue,21.0,1
530265,Metro Home / Trump Park,18.0,1
235236,Oakwood Cosmopolitan,21.0,1
122022,Box Tree Inn,8.4,5
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",14.0,4
281695,Metro-Home / United Nations Suites,8.333333333333334,6
93384,Allerton,5.833333333333333,12
239836,"The St. Regis Club at the Essex House, New York",9.884615384615385,26
774805,Achieve Guest House,19.8,5
93356,New York Inn,6.5528455284552845,123
320562,YourStay MidTown Apartments,9.020408163265307,49
1049347,The Melrose Hotel,25.0,1
651265,The Carnegie Suites,5.0,1
1170336,The Gem Hotel New York Clarion,25.0,1
1199530,Oxbridge Midtown East Apartments,12.5,2
224229,Hotel Riverside Studios,11.696428571428571,168
99292,Riverside Hotel,9.333333333333334,12
122007,Manhattan Broadway Hotel,8.269662921348315,178
290987,St. Marks Hotel,19.39080459770115,87
1155229,Royal Park Hotel,6.565217391304348,23
249710,Morningside Inn,13.577586206896552,116
219622,Chelsea Hotel,12.243478260869566,115
93440,Flatotel,15.30813953488372,172
256738,Envoy Club Suites,16.615384615384617,65
93539,Riverside Tower,10.944,125
267182,Windsor Hotel,11.0,25
1164645,Eurostars Wall Street,29.0,1
649058,Hotel Alexander,17.248,125
113343,Marrakech Hotel on Broadway,12.643122676579926,269
93344,Holiday Inn Midtown / 57th St,16.162790697674417,387
93470,Jolly Hotel Madison Towers,15.833333333333334,222
93421,Hotel Carter,8.110840438489646,821
142114,Days Inn Hotel New York City - Broadway,10.717607973421927,301
249656,The Premier Hotel,19.333333333333332,12
80093,Murray Hill Inn,14.254098360655737,122
112066,W New York,13.323308270676693,532
1217376,The GEM Hotel Midtown West,17.611940298507463,67
224217,Clarion Hotel Park Avenue,15.709090909090909,55
93357,Park Savoy,14.190909090909091,110
596200,Comfort Inn Convention Center,13.320512820512821,78
99766,The Roosevelt Hotel,14.606090373280942,1018
616735,The Grant Hotel,12.817142857142857,175
93581,The Inn at Irving Place,14.31578947368421,19
113297,Beekman Tower Hotel,16.824915824915823,297
80081,Chelsea Inn - 17th Street,12.976744186046512,86
550885,254 East Vacation,12.344827586206897,29
208888,Chelsea Star Hotel,14.913793103448276,174
1048678,The Hotel 91,18.176470588235293,51
93633,The Helmsley Carlton House,15.5,8
655870,Lafayette House,24.875,8
217627,Belnord Hotel,11.016835016835017,297
99447,Comfort Inn Central Park West,12.159722222222221,144
674743,Hotel Azure,17.52,25
564851,Courtyard by Marriott New York Manhattan / Upper East Side,21.82894736842105,76
80075,Amsterdam Court Hotel,12.824362606232295,353
643970,Broadway Hotel and Hostel,14.688524590163935,61
214197,Hotel Pennsylvania New York,9.60913140311804,1796
93403,Bedford Hotel,16.185714285714287,210
223022,Holiday Inn SoHo New York,15.176470588235293,153
93517,Paramount Hotel Times Square New York,4.0,1
112062,The Time,14.389380530973451,339
93334,Excelsior Hotel,15.704379562043796,274
93475,New York Marriott East Side,17.186274509803923,204
93561,Soho Grand Hotel,15.092348284960423,379
93374,Off Soho Suites,12.9,50
122015,Hotel Grand Union,16.244755244755243,429
1938661,Milford Plaza Hotel,3.282608695652174,46
93390,Hotel Belleclaire,16.09040590405904,542
93351,Cosmopolitan Hotel - Tribeca,18.148883374689827,403
93625,Hotel Wales,14.987804878048781,82
93575,The Franklin,15.131578947368421,76
112019,Chelsea Savoy Hotel,17.914634146341463,82
217622,Dylan Hotel,15.651162790697674,129
93565,Hotel Stanford,16.235521235521237,259
223021,Club Quarters Midtown,15.511627906976743,129
99307,Wellington Hotel,14.573870573870574,819
93339,Hilton Manhattan East,16.311475409836067,244
99302,The Bentley Hotel,3.7142857142857144,7
93545,The Manhattan at Times Square Hotel,4.0,1
93376,Stay.,15.746268656716419,67
223023,Hudson New York,13.158818834796488,1253
93520,Park Central,13.537549407114625,1265
99365,Da Vinci Hotel,17.233644859813083,107
673077,Comfort Inn Times Square South,22.15068493150685,73
93398,60 Thompson - A Thompson Hotel,16.2,145
93612,The Shoreham,15.507772020725389,193
93586,The Mansfield,15.386666666666667,225
281697,The Alex Hotel,15.752252252252251,222
217623,Club Quarters Wall Street,18.315217391304348,184
1007724,Hotel East Houston,19.88,25
75688,Dream New York,14.358803986710964,301
99774,La Quinta Inn Manhattan,13.36,275
93359,Econo Lodge Times Square,18.65,140
99333,Washington Jefferson Hotel,13.712933753943217,317
584986,Holiday Inn Express New York City Fifth Ave,21.512048192771083,166
292140,Sohotel,14.471428571428572,210
281234,Four Points by Sheraton Manhattan Chelsea,16.963730569948186,193
93452,Herald Square Hotel,18.31111111111111,315
93622,Travel Inn Hotel New York,16.032085561497325,374
93466,Doubletree Hotel Metropolitan - New York City,14.019877675840979,654
93486,Millennium Hotel Broadway,17.584175084175083,594
93437,Edison Hotel Times Square,15.661268556005398,741
1234559,Holiday Inn New York City - Wall Street,22.75,8
208455,Tribeca Grand Hotel,16.352657004830917,207
287626,Hotel Gansevoort,17.926356589147286,258
93555,Sheraton New York Times Square Hotel,5.0,3
488793,Solita Soho Hotel,17.23469387755102,98
112041,Larchmont Hotel,16.408450704225352,142
93464,Le Parker Meridien,14.057728119180632,537
99388,Ramada Eastside,15.070175438596491,171
