Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,20.192307692307693,26
80112,San Carlos Hotel,20.768939393939394,264
93396,The Iroquois,22.73488372093023,430
93338,Hotel Beacon,19.282945736434108,516
224224,"The Ritz-Carlton New York, Central Park",21.335260115606935,173
93419,"The Carlyle, A Rosewood Hotel",17.4,85
75698,BEST WESTERN PLUS Seaport Inn Downtown,18.482758620689655,87
113309,Fitzpatrick Manhattan,20.653543307086615,127
93467,Affinia Gardens,22.93089430894309,246
498869,Hampton Inn Madison Square Garden,20.47004608294931,217
93335,The Kimberly Hotel,19.518672199170126,241
1379306,Hilton Club New York,23.666666666666668,12
502407,AKA United Nations,18.454545454545453,11
1383001,Comfort Inn Manhattan Bridge,24.470588235294116,34
112053,The Mercer Hotel,21.89010989010989,91
617306,Manhattan Centre Hotel,16.763636363636362,165
624442,Hotel 373,20.176470588235293,221
93382,Washington Square Hotel,18.8359375,256
1027901,"Wyndham Garden Hotel Manhattan, Chelsea West",19.87878787878788,99
99321,The Manhattan Club,17.366863905325445,169
99382,The Marcel at Gramercy,13.914549653579677,433
121987,The Milburn Hotel,17.913636363636364,220
80107,Roger Smith Hotel,21.421296296296298,216
93334,Excelsior Hotel,17.038265306122447,392
93475,New York Marriott East Side,18.63898916967509,277
217629,3 West Club,25.11111111111111,9
93364,Hotel Deauville,18.727272727272727,143
93401,Comfort Inn Chelsea,15.386363636363637,176
121981,Americana Inn,17.393333333333334,300
247814,"The GEM Hotel-SoHo, an Ascend Collection hotel",17.616438356164384,73
125274,King & Grove New York,3.3333333333333335,3
246797,Park 79 Hotel,14.942934782608695,368
673080,Holiday Inn NYC - Manhattan 6th Avenue,20.727272727272727,154
234762,Buckingham Hotel,17.71559633027523,218
290978,Hotel St. James,13.83909574468085,752
93333,Wolcott Hotel,17.355,400
99357,Mayfair Hotel,15.208955223880597,201
99443,Astor on the Park,17.170731707317074,410
235228,BEST WESTERN Convention Center Hotel,11.846153846153847,234
93345,Skyline Hotel,14.613924050632912,474
234764,Oakwood Midtown East,17.0,1
616887,New York Escape,30.0,1
598980,Apollo,15.0,9
557499,Mount Royal Hotel & Hostel,8.5,62
1206876,Luxurstay B&B,11.2,5
1164614,Third Ave House,11.0,2
665814,The Soho Loft,14.391304347826088,23
1141305,HOTEL 52,7.8,5
1699664,Sakuratei,11.0,1
1547031,Signature Properties,3.5,2
1147661,National at Park Towers,2.0,1
284904,Senton Hotel,4.555555555555555,9
122011,Hotel Riverview,10.666666666666666,21
1176643,Central Park House,17.5,6
540545,Chelsea Inn - 11th Avenue,13.0,3
99287,West Side Inn,7.648068669527897,233
260396,The Amsterdam Inn,16.333333333333332,93
249780,BEST WESTERN PLUS Queens Court Hotel,16.681818181818183,22
93380,The Aladdin,5.705882352941177,17
1448670,America's Best Value Inn Mayor Hotel,12.357142857142858,14
580078,Woogo Apartments - Times Square,9.962264150943396,53
225944,Washington Hotel,4.833333333333333,6
651216,Beekman Apartments,4.5,2
290982,La Semana Hotel,8.88888888888889,18
217613,Chocolat Hostel,8.187793427230046,213
1201662,Tone on Lex,10.25,8
267183,World Hotel,5.7727272727272725,22
673661,Sun Bright Hotel,11.266666666666667,15
93356,New York Inn,7.902439024390244,164
268217,Oakwood at 777 6th Avenue,21.0,1
530265,Metro Home / Trump Park,18.0,1
235236,Oakwood Cosmopolitan,21.0,1
122022,Box Tree Inn,8.4,5
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",14.0,4
281695,Metro-Home / United Nations Suites,8.333333333333334,6
93384,Allerton,5.833333333333333,12
239836,"The St. Regis Club at the Essex House, New York",10.62962962962963,27
774805,Achieve Guest House,19.8,5
224229,Hotel Riverside Studios,11.258196721311476,244
320562,YourStay MidTown Apartments,9.020408163265307,49
1049347,The Melrose Hotel,27.5,2
662519,JC's New York Hotel,27.0,1
651265,The Carnegie Suites,5.0,1
1170336,The Gem Hotel New York Clarion,18.666666666666668,3
1199530,Oxbridge Midtown East Apartments,13.142857142857142,7
1575440,East 73rd and York Ave Apartment,24.5,4
1497765,Apartment Hotel 51,22.25,4
122007,Manhattan Broadway Hotel,8.872340425531915,235
99292,Riverside Hotel,10.133333333333333,15
