Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,23.176470588235293,34
80112,San Carlos Hotel,21.839344262295082,305
1641016,The Chatwal,33.22727272727273,22
1776857,"The Setai Fifth Avenue, a Capella managed Hotel",28.357142857142858,28
93396,The Iroquois,24.04973357015986,563
1762573,Andaz 5th Avenue,30.055555555555557,72
93338,Hotel Beacon,21.82831325301205,664
1456560,Eventi - a Kimpton Hotel,29.31578947368421,209
224224,"The Ritz-Carlton New York, Central Park",22.98076923076923,208
93419,"The Carlyle, A Rosewood Hotel",20.02777777777778,108
75698,BEST WESTERN PLUS Seaport Inn Downtown,20.635514018691588,107
1791248,Hotel Mulberry,31.26086956521739,23
113309,Fitzpatrick Manhattan,21.611464968152866,157
93467,Affinia Gardens,25.18857142857143,350
1878946,Aloft Harlem,28.0,5
93335,The Kimberly Hotel,21.238853503184714,314
498869,Hampton Inn Madison Square Garden,19.93288590604027,298
1456411,Gansevoort Park Avenue NYC,29.576923076923077,78
1379306,Hilton Club New York,25.666666666666668,21
1940859,Holiday Inn Midtown West 31st Street,24.0,1
1025779,Candlewood Suites New York City Times Square,24.20149253731343,134
1383001,Comfort Inn Manhattan Bridge,21.0,76
502407,AKA United Nations,18.454545454545453,11
112053,The Mercer Hotel,22.23076923076923,104
1963673,The Gotham Hotel,31.714285714285715,7
617306,Manhattan Centre Hotel,16.33173076923077,208
624442,Hotel 373,20.065068493150687,292
93382,Washington Square Hotel,19.803986710963454,301
1027901,"Wyndham Garden Hotel Manhattan, Chelsea West",21.011904761904763,168
99321,The Manhattan Club,19.1931330472103,233
80107,Roger Smith Hotel,23.354231974921632,319
99382,The Marcel at Gramercy,15.297455968688846,511
121987,The Milburn Hotel,18.651079136690647,278
93334,Excelsior Hotel,17.242857142857144,490
1858923,Doubletree Hotel New York City-Financial District,29.7,10
93475,New York Marriott East Side,19.51219512195122,328
217623,Club Quarters Wall Street,18.893470790378007,291
217629,3 West Club,25.5,10
93364,Hotel Deauville,19.312101910828027,157
93401,Comfort Inn Chelsea,16.282178217821784,202
121981,Americana Inn,17.52958579881657,338
247814,"The GEM Hotel-SoHo, an Ascend Collection hotel",19.348214285714285,112
673080,Holiday Inn NYC - Manhattan 6th Avenue,21.009174311926607,218
125274,King & Grove New York,3.5,4
246797,Park 79 Hotel,15.369710467706014,449
234762,Buckingham Hotel,18.141263940520446,269
290978,Hotel St. James,13.66021505376344,930
93333,Wolcott Hotel,18.630927835051548,485
93345,Skyline Hotel,16.36084142394822,618
99443,Astor on the Park,18.67871485943775,498
99357,Mayfair Hotel,15.986486486486486,222
235228,BEST WESTERN Convention Center Hotel,12.38566552901024,293
93440,Flatotel,17.44311377245509,334
234764,Oakwood Midtown East,25.5,2
1872507,Thompson Hotel,34.0,1
616887,New York Escape,30.0,1
598980,Apollo,15.0,9
260396,The Amsterdam Inn,16.98095238095238,105
557499,Mount Royal Hotel & Hostel,8.890625,64
1206876,Luxurstay B&B,11.2,5
1164614,Third Ave House,11.0,2
665814,The Soho Loft,14.208333333333334,24
1141305,HOTEL 52,8.0,6
1699664,Sakuratei,18.666666666666668,3
284904,Senton Hotel,5.333333333333333,12
1547031,Signature Properties,9.666666666666666,3
1147661,National at Park Towers,2.0,1
122011,Hotel Riverview,10.666666666666666,21
217613,Chocolat Hostel,8.641509433962264,265
540545,Chelsea Inn - 11th Avenue,11.75,4
99287,West Side Inn,7.720833333333333,240
1176643,Central Park House,16.285714285714285,7
249780,BEST WESTERN PLUS Queens Court Hotel,18.387096774193548,31
1448670,America's Best Value Inn Mayor Hotel,14.789473684210526,19
