Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,24.035087719298247,57
80112,San Carlos Hotel,22.33529411764706,340
1641016,The Chatwal,27.987951807228917,83
1776857,"The Setai Fifth Avenue, a Capella managed Hotel",28.192307692307693,104
93396,The Iroquois,24.386430678466077,678
1762573,Andaz 5th Avenue,27.837209302325583,172
93338,Hotel Beacon,22.454427083333332,768
1456560,Eventi - a Kimpton Hotel,27.274869109947645,382
224224,"The Ritz-Carlton New York, Central Park",23.462184873949578,238
93419,"The Carlyle, A Rosewood Hotel",20.251908396946565,131
75698,BEST WESTERN PLUS Seaport Inn Downtown,21.56,125
93467,Affinia Gardens,25.219679633867276,437
1791248,Hotel Mulberry,28.5,60
113309,Fitzpatrick Manhattan,21.826589595375722,173
1878946,Aloft Harlem,26.106382978723403,47
93335,The Kimberly Hotel,21.65934065934066,364
1456411,Gansevoort Park Avenue NYC,27.76875,160
498869,Hampton Inn Madison Square Garden,19.77747252747253,364
578305,Residence Inn by Marriott Times Square New York,24.209580838323355,668
1025779,Candlewood Suites New York City Times Square,23.444444444444443,225
1379306,Hilton Club New York,25.0,31
1940859,Holiday Inn Midtown West 31st Street,24.0,1
1383001,Comfort Inn Manhattan Bridge,20.412280701754387,114
1963673,The Gotham Hotel,27.054054054054053,37
502407,AKA United Nations,18.454545454545453,11
112053,The Mercer Hotel,22.345454545454544,110
624442,Hotel 373,19.45277777777778,360
617306,Manhattan Centre Hotel,16.54621848739496,238
93382,Washington Square Hotel,20.119883040935672,342
1027901,"Wyndham Garden Hotel Manhattan, Chelsea West",21.288990825688074,218
99321,The Manhattan Club,19.992805755395683,278
80107,Roger Smith Hotel,23.387267904509283,377
99382,The Marcel at Gramercy,16.130730050933785,589
1786395,Mondrian Soho,23.144927536231883,69
93334,Excelsior Hotel,17.672072072072073,555
121987,The Milburn Hotel,18.450657894736842,304
1858923,Doubletree Hotel New York City-Financial District,20.895522388059703,67
93475,New York Marriott East Side,20.063157894736843,380
217623,Club Quarters Wall Street,18.814705882352943,340
93390,Hotel Belleclaire,16.630372492836678,1047
93561,Soho Grand Hotel,17.845195729537366,562
1007724,Hotel East Houston,21.056603773584907,106
217629,3 West Club,26.8,15
93364,Hotel Deauville,19.71764705882353,170
93401,Comfort Inn Chelsea,16.117903930131003,229
247814,"The GEM Hotel-SoHo, an Ascend Collection hotel",19.388489208633093,139
121981,Americana Inn,17.306233062330623,369
246797,Park 79 Hotel,15.45224171539961,513
673080,Holiday Inn NYC - Manhattan 6th Avenue,20.869565217391305,253
125274,King & Grove New York,3.8333333333333335,6
290978,Hotel St. James,13.236329935125116,1079
234762,Buckingham Hotel,18.302491103202847,281
93333,Wolcott Hotel,18.975609756097562,533
93345,Skyline Hotel,16.466032608695652,736
99443,Astor on the Park,18.85063752276867,549
93440,Flatotel,17.817283950617284,405
99357,Mayfair Hotel,16.15811965811966,234
235228,BEST WESTERN Convention Center Hotel,12.46964856230032,313
1146076,Oakwood Chelsea,5.0,1
234764,Oakwood Midtown East,25.5,2
1872507,Thompson Hotel,34.0,1
616887,New York Escape,30.0,1
260396,The Amsterdam Inn,17.314814814814813,108
598980,Apollo,15.0,9
557499,Mount Royal Hotel & Hostel,8.890625,64
1206876,Luxurstay B&B,11.2,5
217613,Chocolat Hostel,8.886524822695035,282
1164614,Third Ave House,11.0,2
665814,The Soho Loft,14.208333333333334,24
1141305,HOTEL 52,8.0,6
1699664,Sakuratei,18.666666666666668,3
284904,Senton Hotel,6.384615384615385,13
1547031,Signature Properties,9.666666666666666,3
1147661,National at Park Towers,2.0,1
122011,Hotel Riverview,10.666666666666666,21
540545,Chelsea Inn - 11th Avenue,11.75,4
99287,West Side Inn,7.720833333333333,240
1176643,Central Park House,14.875,8
249780,BEST WESTERN PLUS Queens Court Hotel,19.25,36
580078,Woogo Apartments - Times Square,10.210526315789474,57
1448670,America's Best Value Inn Mayor Hotel,15.142857142857142,21
651216,Beekman Apartments,6.666666666666667,3
