Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,27.3,120
93396,The Iroquois,26.054234062797335,1051
80112,San Carlos Hotel,24.699596774193548,496
1641016,The Chatwal,29.455882352941178,340
1776857,"The Setai Fifth Avenue, a Capella managed Hotel",29.49780701754386,456
1762573,Andaz 5th Avenue,28.412831241283126,717
1456560,Eventi - a Kimpton Hotel,28.186802973977695,1076
93338,Hotel Beacon,25.32703927492447,1324
224224,"The Ritz-Carlton New York, Central Park",25.918072289156626,415
2643161,The NoMad Hotel,30.24705882352941,85
1465162,Staybridge Suites Times Square - New York City,27.3426906779661,1888
208454,Sofitel New York,24.236787204450625,2876
93589,The Michelangelo Hotel,25.22068403908795,1228
217616,The Muse Hotel New York,24.201121794871796,1248
99352,Hilton Garden Inn Times Square,25.862423780487806,2624
75698,BEST WESTERN PLUS Seaport Inn Downtown,25.570281124497992,249
1791248,Hotel Mulberry,28.833333333333332,216
113309,Fitzpatrick Manhattan,25.1609907120743,323
93419,"The Carlyle, A Rosewood Hotel",23.301724137931036,232
93467,Affinia Gardens,25.52826855123675,566
1878946,Aloft Harlem,27.67111111111111,225
1456411,Gansevoort Park Avenue NYC,27.91355140186916,428
578305,Residence Inn by Marriott Times Square New York,25.491159135559922,1018
93335,The Kimberly Hotel,24.33220910623946,593
1646128,InterContinental New York Times Square,27.724028548770818,1261
1025779,Candlewood Suites New York City Times Square,25.77508090614887,618
93543,Affinia Shelburne,23.572951739618407,1782
1500405,Hampton Inn Manhattan / Times Square South,23.84629294755877,553
498869,Hampton Inn Madison Square Garden,22.466996699669966,606
1583937,Comfort Inn Lower East Side,27.9209726443769,329
641209,Hilton Garden Inn New York - Chelsea,24.91421568627451,816
99371,Courtyard by Marriott New York Manhattan / Midtown East,23.363636363636363,880
1940859,Holiday Inn Midtown West 31st Street,29.020408163265305,147
1383001,Comfort Inn Manhattan Bridge,23.634146341463413,205
1786395,Mondrian Soho,26.037735849056602,371
1963673,The Gotham Hotel,28.23972602739726,146
624442,Hotel 373,21.442831215970962,551
1379306,Hilton Club New York,26.267605633802816,71
93382,Washington Square Hotel,23.0018281535649,547
99382,The Marcel at Gramercy,19.18903803131991,894
99332,Ameritania Hotel,27.250980392156862,255
93464,Le Parker Meridien,23.226764199655765,2324
112053,The Mercer Hotel,23.270833333333332,144
502407,AKA United Nations,25.458333333333332,24
80107,Roger Smith Hotel,24.25812274368231,554
99321,The Manhattan Club,22.31877729257642,458
93390,Hotel Belleclaire,18.749826268241833,1439
2622936,Wyndham Garden Chinatown,28.0,1
1858923,Doubletree Hotel New York City-Financial District,24.720338983050848,354
93334,Excelsior Hotel,19.926017262638716,811
1027901,"Wyndham Garden Hotel Manhattan, Chelsea West",23.539893617021278,376
93475,New York Marriott East Side,22.661676646706585,668
617306,Manhattan Centre Hotel,18.49337748344371,302
121987,The Milburn Hotel,20.91213389121339,478
217623,Club Quarters Wall Street,20.939278937381403,527
93561,Soho Grand Hotel,20.20740740740741,810
1007724,Hotel East Houston,22.147368421052633,190
93351,Cosmopolitan Hotel - Tribeca,21.218335343787697,829
93565,Hotel Stanford,17.861499364675986,787
217629,3 West Club,25.75,32
247814,"The GEM Hotel-SoHo, an Ascend Collection hotel",21.324675324675326,231
1149404,Doubletree By Hilton - Times Square South,26.11842105263158,228
290978,Hotel St. James,14.941931127616476,1481
93333,Wolcott Hotel,21.286231884057973,828
93345,Skyline Hotel,18.845388788426764,1106
93364,Hotel Deauville,21.121076233183857,223
93401,Comfort Inn Chelsea,17.67986798679868,303
246797,Park 79 Hotel,16.471830985915492,710
673080,Holiday Inn NYC - Manhattan 6th Avenue,21.65083135391924,421
112066,W New York,21.1453373015873,2016
125274,King & Grove New York,24.525974025974026,154
93517,Paramount Hotel Times Square New York,21.221380846325168,2245
93344,Holiday Inn Midtown / 57th St,19.73424301494477,1539
93440,Flatotel,21.19,800
121981,Americana Inn,18.06458797327394,449
99766,The Roosevelt Hotel,17.5426234664989,3179
234762,Buckingham Hotel,18.284246575342465,292
3168954,Tribeca Blu Hotel,25.28205128205128,39
99443,Astor on the Park,19.99188092016238,739
93526,the Lexington,21.531858407079646,1130
99357,Mayfair Hotel,18.448170731707318,328
235228,BEST WESTERN Convention Center Hotel,14.711538461538462,416
219622,Chelsea Hotel,16.205574912891986,287
1165409,Hotel Delmonico,34.0,1
1146076,Oakwood Chelsea,4.0,2
234764,Oakwood Midtown East,25.5,2
1872507,Thompson Hotel,34.0,1
121985,Downtown Athletic Center,18.0,1
616887,New York Escape,30.5,2
260396,The Amsterdam Inn,17.39090909090909,110
3506933,Howard Johnson Manhattan Soho,35.0,1
598980,Apollo,15.0,9
122007,Manhattan Broadway Hotel,11.7,420
249780,BEST WESTERN PLUS Queens Court Hotel,19.04,50
1448670,America's Best Value Inn Mayor Hotel,17.50980392156863,51
557499,Mount Royal Hotel & Hostel,8.890625,64
93356,New York Inn,12.551612903225806,310
1206876,Luxurstay B&B,11.2,5
217613,Chocolat Hostel,8.9198606271777,287
1164614,Third Ave House,11.0,2
665814,The Soho Loft,14.208333333333334,24
1990870,Elk Hotel,13.5,2
1141305,HOTEL 52,8.0,6
1699664,Sakuratei,18.666666666666668,3
284904,Senton Hotel,8.933333333333334,15
1547031,Signature Properties,9.666666666666666,3
1147661,National at Park Towers,2.0,1
122011,Hotel Riverview,10.909090909090908,22
3572583,Holiday Inn Express New York - Manhattan West Side,12.0,1
267183,World Hotel,9.080357142857142,112
1176643,Central Park House,12.5,12
540545,Chelsea Inn - 11th Avenue,11.428571428571429,7
99287,West Side Inn,7.819672131147541,244
673661,Sun Bright Hotel,11.217821782178218,101
3502291,Comfort Inn New York City,28.5,2
224229,Hotel Riverside Studios,10.720297029702971,404
580078,Woogo Apartments - Times Square,10.542372881355933,59
1201662,Tone on Lex,13.03125,32
225944,Washington Hotel,7.7,10
651216,Beekman Apartments,8.75,4
93380,The Aladdin,5.421052631578948,19
543021,Sutton Place Apartments,7.0,1
2109422,Design Dream,14.125,8
290982,La Semana Hotel,10.23076923076923,26
2027969,Empire Roof,15.571428571428571,7
214197,Hotel Pennsylvania New York,12.380252882112309,5378
268217,Oakwood at 777 6th Avenue,21.0,1
268218,Oakwood at Longacre House,22.0,1
530265,Metro Home / Trump Park,18.0,1
235236,Oakwood Cosmopolitan,21.0,1
122022,Box Tree Inn,8.4,5
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",14.0,4
281695,Metro-Home / United Nations Suites,8.333333333333334,6
774805,Achieve Guest House,18.7,10
93384,Allerton,5.538461538461538,13
239836,"The St. Regis Club at the Essex House, New York",11.413793103448276,29
320562,YourStay MidTown Apartments,9.020408163265307,49
1049347,The Melrose Hotel,27.5,2
99292,Riverside Hotel,15.25,28
662519,JC's New York Hotel,27.0,1
651265,The Carnegie Suites,14.0,3
1199530,Oxbridge Midtown East Apartments,16.0,12
1575440,East 73rd and York Ave Apartment,21.714285714285715,14
1497765,Apartment Hotel 51,23.4,10
1170336,The Gem Hotel New York Clarion,20.8,5
1207461,Saint Nicholas Inn,26.0,1
1161809,The Helmsley Windsor,30.0,1
1961167,Room.A,19.5,2
1199940,East Bridge,26.0,1
249710,Morningside Inn,15.418439716312056,282
290987,St. Marks Hotel,20.970149253731343,201
1155229,Royal Park Hotel,15.698224852071005,169
93421,Hotel Carter,11.364870784056066,2283
1161789,Inter-Continental Central Park South New York,20.5,4
1161790,Sheraton Russell Hotel,14.0,3
256738,Envoy Club Suites,17.49618320610687,131
93539,Riverside Tower,16.937007874015748,254
113343,Marrakech Hotel on Broadway,15.547584187408493,683
93357,Park Savoy,18.275974025974026,308
267182,Windsor Hotel,13.113821138211382,123
1164645,Eurostars Wall Street,21.527027027027028,74
649058,Hotel Alexander,18.987460815047022,319
93470,Jolly Hotel Madison Towers,19.122653316645806,799
142114,Days Inn Hotel New York City - Broadway,15.485678704856786,803
75711,Best Western PLUS President Hotel at Times Square,21.064676616915424,1005
1938661,Milford Plaza Hotel,20.218710493046775,1582
93520,Park Central,18.106313131313133,3960
224217,Clarion Hotel Park Avenue,18.964285714285715,168
1175436,Hotel Olcott,25.5,2
1217376,The GEM Hotel Midtown West,17.370588235294118,170
80093,Murray Hill Inn,17.91111111111111,225
249656,The Premier Hotel,21.70212765957447,47
3541823,New York Budget Inn,24.0,7
1146072,Oakwood at 6th Avenue,25.5,6
113297,Beekman Tower Hotel,17.961251862891206,671
1497821,NY Oyado,19.555555555555557,18
596200,Comfort Inn Convention Center,16.222826086956523,184
80081,Chelsea Inn - 17th Street,18.80223880597015,268
93438,Esplanade,25.5,2
616735,The Grant Hotel,10.30204081632653,245
208888,Chelsea Star Hotel,17.846796657381617,359
1465008,Holiday Inn Express New York City-Wall Street,23.139240506329113,158
550885,254 East Vacation,16.764044943820224,89
93581,The Inn at Irving Place,17.63888888888889,36
1048678,The Hotel 91,16.482954545454547,352
217627,Belnord Hotel,14.03763440860215,744
223023,Hudson New York,17.38762701733413,3346
99447,Comfort Inn Central Park West,14.571214392803599,667
80075,Amsterdam Court Hotel,16.193268186753528,921
655870,Lafayette House,24.576923076923077,26
93633,The Helmsley Carlton House,18.333333333333332,18
674743,Hotel Azure,17.3739837398374,123
564851,Courtyard by Marriott New York Manhattan / Upper East Side,23.398496240601503,266
643970,Broadway Hotel and Hostel,20.08832807570978,317
93545,The Manhattan at Times Square Hotel,21.604484304932736,1115
99307,Wellington Hotel,18.25417574437182,2754
671150,Empire Hotel,23.00875273522976,914
223022,Holiday Inn SoHo New York,20.247600767754317,521
93403,Bedford Hotel,19.82042833607908,607
112062,The Time,19.30069124423963,868
122015,Hotel Grand Union,16.88966318234611,861
93374,Off Soho Suites,16.09655172413793,145
93625,Hotel Wales,20.39183673469388,245
93376,Stay.,22.188178528347407,829
99302,The Bentley Hotel,21.49561403508772,456
673077,Comfort Inn Times Square South,21.40974212034384,349
93437,Edison Hotel Times Square,19.2018102581294,2983
93575,The Franklin,21.48847926267281,217
217622,Dylan Hotel,20.262886597938145,388
112019,Chelsea Savoy Hotel,17.967391304347824,276
223021,Club Quarters Midtown,19.389830508474578,413
93339,Hilton Manhattan East,19.736842105263158,722
93486,Millennium Hotel Broadway,20.113039167079823,2017
99774,La Quinta Inn Manhattan,20.31367292225201,746
99365,Da Vinci Hotel,21.46062992125984,254
2151571,Hotel Americano,24.928571428571427,70
93398,60 Thompson - A Thompson Hotel,21.225806451612904,341
93586,The Mansfield,20.546492659053833,613
281697,The Alex Hotel,20.255555555555556,630
93612,The Shoreham,21.455652173913045,575
75688,Dream New York,20.07152145643693,769
93466,Doubletree Hotel Metropolitan - New York City,18.976795580110497,1810
93593,The Westin New York Grand Central,25.106194690265486,113
93359,Econo Lodge Times Square,21.322085889570552,326
292140,Sohotel,20.848167539267017,573
93622,Travel Inn Hotel New York,18.558852621167162,1011
93452,Herald Square Hotel,22.510967741935485,775
99333,Washington Jefferson Hotel,15.255,800
281234,Four Points by Sheraton Manhattan Chelsea,21.652985074626866,536
584986,Holiday Inn Express New York City Fifth Ave,21.997885835095136,473
287626,Hotel Gansevoort,21.858895705521473,652
208455,Tribeca Grand Hotel,21.156603773584905,530
1234559,Holiday Inn New York City - Wall Street,23.160142348754448,281
