Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,27.02654867256637,113
80112,San Carlos Hotel,24.183585313174945,463
1641016,The Chatwal,29.570967741935483,310
93396,The Iroquois,25.75175175175175,999
1776857,"The Setai Fifth Avenue, a Capella managed Hotel",29.87344913151365,403
1762573,Andaz 5th Avenue,28.353640416047547,673
93338,Hotel Beacon,24.945836701697655,1237
1456560,Eventi - a Kimpton Hotel,28.174395161290324,992
224224,"The Ritz-Carlton New York, Central Park",25.67676767676768,396
2643161,The NoMad Hotel,30.037037037037038,54
93589,The Michelangelo Hotel,25.078481012658226,1185
208454,Sofitel New York,24.076592698639942,2794
75698,BEST WESTERN PLUS Seaport Inn Downtown,25.31063829787234,235
93419,"The Carlyle, A Rosewood Hotel",22.87727272727273,220
93467,Affinia Gardens,25.4376130198915,553
1791248,Hotel Mulberry,28.848167539267017,191
1456411,Gansevoort Park Avenue NYC,27.845,400
113309,Fitzpatrick Manhattan,24.98639455782313,294
1878946,Aloft Harlem,27.551020408163264,196
578305,Residence Inn by Marriott Times Square New York,25.39471007121058,983
93335,The Kimberly Hotel,24.146473779385172,553
1025779,Candlewood Suites New York City Times Square,25.54432624113475,564
93543,Affinia Shelburne,23.377058823529413,1700
1646128,InterContinental New York Times Square,27.678969957081545,1165
498869,Hampton Inn Madison Square Garden,22.136363636363637,572
1500405,Hampton Inn Manhattan / Times Square South,23.466535433070867,508
1583937,Comfort Inn Lower East Side,28.0,306
1940859,Holiday Inn Midtown West 31st Street,29.03252032520325,123
641209,Hilton Garden Inn New York - Chelsea,24.674388674388673,777
99371,Courtyard by Marriott New York Manhattan / Midtown East,23.2987012987013,847
1383001,Comfort Inn Manhattan Bridge,23.408163265306122,196
1963673,The Gotham Hotel,28.0,133
1379306,Hilton Club New York,26.440677966101696,59
624442,Hotel 373,21.329545454545453,528
93382,Washington Square Hotel,22.803435114503817,524
1786395,Mondrian Soho,25.900584795321638,342
99382,The Marcel at Gramercy,18.923522595596754,863
502407,AKA United Nations,25.0,22
112053,The Mercer Hotel,23.159420289855074,138
99321,The Manhattan Club,21.972602739726028,438
80107,Roger Smith Hotel,24.304182509505704,526
93334,Excelsior Hotel,19.728900255754475,782
1027901,"Wyndham Garden Hotel Manhattan, Chelsea West",23.441595441595442,351
617306,Manhattan Centre Hotel,18.35810810810811,296
93390,Hotel Belleclaire,18.61549395877754,1407
1858923,Doubletree Hotel New York City-Financial District,24.485714285714284,315
