Hotel ID,Hotel Name,Total Rating,Overall Customers
101657,Extended Stay America - Columbus - Worthington,4.0,1
223753,Country Inn & Suites Columbus-West,5.0,1
101665,Knights Inn Downtown Columbus,2.0,2
114725,German Village Inn,5.0,1
101649,Columbus Inn & Suites,2.0,1
223737,Residence Inn Columbus Worthington,4.0,1
101643,Wingate by Wyndham Columbus,1.0,1
95263,Ramada Inn East Airport,2.0,1
101757,Clarion Hotel & Suites Conference Center,1.0,1
95264,Days Inn Columbus North,2.0,3
223765,Varsity Inn OSU North,4.0,2
90216,East Suites Hotel Columbus,1.0,1
101646,TownePlace Suites Columbus Airport Gahanna,5.0,1
123898,Super 8 Motel Columbus,2.0,1
101636,Comfort Suites Airport,1.0,1
75212,BEST WESTERN PLUS Columbus North,4.0,1
223775,Fairfield Inn & Suites Columbus OSU,3.0,1
223728,Extended Stay Deluxe - Columbus - Polaris,5.0,1
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,25.0,1
95261,Holiday Inn Columbus Downtown Capital Square,2.75,4
95250,Homewood Suites by Hilton Columbus / Worthington,13.0,2
223760,Courtyard by Marriott Columbus Downtown,3.6666666666666665,3
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,3.75,4
223223,Staybridge Suites Columbus Airport,3.5,2
95288,Sheraton Suites Columbus,9.25,8
95265,Columbus Airport Marriott,5.0,1
95289,Ramada Columbus North,2.0,1
95258,Crowne Plaza Columbus North,5.0,1
281777,Comfort Suites - Columbus / Clara St,1.0,1
122237,Red Roof Inn Columbus Downtown - Convention Center,1.0,1
95269,Comfort Inn North,1.0,1
95253,Hyatt Regency Columbus,2.111111111111111,9
95247,Crowne Plaza Columbus Downtown,8.75,4
122229,Renaissance Columbus Downtown Hotel,3.5,2
278081,Courtyard Columbus Easton,4.0,1
95238,Embassy Suites Hotel Columbus,2.0,1
223748,Hilton Columbus at Easton,5.0,1
258165,Drury Inn & Suites Columbus Convention Center,4.0,6
223750,Hampton Inn and Suites Columbus Downtown,12.5,2
