Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,18.0,9
223509,Holiday Inn Express & Suites Columbus Southeast,1.0,1
101657,Extended Stay America - Columbus - Worthington,4.0,2
101647,Extended Stay America - Columbus - East,1.0,1
223753,Country Inn & Suites Columbus-West,5.0,1
95284,Red Roof Inn Columbus Ohio State University,24.0,1
95240,Howard Johnson Inn Columbus,12.0,1
101661,Courtyard by Marriott Columbus Airport,13.0,1
223767,Americas Best Value Inn - Columbus / North,5.0,2
223763,Cross Country Inn Continent,1.0,1
90214,Rodeway Inn North,7.666666666666667,3
101665,Knights Inn Downtown Columbus,2.5,4
101649,Columbus Inn & Suites,3.25,8
223772,Extended Stay America - Columbus - North,16.0,1
114725,German Village Inn,5.0,1
95275,University Plaza Hotel and Conference Center,12.0,1
223737,Residence Inn Columbus Worthington,3.0,2
101757,Clarion Hotel & Suites Conference Center,6.5,4
95263,Ramada Inn East Airport,11.5,2
101643,Wingate by Wyndham Columbus,7.5,2
223766,Varsity Inn,19.5,2
95264,Days Inn Columbus North,7.0,4
223765,Varsity Inn OSU North,11.6,5
95285,Hawthorn Suites by Wyndham Airport Columbus East,9.0,2
101640,Hampton Inn Columbus West,15.833333333333334,6
101646,TownePlace Suites Columbus Airport Gahanna,8.0,2
90216,East Suites Hotel Columbus,1.0,1
223759,Country Inn & Suites Columbus - North,13.5,6
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",7.666666666666667,3
123898,Super 8 Motel Columbus,7.0,3
101636,Comfort Suites Airport,10.5,4
101641,Hampton Inn Columbus Airport,8.666666666666666,3
101651,Red Roof Inn & Suites Columbus - W. Broad,4.0,1
223775,Fairfield Inn & Suites Columbus OSU,11.333333333333334,6
124435,Comfort Suites - Columbus / Keim Circle,18.0,1
75212,BEST WESTERN PLUS Columbus North,5.0,5
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,15.2,5
223728,Extended Stay Deluxe - Columbus - Polaris,5.0,1
95235,Days Inn Columbus Fairgrounds,4.0,3
95261,Holiday Inn Columbus Downtown Capital Square,2.857142857142857,7
95250,Homewood Suites by Hilton Columbus / Worthington,13.0,2
223760,Courtyard by Marriott Columbus Downtown,5.0,4
95242,Baymont Inn Columbus North,11.5,2
75221,Comfort Inn & Suites,14.666666666666666,3
95230,Courtyard by Marriott Columbus Worthington,13.5,2
75206,BEST WESTERN Suites,25.0,2
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,5.777777777777778,9
223223,Staybridge Suites Columbus Airport,11.166666666666666,6
95288,Sheraton Suites Columbus,12.65,20
250903,Hilton Garden Inn Columbus Airport,15.0,4
95265,Columbus Airport Marriott,6.666666666666667,3
95289,Ramada Columbus North,2.6666666666666665,3
95258,Crowne Plaza Columbus North,14.571428571428571,7
281777,Comfort Suites - Columbus / Clara St,10.5,2
122237,Red Roof Inn Columbus Downtown - Convention Center,14.333333333333334,3
95269,Comfort Inn North,5.0,3
95253,Hyatt Regency Columbus,6.625,16
95247,Crowne Plaza Columbus Downtown,15.0,11
122229,Renaissance Columbus Downtown Hotel,13.0,12
223735,Residence Inn Columbus Easton,14.0,2
223771,La Quinta Inn & Suites Columbus West - Hilliard,1.5,2
268516,Baymont Inn and Suites Columbus at Rickenbacker,25.0,1
278081,Courtyard Columbus Easton,4.0,1
223747,Homewood Suites by Hilton Columbus Airport,5.0,2
223739,Worthington Red Roof Inn,21.0,1
518306,Hilton Garden Inn Columbus/Polaris,17.0,4
95238,Embassy Suites Hotel Columbus,5.5,2
101653,Fort Rapids Indoor Waterpark Resort,14.0,1
223748,Hilton Columbus at Easton,5.0,2
258165,Drury Inn & Suites Columbus Convention Center,12.1,10
223750,Hampton Inn and Suites Columbus Downtown,17.25,4
