Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,22.5,26
223509,Holiday Inn Express & Suites Columbus Southeast,17.625,8
101657,Extended Stay America - Columbus - Worthington,3.3333333333333335,3
101647,Extended Stay America - Columbus - East,1.0,1
223749,Hampton Inn Columbus Hamilton,17.5,4
223730,TownePlace Suites Columbus Worthington,19.0,9
95241,Motel 6 Columbus,22.333333333333332,3
612540,BEST WESTERN PLUS Port Columbus,16.333333333333332,6
223753,Country Inn & Suites Columbus-West,18.666666666666668,6
101660,Econo Lodge Brice Road,11.6,5
223764,Americas Best Value Inn-Columbus/West,18.5,2
1206195,Neil Avenue Bed and Breakfast,23.5,2
95284,Red Roof Inn Columbus Ohio State University,18.058823529411764,17
223732,InTown Suites Columbus / Dublin,8.0,2
1225684,La Quinta Inn East Hotel,25.0,1
101670,Knights Inn Columbus East,19.666666666666668,3
222972,InTown Suites Columbus North,22.0,1
95240,Howard Johnson Inn Columbus,9.88888888888889,9
240082,Motel 6 Columbus Worthington,8.0,2
90214,Rodeway Inn North,13.0,11
95236,North Suites,11.0,4
101661,Courtyard by Marriott Columbus Airport,19.2,10
223767,Americas Best Value Inn - Columbus / North,10.25,4
223763,Cross Country Inn Continent,7.0,2
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
223762,Americas Best Value Inn Columbus Airport,14.214285714285714,14
1191338,Holiday Inn -Ohio State University Area,5.0,1
240078,Motel 6 Columbus East,4.0,2
101649,Columbus Inn & Suites,5.470588235294118,17
101665,Knights Inn Downtown Columbus,2.0,6
223772,Extended Stay America - Columbus - North,21.625,8
101757,Clarion Hotel & Suites Conference Center,11.333333333333334,27
95275,University Plaza Hotel and Conference Center,15.142857142857142,7
114725,German Village Inn,13.9,10
223766,Varsity Inn,14.363636363636363,11
223737,Residence Inn Columbus Worthington,13.0,12
95264,Days Inn Columbus North,12.625,24
122230,Ramada Plaza Hotel & Conference Center,23.77777777777778,9
90216,East Suites Hotel Columbus,8.6875,16
281206,Motel 6 Columbus OSU,9.333333333333334,3
101643,Wingate by Wyndham Columbus,15.307692307692308,13
95263,Ramada Inn East Airport,12.125,8
223759,Country Inn & Suites Columbus - North,15.862068965517242,29
123895,Quality Inn & Suites Columbus,1.5,2
223765,Varsity Inn OSU North,14.722222222222221,18
95285,Hawthorn Suites by Wyndham Airport Columbus East,16.692307692307693,13
101640,Hampton Inn Columbus West,19.153846153846153,13
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",12.272727272727273,11
101659,Extended Stay America - Columbus - Easton,15.0,7
101646,TownePlace Suites Columbus Airport Gahanna,20.0,12
123898,Super 8 Motel Columbus,7.6,10
124435,Comfort Suites - Columbus / Keim Circle,23.5,8
101636,Comfort Suites Airport,20.31578947368421,19
101651,Red Roof Inn & Suites Columbus - W. Broad,12.8,5
223756,Country Inn & Suites Columbus Airport,19.916666666666668,12
75212,BEST WESTERN PLUS Columbus North,13.72972972972973,37
123896,Hilton Garden Inn Columbus-University Area,25.083333333333332,12
223775,Fairfield Inn & Suites Columbus OSU,22.25,32
101641,Hampton Inn Columbus Airport,17.75,16
626349,Candlewood Suites Polaris,19.333333333333332,6
95246,Courtyard by Marriott Columbus West,26.363636363636363,11
223755,Country Inn & Suites Columbus Airport East,17.333333333333332,9
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,19.05263157894737,19
95242,Baymont Inn Columbus North,10.090909090909092,11
95235,Days Inn Columbus Fairgrounds,6.7894736842105265,19
223728,Extended Stay Deluxe - Columbus - Polaris,16.833333333333332,6
95261,Holiday Inn Columbus Downtown Capital Square,14.382352941176471,34
223760,Courtyard by Marriott Columbus Downtown,17.92,25
95250,Homewood Suites by Hilton Columbus / Worthington,22.0,14
75221,Comfort Inn & Suites,19.133333333333333,15
249788,Holiday Inn Express Ohio State Fair/Expo Center,19.181818181818183,11
95230,Courtyard by Marriott Columbus Worthington,22.1,10
896855,Hyatt Place Columbus/Worthington,23.73913043478261,23
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,16.941176470588236,51
95288,Sheraton Suites Columbus,19.28205128205128,78
223742,Days Inn & Suites Worthington,17.0,9
95277,Red Roof Inn Columbus West,18.666666666666668,3
75206,BEST WESTERN Suites,21.53846153846154,13
95286,"Hawthorn Suites by Wyndham Columbus, Zumstein Dr",14.333333333333334,15
1238209,Holiday Inn Columbus-Hilliard,24.5,4
223223,Staybridge Suites Columbus Airport,18.80952380952381,21
223726,Super 8 Columbus West,8.75,4
250903,Hilton Garden Inn Columbus Airport,19.136363636363637,22
95258,Crowne Plaza Columbus North,18.942307692307693,52
95249,Doubletree Hotel Columbus Worthington,21.047619047619047,21
95253,Hyatt Regency Columbus,15.592592592592593,54
95265,Columbus Airport Marriott,19.51851851851852,27
95289,Ramada Columbus North,20.571428571428573,21
