Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,24.666666666666668,33
223509,Holiday Inn Express & Suites Columbus Southeast,19.11111111111111,9
101657,Extended Stay America - Columbus - Worthington,6.5,4
101647,Extended Stay America - Columbus - East,4.0,2
223749,Hampton Inn Columbus Hamilton,19.2,5
223730,TownePlace Suites Columbus Worthington,19.416666666666668,12
95241,Motel 6 Columbus,25.6,5
612540,BEST WESTERN PLUS Port Columbus,22.166666666666668,12
223753,Country Inn & Suites Columbus-West,19.555555555555557,9
101660,Econo Lodge Brice Road,11.6,5
101668,Knights Inn Columbus North,8.0,1
95284,Red Roof Inn Columbus Ohio State University,18.333333333333332,24
240079,Motel 6 Columbus North,19.25,4
223764,Americas Best Value Inn-Columbus/West,22.666666666666668,3
1206195,Neil Avenue Bed and Breakfast,23.5,2
1225684,La Quinta Inn East Hotel,21.0,2
240082,Motel 6 Columbus Worthington,18.2,5
223732,InTown Suites Columbus / Dublin,10.666666666666666,3
101670,Knights Inn Columbus East,16.5,4
223734,InTown Suites Columbus East,29.0,1
101661,Courtyard by Marriott Columbus Airport,19.3125,16
222972,InTown Suites Columbus North,24.5,2
95240,Howard Johnson Inn Columbus,9.6,10
90214,Rodeway Inn North,12.285714285714286,14
95236,North Suites,9.375,8
223767,Americas Best Value Inn - Columbus / North,11.25,8
223762,Americas Best Value Inn Columbus Airport,14.5,16
223763,Cross Country Inn Continent,7.0,2
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
1191338,Holiday Inn -Ohio State University Area,5.0,1
240078,Motel 6 Columbus East,7.25,4
101665,Knights Inn Downtown Columbus,7.818181818181818,11
101649,Columbus Inn & Suites,6.954545454545454,22
223772,Extended Stay America - Columbus - North,20.6,10
101757,Clarion Hotel & Suites Conference Center,11.548387096774194,31
114725,German Village Inn,13.818181818181818,11
95275,University Plaza Hotel and Conference Center,15.142857142857142,7
223766,Varsity Inn,16.0,16
101643,Wingate by Wyndham Columbus,17.761904761904763,21
95264,Days Inn Columbus North,13.172413793103448,29
223759,Country Inn & Suites Columbus - North,16.46875,32
223737,Residence Inn Columbus Worthington,13.76923076923077,13
122230,Ramada Plaza Hotel & Conference Center,21.076923076923077,13
95285,Hawthorn Suites by Wyndham Airport Columbus East,15.666666666666666,24
90216,East Suites Hotel Columbus,10.5,18
281206,Motel 6 Columbus OSU,9.333333333333334,3
95263,Ramada Inn East Airport,15.6,10
223765,Varsity Inn OSU North,15.105263157894736,19
123895,Quality Inn & Suites Columbus,2.0,3
101640,Hampton Inn Columbus West,20.235294117647058,17
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",13.928571428571429,14
101659,Extended Stay America - Columbus - Easton,19.272727272727273,11
123898,Super 8 Motel Columbus,7.0,13
101646,TownePlace Suites Columbus Airport Gahanna,21.571428571428573,14
124435,Comfort Suites - Columbus / Keim Circle,21.928571428571427,14
101636,Comfort Suites Airport,21.142857142857142,21
101651,Red Roof Inn & Suites Columbus - W. Broad,15.0,6
223756,Country Inn & Suites Columbus Airport,19.923076923076923,13
75212,BEST WESTERN PLUS Columbus North,14.642857142857142,42
101639,Red Roof Inn Columbus - Ohio State Fairgrounds,22.333333333333332,3
123896,Hilton Garden Inn Columbus-University Area,26.533333333333335,15
223775,Fairfield Inn & Suites Columbus OSU,22.82857142857143,35
101641,Hampton Inn Columbus Airport,19.61111111111111,18
95246,Courtyard by Marriott Columbus West,25.785714285714285,14
626349,Candlewood Suites Polaris,21.1,10
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,22.607142857142858,28
223755,Country Inn & Suites Columbus Airport East,20.866666666666667,15
