Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,26.808823529411764,68
223755,Country Inn & Suites Columbus Airport East,23.678571428571427,28
223509,Holiday Inn Express & Suites Columbus Southeast,21.916666666666668,12
612540,BEST WESTERN PLUS Port Columbus,23.916666666666668,24
223730,TownePlace Suites Columbus Worthington,20.65,20
223749,Hampton Inn Columbus Hamilton,19.444444444444443,9
101657,Extended Stay America - Columbus - Worthington,8.4,5
101647,Extended Stay America - Columbus - East,10.0,6
223753,Country Inn & Suites Columbus-West,21.47826086956522,23
1628583,Sawmill Extended Stay,35.0,1
95284,Red Roof Inn Columbus Ohio State University,21.847826086956523,46
95241,Motel 6 Columbus,24.875,8
101661,Courtyard by Marriott Columbus Airport,20.96969696969697,33
101660,Econo Lodge Brice Road,11.166666666666666,6
240079,Motel 6 Columbus North,15.25,8
223764,Americas Best Value Inn-Columbus/West,22.0,6
1218847,Knights Inn Columbus,4.0,1
101668,Knights Inn Columbus North,12.0,3
240082,Motel 6 Columbus Worthington,17.88888888888889,9
223732,InTown Suites Columbus / Dublin,13.0,5
1206195,Neil Avenue Bed and Breakfast,23.5,2
1225684,La Quinta Inn East Hotel,20.666666666666668,3
101670,Knights Inn Columbus East,14.6,5
95240,Howard Johnson Inn Columbus,10.363636363636363,11
95236,North Suites,9.928571428571429,14
223734,InTown Suites Columbus East,29.0,1
90214,Rodeway Inn North,12.105263157894736,19
222972,InTown Suites Columbus North,20.333333333333332,3
223767,Americas Best Value Inn - Columbus / North,11.761904761904763,21
101649,Columbus Inn & Suites,7.620689655172414,29
223762,Americas Best Value Inn Columbus Airport,13.28,25
101757,Clarion Hotel & Suites Conference Center,13.577777777777778,45
95285,Hawthorn Suites by Wyndham Airport Columbus East,19.92063492063492,63
223763,Cross Country Inn Continent,7.0,2
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
1191338,Holiday Inn -Ohio State University Area,13.0,4
240078,Motel 6 Columbus East,6.2,5
223766,Varsity Inn,17.423076923076923,26
114725,German Village Inn,14.866666666666667,15
95275,University Plaza Hotel and Conference Center,16.666666666666668,18
223772,Extended Stay America - Columbus - North,19.363636363636363,11
101665,Knights Inn Downtown Columbus,9.733333333333333,15
95264,Days Inn Columbus North,12.289473684210526,38
101643,Wingate by Wyndham Columbus,18.176470588235293,34
122230,Ramada Plaza Hotel & Conference Center,20.625,24
223759,Country Inn & Suites Columbus - North,18.354166666666668,48
223737,Residence Inn Columbus Worthington,18.73913043478261,23
95263,Ramada Inn East Airport,15.722222222222221,18
90216,East Suites Hotel Columbus,13.652173913043478,23
281206,Motel 6 Columbus OSU,15.5,6
123895,Quality Inn & Suites Columbus,14.125,8
223765,Varsity Inn OSU North,16.666666666666668,24
101640,Hampton Inn Columbus West,19.5,26
75212,BEST WESTERN PLUS Columbus North,15.956521739130435,69
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",14.791666666666666,24
101646,TownePlace Suites Columbus Airport Gahanna,22.105263157894736,19
101659,Extended Stay America - Columbus - Easton,19.333333333333332,15
123898,Super 8 Motel Columbus,7.0,14
101641,Hampton Inn Columbus Airport,20.41025641025641,39
124435,Comfort Suites - Columbus / Keim Circle,19.923076923076923,26
101651,Red Roof Inn & Suites Columbus - W. Broad,21.176470588235293,17
101636,Comfort Suites Airport,22.615384615384617,26
223775,Fairfield Inn & Suites Columbus OSU,22.86046511627907,43
223756,Country Inn & Suites Columbus Airport,20.047619047619047,21
95261,Holiday Inn Columbus Downtown Capital Square,18.4875,80
101639,Red Roof Inn Columbus - Ohio State Fairgrounds,20.636363636363637,11
123896,Hilton Garden Inn Columbus-University Area,26.28,25
1546086,Holiday Inn Express Hotel & Suites Columbus University Area - OSU,27.10810810810811,37
95246,Courtyard by Marriott Columbus West,24.73913043478261,23
626349,Candlewood Suites Polaris,21.11764705882353,17
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,22.267857142857142,112
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,22.45945945945946,37
95242,Baymont Inn Columbus North,12.366666666666667,30
101653,Fort Rapids Indoor Waterpark Resort,17.234939759036145,332
95235,Days Inn Columbus Fairgrounds,11.696969696969697,33
223760,Courtyard by Marriott Columbus Downtown,22.25,52
223728,Extended Stay Deluxe - Columbus - Polaris,21.666666666666668,15
95288,Sheraton Suites Columbus,21.72992700729927,137
95250,Homewood Suites by Hilton Columbus / Worthington,24.0,30
249788,Holiday Inn Express Ohio State Fair/Expo Center,20.06896551724138,29
95230,Courtyard by Marriott Columbus Worthington,23.14814814814815,27
75221,Comfort Inn & Suites,20.77777777777778,27
896855,Hyatt Place Columbus/Worthington,25.11111111111111,45
95286,"Hawthorn Suites by Wyndham Columbus, Zumstein Dr",21.445945945945947,74
223742,Days Inn & Suites Worthington,23.666666666666668,33
95252,Sheraton Columbus at Capitol Square Hotel,23.0,25
95258,Crowne Plaza Columbus North,20.328125,128
95277,Red Roof Inn Columbus West,25.451612903225808,31
75206,BEST WESTERN Suites,23.133333333333333,30
95253,Hyatt Regency Columbus,21.16551724137931,145
223223,Staybridge Suites Columbus Airport,22.6,40
1238209,Holiday Inn Columbus-Hilliard,28.352941176470587,17
95249,Doubletree Hotel Columbus Worthington,21.581818181818182,55
223726,Super 8 Columbus West,12.727272727272727,11
250903,Hilton Garden Inn Columbus Airport,20.476190476190474,42
122229,Renaissance Columbus Downtown Hotel,22.158227848101266,158
1382787,Fairfield Inn and Suites by Marriott Columbus West,31.0,1
95265,Columbus Airport Marriott,22.058823529411764,51
675842,Hampton Inn & Suites Columbus-Easton,26.0,68
95289,Ramada Columbus North,23.11320754716981,53
95247,Crowne Plaza Columbus Downtown,22.729323308270676,133
122237,Red Roof Inn Columbus Downtown - Convention Center,24.233333333333334,90
95293,The Westin Columbus,23.55757575757576,165
95269,Comfort Inn North,17.14,50
281777,Comfort Suites - Columbus / Clara St,15.875,24
223735,Residence Inn Columbus Easton,23.818181818181817,33
223724,Comfort Inn North Polaris,25.804347826086957,46
278081,Courtyard Columbus Easton,26.20408163265306,49
1479195,Four Points by Sheraton Columbus Ohio Airport,27.205128205128204,78
223771,La Quinta Inn & Suites Columbus West - Hilliard,21.35,20
2154314,SpringHill Suites Columbus OSU,30.35,20
258165,Drury Inn & Suites Columbus Convention Center,25.471910112359552,89
223747,Homewood Suites by Hilton Columbus Airport,23.035714285714285,28
268516,Baymont Inn and Suites Columbus at Rickenbacker,22.647058823529413,17
1200977,Cambria Suites,29.38095238095238,84
95238,Embassy Suites Hotel Columbus,24.341772151898734,79
518306,Hilton Garden Inn Columbus/Polaris,25.254901960784313,51
223739,Worthington Red Roof Inn,30.285714285714285,14
223748,Hilton Columbus at Easton,23.303030303030305,99
1415082,Embassy Suites Columbus - Airport,30.0609756097561,82
1804801,Hyatt Place Columbus/OSU,28.733333333333334,45
1588429,Comfort Suites East Broad at 270,29.82608695652174,23
878115,Hampton Inn & Suites Columbus Polaris,29.08,75
819653,Residence Inn Columbus Downtown,27.87878787878788,66
1157336,Hilton Columbus/Polaris,26.276923076923076,65
2151296,Holiday Inn Express & Suites Columbus-Polaris Parkway,30.96153846153846,26
223750,Hampton Inn and Suites Columbus Downtown,25.112903225806452,62
