Hotel ID,Hotel Name,Total Rating,Overall Customers
102550,Chestnut Hill Hotel,2.3333333333333335,3
96712,Latham Hotel,7.7894736842105265,38
102510,Hyatt at the Bellevue,9.375,32
112136,Penn's View Hotel,17.11764705882353,17
224279,Hampton Inn Philadelphia Convention Center,10.4375,32
249126,The Inn At The Union League,7.5,2
220059,Westin Philadelphia,10.195121951219512,41
122337,Parker-Spruce Hotel,3.8,5
122324,Hub Motel,5.0,1
102539,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,11.0,6
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,6.4,5
102509,Penn Tower Hotel,5.181818181818182,11
96684,Days Inn Philadelphia - Roosevelt Boulevard,3.8333333333333335,6
122335,Roosevelt Inn,3.0,3
96730,Society Hill Hotel,7.391304347826087,23
1861737,North American Motor Inns,7.666666666666667,3
102463,Courtyard Philadelphia Downtown,16.0,38
102472,Hampton Inn Philadelphia International Airport,16.5,6
102492,Rodeway Inn Center City,2.923076923076923,13
74370,BEST WESTERN Center City Hotel,5.1,20
96705,Holiday Inn Express Philadelphia Midtown,11.81081081081081,37
220057,Four Points by Sheraton Philadelphia Airport,8.736842105263158,19
112132,Loews Philadelphia Hotel,8.930232558139535,86
102537,Fairfield Inn Philadelphia Airport,10.642857142857142,14
271793,Hilton Philadelphia City Avenue,5.571428571428571,7
102542,Courtyard by Marriott Philadelphia Airport,12.333333333333334,6
102503,Residence Inn Philadelphia Airport,4.75,8
96721,Renaissance Philadelphia Airport,12.071428571428571,14
122332,Ritz-Carlton Philadelphia,10.95,40
102707,Sheraton Philadelphia University City Hotel,10.0,12
220058,Sheraton Suites Philadelphia Airport,12.2,30
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,6.75,12
115448,Travelodge Philadelphia Convention Center,13.5,12
102519,Holiday Inn Philadelphia Stadium,11.066666666666666,15
96737,Radisson Plaza-Warwick Hotel Philadelphia,12.491228070175438,57
102480,Doubletree by Hilton Philadelphia Center City,9.574074074074074,54
115444,Philadelphia Airport Marriott,13.076923076923077,26
112137,Hilton Philadelphia Airport,9.217391304347826,23
483277,Homewood Suites Philadelphia - City Ave,25.0,2
125307,Sonesta Hotel Philadelphia,10.463414634146341,41
96686,Embassy Suites Philadelphia - Airport,11.344827586206897,29
96688,Embassy Suites Philadelphia - Center City,12.046875,64
247008,Residence Inn Philadelphia Center City,14.0,19
217682,Club Quarters,9.092105263157896,76
123541,Hilton Garden Inn Philadelphia Center City,12.0,41
142181,Comfort Inn Downtown/Historic Area,11.166666666666666,18
112129,Holiday Inn Hotel Historic District Philadelphia,10.871794871794872,39
122325,The Windsor Suites,6.842105263157895,38
74363,BEST WESTERN PLUS Independence Park Hotel,13.227272727272727,22
96711,Hyatt Regency Philadelphia at Penn's Landing,11.98360655737705,61
112134,Omni Hotel at Independence Park,12.25,48
112124,Four Seasons Hotel Philadelphia,14.0,42
224280,Hilton Inn at Penn,11.642857142857142,14
122315,Alexander Inn,12.901639344262295,61
226730,"Rittenhouse 1715, A Boutique Hotel",12.5,18
499019,Morris House Hotel,14.785714285714286,14
102710,Sheraton Philadelphia Downtown Hotel,8.0546875,128
96735,The Rittenhouse Hotel,11.88888888888889,27
122343,Sofitel Philadelphia Hotel,14.4375,128
102466,Philadelphia Marriott Downtown,14.117647058823529,68
