Hotel ID,Hotel Name,Total Rating,Overall Customers
102550,Chestnut Hill Hotel,14.142857142857142,7
96712,Latham Hotel,10.033333333333333,60
102510,Hyatt at the Bellevue,12.69767441860465,43
112136,Penn's View Hotel,20.185185185185187,27
224279,Hampton Inn Philadelphia Convention Center,14.596153846153847,52
249126,The Inn At The Union League,7.5,2
220059,Westin Philadelphia,12.607843137254902,51
122337,Parker-Spruce Hotel,3.8,5
122324,Hub Motel,5.0,2
102539,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,11.714285714285714,7
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,6.4,5
102509,Penn Tower Hotel,5.416666666666667,12
96684,Days Inn Philadelphia - Roosevelt Boulevard,4.444444444444445,9
122335,Roosevelt Inn,5.5,4
96730,Society Hill Hotel,7.379310344827586,29
102463,Courtyard Philadelphia Downtown,18.68421052631579,57
1861737,North American Motor Inns,7.666666666666667,3
102472,Hampton Inn Philadelphia International Airport,21.75,12
74370,BEST WESTERN Center City Hotel,7.333333333333333,30
102492,Rodeway Inn Center City,3.0,15
96705,Holiday Inn Express Philadelphia Midtown,13.783333333333333,60
220057,Four Points by Sheraton Philadelphia Airport,10.083333333333334,24
112132,Loews Philadelphia Hotel,12.686440677966102,118
102537,Fairfield Inn Philadelphia Airport,11.666666666666666,18
271793,Hilton Philadelphia City Avenue,7.7,10
102542,Courtyard by Marriott Philadelphia Airport,15.1,10
122332,Ritz-Carlton Philadelphia,13.084745762711865,59
102503,Residence Inn Philadelphia Airport,5.666666666666667,9
96721,Renaissance Philadelphia Airport,13.363636363636363,22
220058,Sheraton Suites Philadelphia Airport,12.465116279069768,43
102707,Sheraton Philadelphia University City Hotel,12.789473684210526,19
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,8.619047619047619,21
115448,Travelodge Philadelphia Convention Center,14.736842105263158,19
102519,Holiday Inn Philadelphia Stadium,10.074074074074074,27
96737,Radisson Plaza-Warwick Hotel Philadelphia,13.424242424242424,66
225275,Conwell Inn,20.0,1
102480,Doubletree by Hilton Philadelphia Center City,11.055555555555555,72
115444,Philadelphia Airport Marriott,15.571428571428571,42
112137,Hilton Philadelphia Airport,10.742857142857142,35
142181,Comfort Inn Downtown/Historic Area,12.931034482758621,29
483277,Homewood Suites Philadelphia - City Ave,17.5,6
125307,Sonesta Hotel Philadelphia,11.568627450980392,51
96686,Embassy Suites Philadelphia - Airport,12.777777777777779,36
96688,Embassy Suites Philadelphia - Center City,12.551282051282051,78
217682,Club Quarters,11.294642857142858,112
247008,Residence Inn Philadelphia Center City,15.827586206896552,29
123541,Hilton Garden Inn Philadelphia Center City,14.246153846153845,65
112129,Holiday Inn Hotel Historic District Philadelphia,12.879310344827585,58
122325,The Windsor Suites,8.591836734693878,49
74363,BEST WESTERN PLUS Independence Park Hotel,15.333333333333334,33
96711,Hyatt Regency Philadelphia at Penn's Landing,14.75294117647059,85
112134,Omni Hotel at Independence Park,14.898550724637682,69
112124,Four Seasons Hotel Philadelphia,15.653846153846153,52
224280,Hilton Inn at Penn,13.7,20
122315,Alexander Inn,15.559139784946236,93
226730,"Rittenhouse 1715, A Boutique Hotel",16.0,24
499019,Morris House Hotel,16.5,18
102710,Sheraton Philadelphia Downtown Hotel,8.955414012738853,157
96735,The Rittenhouse Hotel,15.027027027027026,37
122343,Sofitel Philadelphia Hotel,16.63276836158192,177
102466,Philadelphia Marriott Downtown,15.554347826086957,92
