Hotel ID,Hotel Name,Total Rating,Overall Customers
96712,Latham Hotel,15.7,170
102550,Chestnut Hill Hotel,21.555555555555557,45
112136,Penn's View Hotel,24.64516129032258,155
102510,Hyatt at the Bellevue,19.6796875,128
224279,Hampton Inn Philadelphia Convention Center,20.44298245614035,228
220059,Westin Philadelphia,21.796536796536795,231
102463,Courtyard Philadelphia Downtown,23.820422535211268,284
1479774,Le Meridien Philadelphia,28.283185840707965,113
249126,The Inn At The Union League,19.615384615384617,13
112132,Loews Philadelphia Hotel,21.42324561403509,456
1097234,Szechuan China Royal,3.0,1
122328,Blue Moon Hotel,7.0,1
122337,Parker-Spruce Hotel,4.777777777777778,9
122335,Roosevelt Inn,12.307692307692308,13
122324,Hub Motel,8.818181818181818,11
102509,Penn Tower Hotel,12.885714285714286,35
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,14.785714285714286,28
102539,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,12.538461538461538,13
96730,Society Hill Hotel,11.25,60
96684,Days Inn Philadelphia - Roosevelt Boulevard,7.0,30
1164882,Ramada Philadelphia,12.25,4
1861737,North American Motor Inns,12.758620689655173,29
96705,Holiday Inn Express Philadelphia Midtown,20.219101123595507,178
74370,BEST WESTERN Center City Hotel,13.325581395348838,129
102472,Hampton Inn Philadelphia International Airport,20.363636363636363,66
102492,Rodeway Inn Center City,11.938461538461539,65
96737,Radisson Plaza-Warwick Hotel Philadelphia,20.898954703832754,287
220057,Four Points by Sheraton Philadelphia Airport,16.703296703296704,91
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,13.577981651376147,109
1778574,Skyview Plaza Hotel & Suites,13.5,18
102537,Fairfield Inn Philadelphia Airport,18.226666666666667,75
122332,Ritz-Carlton Philadelphia,21.10810810810811,185
1176615,Four Points by Sheraton Philadelphia City Center,21.205882352941178,68
96726,Four Points by Sheraton Philadelphia Northeast,23.795698924731184,93
271793,Hilton Philadelphia City Avenue,20.0,58
1510002,Hotel Palomar Philadelphia - a Kimpton Hotel,29.772486772486772,189
96721,Renaissance Philadelphia Airport,19.309734513274336,113
220058,Sheraton Suites Philadelphia Airport,16.401360544217688,147
102707,Sheraton Philadelphia University City Hotel,19.21311475409836,122
102542,Courtyard by Marriott Philadelphia Airport,20.45945945945946,37
102503,Residence Inn Philadelphia Airport,14.89655172413793,29
102519,Holiday Inn Philadelphia Stadium,16.104477611940297,134
102480,Doubletree by Hilton Philadelphia Center City,20.649122807017545,285
115448,Travelodge Philadelphia Convention Center,13.075757575757576,66
142181,Comfort Inn Downtown/Historic Area,21.277551020408165,245
115444,Philadelphia Airport Marriott,20.365853658536587,123
1022889,aloft Philadelphia Airport,22.844827586206897,116
112137,Hilton Philadelphia Airport,16.71323529411765,136
225275,Conwell Inn,24.071428571428573,28
96698,Crowne Plaza Philadelphia West,22.4,85
125307,Sonesta Hotel Philadelphia,19.835497835497836,231
217682,Club Quarters,16.815028901734102,346
123541,Hilton Garden Inn Philadelphia Center City,20.53846153846154,273
96688,Embassy Suites Philadelphia - Center City,20.142857142857142,238
112129,Holiday Inn Hotel Historic District Philadelphia,20.230215827338128,278
247008,Residence Inn Philadelphia Center City,21.74074074074074,135
96686,Embassy Suites Philadelphia - Airport,17.68503937007874,127
483277,Homewood Suites Philadelphia - City Ave,24.923076923076923,39
122325,The Windsor Suites,16.414634146341463,205
74363,BEST WESTERN PLUS Independence Park Hotel,22.5929203539823,113
96711,Hyatt Regency Philadelphia at Penn's Landing,19.992481203007518,266
112134,Omni Hotel at Independence Park,22.41176470588235,272
662409,AKA Rittenhouse Square,26.833333333333332,24
112124,Four Seasons Hotel Philadelphia,22.45054945054945,182
102710,Sheraton Philadelphia Downtown Hotel,14.839779005524862,362
499019,Morris House Hotel,25.881818181818183,110
226730,"Rittenhouse 1715, A Boutique Hotel",23.3875,80
102466,Philadelphia Marriott Downtown,19.813253012048193,332
224280,Hilton Inn at Penn,21.752808988764045,89
122343,Sofitel Philadelphia Hotel,22.850980392156863,510
96735,The Rittenhouse Hotel,22.637037037037036,135
1091941,The Independent,26.277372262773724,137
122315,Alexander Inn,23.715846994535518,366
