Hotel ID,Hotel Name,Total Rating,Overall Customers
672520,Hyatt Place Memphis Primacy Parkway,4.0,1
105281,Comfort Inn Downtown,4.5,2
114850,The Peabody Memphis,2.2,5
223752,Days Inn Memphis at Graceland,4.0,1
98019,Motel 6 Memphis - Graceland,3.0,2
122494,American Inn Memphis,1.0,1
98058,Memphis Marriott,4.0,1
98071,Motel 6 Memphis Downtown,1.0,1
98018,Motel 6,1.0,1
122542,Alberts Cabins,3.0,1
105191,Sleep Inn - Memphis / American Way,5.0,1
111860,Homestead Studio Suites - Memphis - Poplar Avenue,5.0,1
146517,DoubleTree by Hilton Hotel Memphis,1.0,1
295791,Hilton Memphis,1.0,1
220079,Holiday Inn Select Memphis - Downtown (Beale Street),5.0,1
125626,Elvis Presley's Heartbreak Hotel,2.3333333333333335,3
223774,Madison Hotel,5.0,3
