Hotel ID,Hotel Name,Total Rating,Overall Customers
249713,Holiday Inn Univ of Memphis,13.75,4
105190,SpringHill Suites Memphis East / Galleria,7.333333333333333,3
225338,La Quinta Inn & Suites Memphis East-Sycamore View,15.0,2
111855,Embassy Suites Memphis,7.705882352941177,17
672520,Hyatt Place Memphis Primacy Parkway,7.285714285714286,7
105192,Sleep Inn at Court Square,12.185185185185185,27
105281,Comfort Inn Downtown,12.859649122807017,57
114850,The Peabody Memphis,7.276315789473684,76
98031,La Quinta Inn & Suites Memphis Airport Graceland,2.0,2
105236,BEST WESTERN Galleria Inn and Suites,9.666666666666666,3
105151,La Quinta Inn & Suites Memphis Primacy Parkway,14.11111111111111,9
223886,SpringHill Suites Memphis Downtown,14.375,16
223752,Days Inn Memphis at Graceland,9.227272727272727,22
105247,Extended Stay America - Memphis - Mt. Moriah,3.0,1
105177,Hampton Inn Memphis - Southwind,14.5,2
98019,Motel 6 Memphis - Graceland,2.25,4
98077,Residence Inn Memphis East,6.25,8
105256,Courtyard by Marriott Memphis East/Lenox Corporate Park,11.5,2
105194,Econo Lodge,4.666666666666667,3
122499,Americas Best Value Inn & Suites - Memphis / Graceland,12.0,1
239353,Colonial Inn & Suites,3.0,1
105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,17.666666666666668,3
224184,Extended Stay America - Memphis - Apple Tree,9.0,3
98036,Hampton Inn Memphis-Poplar,13.25,4
239950,BEST WESTERN Executive Inn,13.5,2
98037,Airport Inn,4.3076923076923075,13
223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,3.3333333333333335,3
98058,Memphis Marriott,10.090909090909092,11
105198,Guest Inn,1.0,1
98034,Holiday Inn Express - Medical Center Midtown,4.818181818181818,11
122561,Motel 6 Memphis East,5.5,2
243751,Super 7 Inn Memphis Graceland,18.0,1
122494,American Inn Memphis,1.0,1
98071,Motel 6 Memphis Downtown,1.0,1
224185,Extended Stay America - Memphis - Sycamore View,11.0,1
98057,Studio 6 Memphis,5.0,1
98023,Knights Inn Airport,1.0,1
98018,Motel 6,3.3333333333333335,3
105184,Fairfield Inn & Suites Memphis,4.0,1
122567,Homestead Studio Suites - Memphis - Airport,2.0,1
122584,Comfort Suites I-240 East-Airport,14.6,5
73880,BEST WESTERN Travelers Inn,1.0,1
122542,Alberts Cabins,3.0,1
223744,Baymont Inn & Suites Memphis East,9.857142857142858,7
98048,Artisan Hotel Memphis,2.8,10
223770,Sleep Inn - Memphis / Old Austin Peay Hwy,12.666666666666666,6
105241,Fairfield Inn Memphis I-240 & Perkins,3.0,2
98045,Memphis Marriott East,13.666666666666666,6
105222,Super 8 Memphis / Downtown / Graceland Area,5.4,10
105191,Sleep Inn - Memphis / American Way,5.0,1
146517,DoubleTree by Hilton Hotel Memphis,5.857142857142857,14
111860,Homestead Studio Suites - Memphis - Poplar Avenue,5.0,1
248601,Holiday Inn Express American Way/Airport,17.583333333333332,12
223758,Drury Inn & Suites Memphis Northeast,17.0,18
98021,Courtyard by Marriott Memphis East/Park Avenue,4.0,1
98073,Red Roof Inn Memphis East,14.333333333333334,3
1485414,Vista Inn Motel Downtown Memphis,5.0,2
98020,Courtyard by Marriott Memphis Airport,7.0,6
105170,Memphis-I-240 at Thousand Oaks Hotel,3.0,1
295791,Hilton Memphis,10.88,25
258813,Homewood Suites Memphis - Hacks Cross,3.0,2
268694,Holiday Inn Express Memphis Southwind,5.0,1
220079,Holiday Inn Select Memphis - Downtown (Beale Street),7.777777777777778,18
224306,Homewood Suites by Hilton Memphis-Poplar,5.25,4
105180,Hampton Inn & Suites Memphis-Shady Grove Road,7.4,5
122581,Fairfield Inn & Suites Memphis East,15.0,5
105238,Staybridge Suites Memphis - Poplar Ave East,7.916666666666667,12
125626,Elvis Presley's Heartbreak Hotel,10.36,100
223774,Madison Hotel,11.121951219512194,41
98039,Memphis Marriott Downtown,14.73076923076923,26
310409,Residence Inn Memphis Downtown,13.666666666666666,24
223103,Hampton Inn & Suites Memphis - Beale Street,13.923076923076923,39
