Hotel ID,Hotel Name,Total Rating,Overall Customers
249713,Holiday Inn Univ of Memphis,13.75,4
105190,SpringHill Suites Memphis East / Galleria,7.333333333333333,3
225338,La Quinta Inn & Suites Memphis East-Sycamore View,10.333333333333334,3
111855,Embassy Suites Memphis,7.5,18
672520,Hyatt Place Memphis Primacy Parkway,7.285714285714286,7
105192,Sleep Inn at Court Square,13.0,30
105281,Comfort Inn Downtown,12.95,60
114850,The Peabody Memphis,7.113924050632911,79
98031,La Quinta Inn & Suites Memphis Airport Graceland,2.0,2
105236,BEST WESTERN Galleria Inn and Suites,9.666666666666666,3
105151,La Quinta Inn & Suites Memphis Primacy Parkway,14.11111111111111,9
223886,SpringHill Suites Memphis Downtown,14.529411764705882,17
223752,Days Inn Memphis at Graceland,9.884615384615385,26
105247,Extended Stay America - Memphis - Mt. Moriah,3.0,1
105177,Hampton Inn Memphis - Southwind,14.5,2
98019,Motel 6 Memphis - Graceland,2.25,4
98077,Residence Inn Memphis East,5.666666666666667,9
105256,Courtyard by Marriott Memphis East/Lenox Corporate Park,11.5,2
105194,Econo Lodge,4.666666666666667,3
122499,Americas Best Value Inn & Suites - Memphis / Graceland,12.0,1
239353,Colonial Inn & Suites,3.0,1
105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,17.666666666666668,3
224184,Extended Stay America - Memphis - Apple Tree,9.0,3
98037,Airport Inn,4.428571428571429,14
98036,Hampton Inn Memphis-Poplar,13.25,4
239950,BEST WESTERN Executive Inn,13.5,2
223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,3.3333333333333335,3
98058,Memphis Marriott,10.090909090909092,11
105198,Guest Inn,5.0,3
98034,Holiday Inn Express - Medical Center Midtown,4.818181818181818,11
122561,Motel 6 Memphis East,5.5,2
243751,Super 7 Inn Memphis Graceland,18.0,1
122494,American Inn Memphis,1.0,1
224185,Extended Stay America - Memphis - Sycamore View,8.5,2
98018,Motel 6,4.0,4
98071,Motel 6 Memphis Downtown,1.0,1
98055,Quality Inn Memphis,7.5,2
98057,Studio 6 Memphis,5.0,1
98023,Knights Inn Airport,5.0,2
105184,Fairfield Inn & Suites Memphis,4.0,1
122567,Homestead Studio Suites - Memphis - Airport,2.0,1
122584,Comfort Suites I-240 East-Airport,13.166666666666666,6
73880,BEST WESTERN Travelers Inn,1.0,1
122542,Alberts Cabins,3.0,1
223744,Baymont Inn & Suites Memphis East,9.818181818181818,11
98048,Artisan Hotel Memphis,2.8,10
223770,Sleep Inn - Memphis / Old Austin Peay Hwy,12.666666666666666,6
105241,Fairfield Inn Memphis I-240 & Perkins,3.0,2
98045,Memphis Marriott East,13.666666666666666,6
105222,Super 8 Memphis / Downtown / Graceland Area,6.363636363636363,11
105191,Sleep Inn - Memphis / American Way,14.5,2
146517,DoubleTree by Hilton Hotel Memphis,6.133333333333334,15
111860,Homestead Studio Suites - Memphis - Poplar Avenue,5.0,1
248601,Holiday Inn Express American Way/Airport,18.071428571428573,14
223758,Drury Inn & Suites Memphis Northeast,16.7,20
98021,Courtyard by Marriott Memphis East/Park Avenue,4.0,1
98073,Red Roof Inn Memphis East,13.4,5
1485414,Vista Inn Motel Downtown Memphis,6.75,4
98020,Courtyard by Marriott Memphis Airport,7.0,6
105170,Memphis-I-240 at Thousand Oaks Hotel,3.0,1
295791,Hilton Memphis,11.192307692307692,26
258813,Homewood Suites Memphis - Hacks Cross,3.0,2
268694,Holiday Inn Express Memphis Southwind,5.0,1
220079,Holiday Inn Select Memphis - Downtown (Beale Street),8.65,20
224306,Homewood Suites by Hilton Memphis-Poplar,8.6,5
122581,Fairfield Inn & Suites Memphis East,14.142857142857142,7
105180,Hampton Inn & Suites Memphis-Shady Grove Road,7.4,5
105238,Staybridge Suites Memphis - Poplar Ave East,7.916666666666667,12
125626,Elvis Presley's Heartbreak Hotel,10.869158878504672,107
223774,Madison Hotel,11.568181818181818,44
98039,Memphis Marriott Downtown,14.73076923076923,26
310409,Residence Inn Memphis Downtown,14.12,25
223103,Hampton Inn & Suites Memphis - Beale Street,14.954545454545455,44
