Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,26.0,1
108038,Hilton University of Houston,14.25,8
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,16.25,12
107915,Drury Inn & Suites Houston Near The Galleria,22.571428571428573,7
559491,Holiday Inn Express Houston East,17.0,2
266158,Super 8 Houston/Hobby Airport/I-45,23.0,1
223137,La Quinta Inn Houston Northwest,13.666666666666666,3
108057,Residence Inn Houston Clear Lake,17.25,4
107924,Courtyard by Marriott Houston Westchase,10.0,4
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,18.0,2
98920,Houston Marriott Westchase,15.133333333333333,15
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
99081,Crowne Plaza Houston - Brookhollow,7.25,4
283873,"Hotel Icon, Autograph Collection",17.05263157894737,57
98952,Four Seasons Hotel Houston,13.631578947368421,19
223164,Homewood Suites by Hilton Houston - Clear Lake,20.0,6
585164,Residence Inn Houston West/Energy Corridor,26.0,1
108149,Drury Inn & Suites Houston Hobby,18.375,8
596014,Staybridge Suites Houston West / Energy Corridor,30.0,2
256700,Sun Suites of Hobby / Clearlake,14.0,3
223141,Comfort Suites Westchase,18.166666666666668,6
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,23.0,1
108020,BEST WESTERN Heritage Inn,5.0,1
223149,Hampton Inn Houston Hobby Airport,18.5,2
486939,Hampton Inn & Suites Houston-Westchase,21.0,1
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.5,6
223148,Baymont Inn & Suites Houston,16.2,5
107846,Montecito Apartment Suites,20.0,1
98940,Houston Inn and Suites,1.0,1
99132,Hilton Houston Westchase,18.6,10
98989,DoubleTree by Hilton Houston Hobby Airport,18.0,6
98976,Hotel Preet Northwest,3.6666666666666665,3
266125,Hobby Inn and Suites,4.333333333333333,3
107769,Fairfield Inn & Suites Houston I-45 North,5.0,2
223135,Travelodge Houston - Intercontinental,4.5,2
107999,Quality Inn & Suites West - Energy Corridor,14.0,1
244313,Motel 6 Houston - Westchase,18.0,1
99031,America's Inn,8.0,2
73463,Downtowner Inn and Suites,22.666666666666668,3
98972,Ramada Inn North Houston,2.0,1
239857,Studio 6 Houston - Spring,4.0,2
142353,Econo Lodge Medical Center,6.5,2
240481,Super 8 Motel - Houston/I-10W@Hwy6,4.0,2
247110,Quality Suites Bush/IAH Airport West,8.5,2
223156,Comfort Inn Houston,16.0,4
277895,Howard Johnson Clearlake,2.0,1
98962,Holiday Inn Houston Near The Galleria,2.0,1
141902,Days Inn West Houston,7.666666666666667,3
107903,Howard Johnson Express Inn - Houston,4.333333333333333,3
108006,Quality Inn Houston,25.0,1
141893,Hampton Inn & Suites,5.0,4
73470,Greenway Inn & Suites,4.5,8
98934,Knights Inn Houston,5.75,8
244314,Motel 6 Houston Reliant Park,10.0,1
99013,Baymont Inn Houston Hobby Airport,12.333333333333334,3
240435,Red Carpet Inn Houston,6.5,2
254040,Moonlight Inn and Suites,6.0,2
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
217739,Wellesley Suites Memorial,2.0,3
108029,Houston Days Inn Downtown / Medical Center,5.0,1
558038,Regency Inn & Suites,17.0,2
603138,Scottish Inn & Suites Houston - Eastex Freeway,6.0,1
98970,Brentwood Inn,9.0,5
223138,Americas Best Value Classic Inn & Suites- Downtown,4.5,2
223194,Scottish Inn & Suites,12.5,2
107911,Hotel 31 Houston Near the Galleria,10.363636363636363,11
292556,Holiday Inn Express Houston - Hobby Airport,13.333333333333334,9
98981,Holiday Inn Houston Southwest-Hwy 59S @ Beltway 8,7.0,1
99101,Sheraton North Houston at George Bush Intercontinental,14.0,18
252340,Super 8 Houston /I-10 & 610,18.0,1
223180,Comfort Inn Hwy. 290/NW,30.0,2
108145,Hotel Marquis,14.25,4
108047,Rodeway Inn & Suites Hwy 290 NW,13.333333333333334,3
99017,La Quinta Inn Houston East,10.0,1
98936,Courtyard by Marriott Houston Brookhollow,18.5,4
1514581,"Park Inn by Radisson, Houston North",19.0,1
223157,Holiday Inn Express Northwest / Brookhollow,5.0,1
559409,Regency Suites Bush Airport,23.75,4
108060,Candlewood Suites Houston/Clear Lake,14.0,2
258875,Comfort Suites,12.5,2
99073,Comfort Inn & Suites Greenway Plaza/SW Freeway,9.2,5
223140,Comfort Suites,23.0,1
107867,Residence Inn Houston Westchase,13.5,4
223176,Residence Inn Intercontinental Airport at Greenspoint,3.0,3
107930,Candlewood Suites Houston by the Galleria,15.666666666666666,3
107812,BEST WESTERN Windsor Suites,17.5,2
256702,Sun Suites Of Westchase,4.5,2
217741,Red Roof Inn Houston IAH Airport,8.8,5
108150,Courtyard by Marriott Houston Hobby Airport,6.4,5
240483,Super 8 Houston / Brookhollow / NW,20.5,2
239356,Americas Best Value Inn & Suites Houston FM 1960/I-45,30.0,1
223136,La Quinta Inn & Suites Houston Southwest,9.0,2
223169,Microtel Inn & Suites by Wyndham Houston,8.5,6
109748,Residence Inn Houston Medical Center/Reliant Park,13.333333333333334,9
99015,La Quinta Inn Houston Cy-Fair,1.0,1
116265,Best Western Plus - North Houston Inn & Suites,30.0,1
240437,Country Inn & Suites Houston Hobby Airport,13.0,2
109742,Hampton Inn Houston Northwest,1.0,1
99014,Days Inn Houston,12.0,2
107859,Comfort Suites - Near the Galleria,6.0,2
223154,Hampton Inn Houston - Near The Galleria,16.375,8
223144,Courtyard by Marriott Houston Northwest,22.5,2
98999,Courtyard Houston I-10 West/Energy Corridor,17.4,5
223150,"Hampton Inn Houston - I-10W, Energy Cor",14.8,5
99106,La Quinta Inn Houston Medical / Reliant Center,16.11111111111111,9
223143,Courtyard Houston Intercontinental Airport,2.0,1
107957,TownePlace Suites Central/Northwest Freeway,25.5,2
107834,Hyatt Place Houston/Greenspoint/IAH Airport,13.833333333333334,6
107990,Extended Stay America - Houston - Greenway Plaza,13.75,4
217746,Extended Stay America - Houston - Galleria - Uptown,11.0,1
109751,Hampton Inn - Brookhollow,14.0,2
223192,Extended Stay America - Houston - Med. Ctr. - Reliant Pk. - Braeswood Blvd.,11.0,1
107844,Residence Inn Houston by The Galleria,21.4,5
223153,Hampton Inn & Suites Houston-Cypress Station,17.666666666666668,3
223165,Homewood Suites by Hilton Houston - Westchase,15.5,4
98997,Hilton Houston Southwest,10.4,15
107783,Comfort Suites Bush Intercontinental Airport,11.833333333333334,6
98959,Holiday Inn Houston Reliant Park Area,16.0,12
99120,BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,16.166666666666668,6
240439,Hilton Garden Inn Houston / Bush Intercontinental Airport,16.875,8
268149,Courtyard by Marriott Houston Downtown,13.0,11
107929,Candlewood Suites Houston Westchase,20.0,1
98996,Hilton Houston Plaza/Medical Center,8.571428571428571,7
123943,Days Inn Houston - Galleria Mall,12.0,1
257507,Four Points by Sheraton Houston Southwest,11.285714285714286,14
268145,Holiday Inn Express Houston - Memorial Park Area,9.25,4
240436,Carefree Inn Medical Center,9.0,1
223142,Country Inn & Suites Intercontinental Airport,13.444444444444445,9
98987,Marriott Houston Airport at George Bush Intercontinental,16.9,20
223159,Holiday Inn Express Houston-Downtown Convention Center,17.88888888888889,9
111618,Renaissance Houston Hotel Greenway Plaza,16.428571428571427,21
108142,John F. Kennedy Inn and Suites,14.857142857142858,7
124937,La Quinta Inn Houston Greenway Plaza,4.0,4
107954,TownePlace Suites Houston I-10 West/Energy Corridor,13.0,2
223228,Holiday Inn Express Houston-NW (Highway 290 and FM 1960),8.0,3
223139,HYATT house Houston/Galleria,8.428571428571429,14
223166,Homewood Suites by Hilton Houston - Willowbrook Mall,8.75,4
223193,Wingate by Wyndham Houston / Willowbrook,14.0,3
258636,Alden-Houston,12.31578947368421,38
99066,Springhill Suites Houston Medical Center/Reliant Park,18.363636363636363,11
98954,DoubleTree Suites by Hilton Houston by the Galleria,14.31578947368421,19
99103,Sheraton Suites Houston Near The Galleria,16.192307692307693,26
108004,Houston Days Inn & Suites,8.0,1
223147,Fairfield Inn & Suites Houston I-10 West / Energy Corridor,20.5,2
108061,SpringHill Suites Houston Brookhollow,22.333333333333332,3
288460,Courtyard Houston-West University,16.88888888888889,9
223134,SpringHill Suites Houston Hobby Airport,19.2,5
107982,Holiday Inn Houston Northwest Willowbrook,12.5,2
98943,Doubletree Hotel Houston Downtown,20.736842105263158,19
98991,Houston Marriott Medical Center,13.142857142857142,14
98944,Hilton Houston Post Oak,19.294117647058822,34
99114,Westin Galleria Houston Hotel,13.148148148148149,27
107826,Houston Marriott North,15.583333333333334,12
99058,Hilton Houston NASA Clear Lake,10.857142857142858,7
277894,Homewood Suites by Hilton HOU Intercontinental Airport,7.5,2
220094,Sonesta ES Suites Houston,18.166666666666668,6
99007,Doubletree Houston Intercontinental Airport,23.6,5
107991,Drury Inn & Suites Houston West,27.0,4
226753,Super 8 Houston/NASA/Webster Area,5.0,1
99010,JW Marriott Houston,12.419354838709678,31
99110,The Lancaster,13.1,20
293234,Holiday Inn Express Hotel & Suites Houston Medical Center,22.5,4
99135,Westin Oaks Houston at the Galleria,10.0,11
107856,La Quinta Inn & Suites Houston Galleria Area,8.5,6
99116,Crowne Plaza Houston Downtown,7.133333333333334,15
286987,Inn at the Ballpark,15.6,25
239865,BEST WESTERN Northwest Inn & Suites,11.8,5
268151,Residence Inn by Marritt Houston Downtown /Convention Center,7.714285714285714,7
286988,Residence Inn Houston West University,16.0,4
98956,Holiday Inn Hotel & Suites Houston Medical Center,15.2,10
530458,La Quinta Inn & Suites Houston Clay Road,21.25,4
266145,Residence Inn Houston Northwest/Willowbrook,21.25,4
223173,Red Roof Inn - Houston - Westchase,3.0,1
631349,Hampton Inn & Suites Houston-Bush Intercontinental Airport,30.0,1
622987,Modern B&B,8.5,2
608401,Homewood Suites Houston near the Galleria,16.0,3
518371,Hilton Garden Inn Houston Westbelt,22.0,2
223227,Wingate by Wyndham Bush Intercontinental Airport IAH,21.5,2
570279,Hilton Garden Inn Houston Galleria,21.928571428571427,14
525232,Club Quarters in Houston,14.928571428571429,14
223145,Embassy Suites Houston - Near the Galleria,14.1,10
99006,Hyatt Regency Houston,13.1875,32
99060,Omni Houston Hotel,10.24390243902439,41
99137,Hilton Houston North,11.2,10
99055,Omni Houston Hotel Westside,15.8125,16
99054,Houston Marriott West Loop by the Galleria,16.615384615384617,13
219703,Sheraton Houston Brookhollow Hotel,13.571428571428571,21
596013,Indigo Houston at the Galleria,19.666666666666668,15
107836,The St. Regis Houston,16.941176470588236,17
1015206,Crowne Plaza Suites Houston - Near Sugar Land,20.0,1
108141,La Quinta Inn & Suites Houston Bush IAH South,20.5,2
247108,Hilton Garden Inn Houston Northwest,13.833333333333334,6
615260,Hotel Granduca,24.5,2
99109,The Houstonian,14.575757575757576,33
73445,BEST WESTERN PLUS Westchase Mini-Suites,24.5,2
266157,Magnolia Hotel Houston,13.274193548387096,62
611291,Hampton Inn & Suites San Antonio-Airport,28.0,3
99455,Hyatt Regency San Antonio,15.448275862068966,87
570285,Hotel Contessa,20.833333333333332,78
223058,Red Roof Inn San Antonio - Airport,12.166666666666666,6
240451,Drury Inn & Suites San Antonio Northwest Medical Center,17.38235294117647,34
108703,Hyatt Place San Antonio Northwest,11.533333333333333,15
223712,La Quinta Inn & Suites San Antonio Airport,15.8,10
108936,Pear Tree Inn San Antonio Northeast,17.0,3
108382,Residence Inn San Antonio Airport,16.571428571428573,7
108736,Extended Stay Deluxe - San Antonio - Colonnade,6.166666666666667,6
223696,Red Roof Inn San Antonio West Sea World,10.25,4
108533,Fairfield Inn San Antonio Airport/North Star Mall,6.333333333333333,6
99420,Courtyard by Marriott San Antonio Airport,14.5,4
273367,Quality Inn & Suites Northwoods,14.333333333333334,6
108206,Days Inn San Antonio Southeast,22.0,1
240452,Park Inn San Antonio North,1.0,1
259215,Budget Lodge Inn & Suites,1.0,1
590753,American Motel,18.333333333333332,3
108534,Drury Inn & Suites San Antonio Airport,16.0,13
108577,Sierra Royale,2.8333333333333335,12
99418,Americas Best Value Inn-AT&T Center,9.5,2
99508,Knights Inn San Antonio East,3.0,1
223687,Villager Lodge San Antonio,1.8,5
293240,Rodeway Inn San Antonio Near AT&T Center,3.0,1
108608,Days Inn Fiesta Park,5.333333333333333,3
