Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,28.333333333333332,6
108038,Hilton University of Houston,16.125,16
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,19.363636363636363,22
1158926,Hilton Garden Inn Houston Energy Corridor,27.11111111111111,18
107915,Drury Inn & Suites Houston Near The Galleria,22.692307692307693,13
1218737,La Quinta Inn & Suites Houston - Normandy,27.5,2
559491,Holiday Inn Express Houston East,22.75,4
266158,Super 8 Houston/Hobby Airport/I-45,18.0,2
108057,Residence Inn Houston Clear Lake,16.583333333333332,12
223137,La Quinta Inn Houston Northwest,18.4,5
1200103,Hotel Sorella CITYCENTRE,25.166666666666668,6
283873,"Hotel Icon, Autograph Collection",19.862903225806452,124
107924,Courtyard by Marriott Houston Westchase,12.11111111111111,9
98920,Houston Marriott Westchase,19.40625,32
98952,Four Seasons Hotel Houston,19.109375,64
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,19.818181818181817,11
99081,Crowne Plaza Houston - Brookhollow,17.958333333333332,24
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
223158,Quality Inn & Suites West Chase,16.0,2
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
223164,Homewood Suites by Hilton Houston - Clear Lake,22.0,9
585164,Residence Inn Houston West/Energy Corridor,25.0,6
108149,Drury Inn & Suites Houston Hobby,21.26086956521739,23
99067,"Four Points by Sheraton Houston, Memorial City",22.727272727272727,11
223154,Hampton Inn Houston - Near The Galleria,20.0,20
99106,La Quinta Inn Houston Medical / Reliant Center,16.19047619047619,21
650546,Symphony Inn & Suites,19.0,1
596014,Staybridge Suites Houston West / Energy Corridor,28.333333333333332,6
256700,Sun Suites of Hobby / Clearlake,17.428571428571427,7
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,14.75,4
223141,Comfort Suites Westchase,19.272727272727273,11
108020,BEST WESTERN Heritage Inn,21.333333333333332,6
256702,Sun Suites Of Westchase,12.25,12
108150,Courtyard by Marriott Houston Hobby Airport,14.421052631578947,19
223149,Hampton Inn Houston Hobby Airport,19.75,4
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,1.0,1
486939,Hampton Inn & Suites Houston-Westchase,24.333333333333332,3
223148,Baymont Inn & Suites Houston,17.529411764705884,17
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.0,7
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,23.5,2
99132,Hilton Houston Westchase,21.76,25
98989,DoubleTree by Hilton Houston Hobby Airport,17.94736842105263,19
488773,Airport Inn And Suites,30.0,1
98940,Houston Inn and Suites,9.333333333333334,3
239859,Studio 6 Houston Northwest,12.0,2
107846,Montecito Apartment Suites,20.0,1
223156,Comfort Inn Houston,12.8,10
107802,Econo Lodge,20.0,3
98962,Holiday Inn Houston Near The Galleria,14.444444444444445,9
98976,Hotel Preet Northwest,4.8,5
122746,Londale Hotel,27.5,2
266125,Hobby Inn and Suites,8.5,4
226721,Studio 6 Houston - Westchase,4.0,1
142353,Econo Lodge Medical Center,11.0,5
107713,Ramada Houston Southwest,12.5,4
223135,Travelodge Houston - Intercontinental,12.25,4
107769,Fairfield Inn & Suites Houston I-45 North,10.666666666666666,3
223183,InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston,10.0,1
223184,InTown Suites Highway 290,6.5,2
239858,Studio 6 Houston-Hobby,21.333333333333332,3
98937,Astro Inn,2.0,1
107999,Quality Inn & Suites West - Energy Corridor,18.333333333333332,3
244313,Motel 6 Houston - Westchase,24.0,2
239355,Super 8 Houston/I-10/Federal Road,12.0,2
73463,Downtowner Inn and Suites,19.428571428571427,7
99031,America's Inn,11.2,5
1382899,Value Place I-10 West,10.0,1
99051,Motel 6 Houston West - Katy,16.8,5
98972,Ramada Inn North Houston,9.444444444444445,9
239857,Studio 6 Houston - Spring,6.0,4
240481,Super 8 Motel - Houston/I-10W@Hwy6,6.2,5
247110,Quality Suites Bush/IAH Airport West,10.333333333333334,3
98934,Knights Inn Houston,8.363636363636363,22
109734,Quality Inn & Suites Galleria/Westchase,15.6,5
99013,Baymont Inn Houston Hobby Airport,14.210526315789474,19
244316,Studio 6 Houston West,25.0,1
277895,Howard Johnson Clearlake,7.0,5
107903,Howard Johnson Express Inn - Houston,8.545454545454545,11
141893,Hampton Inn & Suites,10.571428571428571,14
141902,Days Inn West Houston,10.857142857142858,7
73470,Greenway Inn & Suites,7.5,16
108006,Quality Inn Houston,19.0,3
107911,Hotel 31 Houston Near the Galleria,12.318181818181818,22
244314,Motel 6 Houston Reliant Park,15.333333333333334,3
244196,Preet Inn,10.0,2
240435,Red Carpet Inn Houston,6.5,4
254040,Moonlight Inn and Suites,14.0,3
223182,InTown Suites Houston Intercontinental,2.0,1
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
649739,Camelot Inn & Suites,23.5,2
98986,Hospitality Inn,20.0,1
217739,Wellesley Suites Memorial,2.0,3
108029,Houston Days Inn Downtown / Medical Center,5.0,1
558038,Regency Inn & Suites,17.75,4
603138,Scottish Inn & Suites Houston - Eastex Freeway,6.0,1
98970,Brentwood Inn,9.0,5
107751,Knights Inn Houston Raceway/Bush Airport,10.0,1
240440,Passport Inn & Suites Houston,7.0,2
223138,Americas Best Value Classic Inn & Suites- Downtown,4.5,2
223194,Scottish Inn & Suites,13.25,4
99101,Sheraton North Houston at George Bush Intercontinental,14.166666666666666,42
292556,Holiday Inn Express Houston - Hobby Airport,14.307692307692308,13
258635,Sun Suites Of Greenspoint,11.666666666666666,3
98981,Holiday Inn Houston Southwest-Hwy 59S @ Beltway 8,17.333333333333332,3
98964,Holiday Inn Houston Hobby Airport,23.2,5
108145,Hotel Marquis,15.272727272727273,11
653244,Galleria Garden Hotel/Apartments,14.666666666666666,3
98936,Courtyard by Marriott Houston Brookhollow,18.5,10
223180,Comfort Inn Hwy. 290/NW,22.0,7
252340,Super 8 Houston /I-10 & 610,18.0,1
503400,BEST WESTERN PLUS Sam Houston Inn & Suites,28.333333333333332,3
108047,Rodeway Inn & Suites Hwy 290 NW,14.5,4
99017,La Quinta Inn Houston East,8.0,2
1514581,"Park Inn by Radisson, Houston North",24.5,2
223175,Red Roof Inn - Houston Northwest,6.0,1
1155392,Athens Hotel Suites,19.714285714285715,7
223157,Holiday Inn Express Northwest / Brookhollow,21.0,3
559409,Regency Suites Bush Airport,13.846153846153847,13
244310,Motel 6 Houston Hobby Airport,3.0,1
240483,Super 8 Houston / Brookhollow / NW,18.285714285714285,14
107930,Candlewood Suites Houston by the Galleria,16.785714285714285,14
108060,Candlewood Suites Houston/Clear Lake,19.333333333333332,3
240441,Red Carpet Inn Hobby Airport,8.5,2
223176,Residence Inn Intercontinental Airport at Greenspoint,16.285714285714285,7
258875,Comfort Suites,16.571428571428573,7
223140,Comfort Suites,16.666666666666668,3
99073,Comfort Inn & Suites Greenway Plaza/SW Freeway,9.2,5
107867,Residence Inn Houston Westchase,14.285714285714286,7
99041,La Quinta Inn Houston Wilcrest,17.142857142857142,7
1577352,Baymont Inn and Suites Houston I-45 North,10.0,1
107812,BEST WESTERN Windsor Suites,19.75,4
217741,Red Roof Inn Houston IAH Airport,8.666666666666666,6
223136,La Quinta Inn & Suites Houston Southwest,14.833333333333334,6
223177,Quality Inn & Suites Reliant Park/Medical Center,22.5,6
239356,Americas Best Value Inn & Suites Houston FM 1960/I-45,22.333333333333332,3
109748,Residence Inn Houston Medical Center/Reliant Park,15.666666666666666,21
223169,Microtel Inn & Suites by Wyndham Houston,11.363636363636363,11
99015,La Quinta Inn Houston Cy-Fair,18.6,5
116265,Best Western Plus - North Houston Inn & Suites,22.285714285714285,7
107718,America's Inn,12.75,4
1485278,Quality Inn & Suites North,26.0,3
99014,Days Inn Houston,15.375,8
109742,Hampton Inn Houston Northwest,14.0,4
1212489,Candlewood Suites Houston Medical Center,30.0,2
108010,Comfort Inn East,20.5,4
240437,Country Inn & Suites Houston Hobby Airport,20.0,7
107859,Comfort Suites - Near the Galleria,13.75,8
1146180,Days Inn Houston,27.0,1
107994,Crossland Economy Studios - Houston - Northwest,30.0,1
107993,Crossland Economy Studios - Houston - West Oaks,9.0,1
107913,Extended Stay America - Houston - Galleria - Westheimer,13.0,1
223172,Red Roof Inn Houston West,17.5,2
124460,Comfort Suites Willowbrook / Technology Corridor,12.0,1
223144,Courtyard by Marriott Houston Northwest,17.0,5
98999,Courtyard Houston I-10 West/Energy Corridor,18.444444444444443,9
223150,"Hampton Inn Houston - I-10W, Energy Cor",11.428571428571429,7
223143,Courtyard Houston Intercontinental Airport,14.75,4
107834,Hyatt Place Houston/Greenspoint/IAH Airport,21.25,24
257022,BEST WESTERN Fountainview Inn & Suites Near Galleria,12.0,1
108148,Holiday Inn Houston Intercontinental Airport,23.133333333333333,15
107957,TownePlace Suites Central/Northwest Freeway,20.333333333333332,3
217746,Extended Stay America - Houston - Galleria - Uptown,17.416666666666668,12
107990,Extended Stay America - Houston - Greenway Plaza,18.285714285714285,7
109751,Hampton Inn - Brookhollow,20.22222222222222,9
1416435,TownePlace Suites Houston Intercontinental Airport,22.8,5
107844,Residence Inn Houston by The Galleria,19.764705882352942,17
223192,Extended Stay America - Houston - Med. Ctr. - Reliant Pk. - Braeswood Blvd.,19.88888888888889,9
108066,Crowne Plaza Hotel Houston- Medical Center,17.5,4
98997,Hilton Houston Southwest,15.84375,32
1549134,Houston Marriott South at Hobby Airport,25.0,2
223153,Hampton Inn & Suites Houston-Cypress Station,17.666666666666668,3
223152,Hampton Inn Houston - Willowbrook Mall,26.0,2
223165,Homewood Suites by Hilton Houston - Westchase,20.545454545454547,11
107783,Comfort Suites Bush Intercontinental Airport,15.777777777777779,18
98959,Holiday Inn Houston Reliant Park Area,17.285714285714285,28
108002,HYATT house Houston/Energy Corridor,25.470588235294116,17
99120,BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,19.181818181818183,11
240439,Hilton Garden Inn Houston / Bush Intercontinental Airport,18.0,18
268149,Courtyard by Marriott Houston Downtown,18.142857142857142,28
98987,Marriott Houston Airport at George Bush Intercontinental,18.895522388059703,67
98996,Hilton Houston Plaza/Medical Center,17.72,25
257507,Four Points by Sheraton Houston Southwest,16.71794871794872,39
