Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,29.3,10
108038,Hilton University of Houston,16.125,16
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,19.91304347826087,23
1158926,Hilton Garden Inn Houston Energy Corridor,27.866666666666667,30
107915,Drury Inn & Suites Houston Near The Galleria,20.75,16
1218737,La Quinta Inn & Suites Houston - Normandy,27.5,2
559491,Holiday Inn Express Houston East,22.75,4
266158,Super 8 Houston/Hobby Airport/I-45,18.0,3
108057,Residence Inn Houston Clear Lake,17.615384615384617,13
223137,La Quinta Inn Houston Northwest,18.4,5
1200103,Hotel Sorella CITYCENTRE,27.833333333333332,18
283873,"Hotel Icon, Autograph Collection",19.8125,128
107924,Courtyard by Marriott Houston Westchase,13.916666666666666,12
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,22.0,15
98920,Houston Marriott Westchase,19.2,35
98952,Four Seasons Hotel Houston,19.159420289855074,69
99081,Crowne Plaza Houston - Brookhollow,17.84,25
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
223158,Quality Inn & Suites West Chase,16.0,2
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
223164,Homewood Suites by Hilton Houston - Clear Lake,22.3,10
108149,Drury Inn & Suites Houston Hobby,21.73076923076923,26
585164,Residence Inn Houston West/Energy Corridor,25.0,6
99067,"Four Points by Sheraton Houston, Memorial City",23.214285714285715,14
99106,La Quinta Inn Houston Medical / Reliant Center,16.318181818181817,22
223154,Hampton Inn Houston - Near The Galleria,19.238095238095237,21
815515,Scottish Inns & Suites - Willowbrook,34.0,1
650546,Symphony Inn & Suites,19.0,1
596014,Staybridge Suites Houston West / Energy Corridor,29.285714285714285,7
223141,Comfort Suites Westchase,19.384615384615383,13
256700,Sun Suites of Hobby / Clearlake,19.125,8
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,17.5,6
108020,BEST WESTERN Heritage Inn,22.5,8
256702,Sun Suites Of Westchase,12.25,12
108150,Courtyard by Marriott Houston Hobby Airport,14.875,24
223149,Hampton Inn Houston Hobby Airport,16.4,5
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,1.0,1
486939,Hampton Inn & Suites Houston-Westchase,24.75,4
258635,Sun Suites Of Greenspoint,17.5,4
223148,Baymont Inn & Suites Houston,18.444444444444443,18
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.0,7
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,23.5,2
99132,Hilton Houston Westchase,21.785714285714285,28
98989,DoubleTree by Hilton Houston Hobby Airport,18.333333333333332,21
488773,Airport Inn And Suites,30.0,1
98940,Houston Inn and Suites,9.333333333333334,3
98962,Holiday Inn Houston Near The Galleria,15.2,15
239859,Studio 6 Houston Northwest,12.0,2
107846,Montecito Apartment Suites,20.0,1
223156,Comfort Inn Houston,12.8,10
107802,Econo Lodge,20.0,3
107903,Howard Johnson Express Inn - Houston,9.333333333333334,12
98976,Hotel Preet Northwest,4.8,5
596446,Texan Inn & Suites,26.0,1
266125,Hobby Inn and Suites,11.2,5
122746,Londale Hotel,21.333333333333332,3
226721,Studio 6 Houston - Westchase,4.0,1
142353,Econo Lodge Medical Center,11.0,5
107713,Ramada Houston Southwest,12.5,4
223135,Travelodge Houston - Intercontinental,14.6,5
107769,Fairfield Inn & Suites Houston I-45 North,10.666666666666666,3
223183,InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston,10.0,1
223184,InTown Suites Highway 290,6.5,2
239858,Studio 6 Houston-Hobby,21.333333333333332,3
98937,Astro Inn,2.0,1
239355,Super 8 Houston/I-10/Federal Road,10.25,4
107999,Quality Inn & Suites West - Energy Corridor,18.333333333333332,3
1146238,Value Place Airtex,30.0,1
244313,Motel 6 Houston - Westchase,24.0,2
73463,Downtowner Inn and Suites,19.428571428571427,7
99031,America's Inn,11.2,5
1382899,Value Place I-10 West,10.0,1
99051,Motel 6 Houston West - Katy,13.285714285714286,7
98972,Ramada Inn North Houston,10.7,10
239857,Studio 6 Houston - Spring,6.0,4
240481,Super 8 Motel - Houston/I-10W@Hwy6,6.2,5
247110,Quality Suites Bush/IAH Airport West,12.25,4
109734,Quality Inn & Suites Galleria/Westchase,14.833333333333334,6
98934,Knights Inn Houston,8.608695652173912,23
277895,Howard Johnson Clearlake,13.714285714285714,7
99013,Baymont Inn Houston Hobby Airport,14.95,20
244316,Studio 6 Houston West,29.5,2
73470,Greenway Inn & Suites,7.411764705882353,17
141893,Hampton Inn & Suites,10.533333333333333,15
108006,Quality Inn Houston,16.5,4
141902,Days Inn West Houston,10.444444444444445,9
244314,Motel 6 Houston Reliant Park,15.857142857142858,7
107911,Hotel 31 Houston Near the Galleria,12.318181818181818,22
244196,Preet Inn,10.0,2
240435,Red Carpet Inn Houston,6.5,4
99024,Venetian Inn & Suites Houston Airport,5.5,2
254040,Moonlight Inn and Suites,14.0,3
99101,Sheraton North Houston at George Bush Intercontinental,14.446808510638299,47
223182,InTown Suites Houston Intercontinental,2.0,1
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
649739,Camelot Inn & Suites,23.5,2
98986,Hospitality Inn,20.0,1
217739,Wellesley Suites Memorial,2.0,3
108029,Houston Days Inn Downtown / Medical Center,5.0,1
558038,Regency Inn & Suites,17.75,4
603138,Scottish Inn & Suites Houston - Eastex Freeway,6.0,1
98970,Brentwood Inn,9.0,5
107751,Knights Inn Houston Raceway/Bush Airport,17.0,2
240440,Passport Inn & Suites Houston,7.0,2
223138,Americas Best Value Classic Inn & Suites- Downtown,4.5,2
223194,Scottish Inn & Suites,13.25,4
292556,Holiday Inn Express Houston - Hobby Airport,14.307692307692308,13
98981,Holiday Inn Houston Southwest-Hwy 59S @ Beltway 8,17.333333333333332,3
98964,Holiday Inn Houston Hobby Airport,26.25,8
108145,Hotel Marquis,15.272727272727273,11
1484167,Palace Inn Sam Houston Parkway North,29.0,1
653244,Galleria Garden Hotel/Apartments,14.666666666666666,3
98936,Courtyard by Marriott Houston Brookhollow,19.636363636363637,11
223180,Comfort Inn Hwy. 290/NW,23.0,9
252340,Super 8 Houston /I-10 & 610,18.0,1
503400,BEST WESTERN PLUS Sam Houston Inn & Suites,28.333333333333332,3
99017,La Quinta Inn Houston East,14.25,4
108047,Rodeway Inn & Suites Hwy 290 NW,14.5,4
1514581,"Park Inn by Radisson, Houston North",11.166666666666666,6
223175,Red Roof Inn - Houston Northwest,18.0,2
1155392,Athens Hotel Suites,23.8,10
223157,Holiday Inn Express Northwest / Brookhollow,21.0,3
559409,Regency Suites Bush Airport,12.866666666666667,15
244310,Motel 6 Houston Hobby Airport,3.0,1
240483,Super 8 Houston / Brookhollow / NW,18.8,15
107930,Candlewood Suites Houston by the Galleria,16.785714285714285,14
108060,Candlewood Suites Houston/Clear Lake,19.333333333333332,3
240441,Red Carpet Inn Hobby Airport,8.5,2
223176,Residence Inn Intercontinental Airport at Greenspoint,16.285714285714285,7
258875,Comfort Suites,16.571428571428573,7
223140,Comfort Suites,21.25,4
99041,La Quinta Inn Houston Wilcrest,20.333333333333332,9
