Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,29.3,10
108038,Hilton University of Houston,16.38888888888889,18
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,19.91304347826087,23
1158926,Hilton Garden Inn Houston Energy Corridor,28.060606060606062,33
107915,Drury Inn & Suites Houston Near The Galleria,21.58823529411765,17
1218737,La Quinta Inn & Suites Houston - Normandy,27.5,2
559491,Holiday Inn Express Houston East,22.75,4
266158,Super 8 Houston/Hobby Airport/I-45,20.0,4
108057,Residence Inn Houston Clear Lake,17.615384615384617,13
223137,La Quinta Inn Houston Northwest,18.4,5
1200103,Hotel Sorella CITYCENTRE,28.92,25
283873,"Hotel Icon, Autograph Collection",19.876923076923077,130
107924,Courtyard by Marriott Houston Westchase,14.923076923076923,13
98920,Houston Marriott Westchase,19.710526315789473,38
98952,Four Seasons Hotel Houston,20.04,75
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,22.0,15
99081,Crowne Plaza Houston - Brookhollow,18.346153846153847,26
223158,Quality Inn & Suites West Chase,20.0,3
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
223164,Homewood Suites by Hilton Houston - Clear Lake,22.3,10
108149,Drury Inn & Suites Houston Hobby,22.14814814814815,27
585164,Residence Inn Houston West/Energy Corridor,25.0,6
99067,"Four Points by Sheraton Houston, Memorial City",23.333333333333332,15
223154,Hampton Inn Houston - Near The Galleria,20.391304347826086,23
99106,La Quinta Inn Houston Medical / Reliant Center,15.782608695652174,23
815515,Scottish Inns & Suites - Willowbrook,34.0,1
650546,Symphony Inn & Suites,19.0,1
596014,Staybridge Suites Houston West / Energy Corridor,29.285714285714285,7
223141,Comfort Suites Westchase,19.384615384615383,13
256700,Sun Suites of Hobby / Clearlake,19.125,8
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,17.5,6
108020,BEST WESTERN Heritage Inn,21.3,10
256702,Sun Suites Of Westchase,12.25,12
108150,Courtyard by Marriott Houston Hobby Airport,14.72,25
223149,Hampton Inn Houston Hobby Airport,16.4,5
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,1.0,1
486939,Hampton Inn & Suites Houston-Westchase,24.75,4
258635,Sun Suites Of Greenspoint,17.5,4
223148,Baymont Inn & Suites Houston,18.444444444444443,18
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.0,7
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,23.5,2
99132,Hilton Houston Westchase,21.3,30
98989,DoubleTree by Hilton Houston Hobby Airport,19.041666666666668,24
488773,Airport Inn And Suites,30.0,1
98940,Houston Inn and Suites,13.75,4
98962,Holiday Inn Houston Near The Galleria,15.2,15
239859,Studio 6 Houston Northwest,12.0,2
107846,Montecito Apartment Suites,20.0,1
