Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,28.583333333333332,12
108038,Hilton University of Houston,20.766666666666666,30
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,25.431818181818183,44
1158926,Hilton Garden Inn Houston Energy Corridor,27.92207792207792,77
1966350,The Westin Houston Memorial City,28.384615384615383,26
1200103,Hotel Sorella CITYCENTRE,28.951612903225808,124
107915,Drury Inn & Suites Houston Near The Galleria,25.288888888888888,45
1218737,La Quinta Inn & Suites Houston - Normandy,28.666666666666668,9
283873,"Hotel Icon, Autograph Collection",23.168141592920353,226
1866401,Holiday Inn Hotel-Houston Westchase,28.75,12
98952,Four Seasons Hotel Houston,24.122093023255815,172
559491,Holiday Inn Express Houston East,25.11111111111111,9
1630591,Crowne Plaza,28.75,4
1236706,Super 8 Houston Hobby Airport South,23.0,3
266158,Super 8 Houston/Hobby Airport/I-45,20.0,4
108057,Residence Inn Houston Clear Lake,19.555555555555557,18
223137,La Quinta Inn Houston Northwest,18.875,8
99081,Crowne Plaza Houston - Brookhollow,23.914285714285715,105
98920,Houston Marriott Westchase,22.13888888888889,72
240436,Carefree Inn Medical Center,25.27710843373494,83
107924,Courtyard by Marriott Houston Westchase,18.666666666666668,21
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,23.25,40
258636,Alden-Houston,22.861538461538462,195
223158,Quality Inn & Suites West Chase,18.75,4
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
1773009,Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road,26.1,10
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
108054,TownePlace Suites Houston Clear Lake,19.333333333333332,3
223164,Homewood Suites by Hilton Houston - Clear Lake,25.0,17
108149,Drury Inn & Suites Houston Hobby,22.897435897435898,39
585164,Residence Inn Houston West/Energy Corridor,27.727272727272727,11
223154,Hampton Inn Houston - Near The Galleria,22.313725490196077,51
99067,"Four Points by Sheraton Houston, Memorial City",25.4,30
107834,Hyatt Place Houston/Greenspoint/IAH Airport,22.585714285714285,70
99106,La Quinta Inn Houston Medical / Reliant Center,16.862068965517242,29
108148,Holiday Inn Houston Intercontinental Airport,25.764705882352942,68
815515,Scottish Inns & Suites - Willowbrook,34.0,1
650546,Symphony Inn & Suites,20.333333333333332,3
256700,Sun Suites of Hobby / Clearlake,16.833333333333332,18
596014,Staybridge Suites Houston West / Energy Corridor,28.1,10
223160,Days Inn And Suites Houston IAH Airport,4.5,2
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,15.083333333333334,12
223141,Comfort Suites Westchase,20.125,16
99004,Americas Best Value Inn-Texas Medical Center/Reliant Park,27.27777777777778,18
108020,BEST WESTERN Heritage Inn,21.3125,16
256702,Sun Suites Of Westchase,18.17391304347826,23
108150,Courtyard by Marriott Houston Hobby Airport,16.157894736842106,38
223149,Hampton Inn Houston Hobby Airport,18.46153846153846,13
266326,Super 8 Houston/Downtown/I-610,16.25,4
558146,Star Inn & Suites,14.0,2
486939,Hampton Inn & Suites Houston-Westchase,24.25,8
1636050,Americas Best Value Inn - Medical Center North,33.0,1
258635,Sun Suites Of Greenspoint,22.375,8
223148,Baymont Inn & Suites Houston,16.964285714285715,28
99132,Hilton Houston Westchase,22.529411764705884,51
98989,DoubleTree by Hilton Houston Hobby Airport,21.53191489361702,47
107884,Americas Best Value Inn & Suites - Houston/Northwest,13.3,10
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,19.666666666666668,6
1155392,Athens Hotel Suites,24.106382978723403,47
1514581,"Park Inn by Radisson, Houston North",20.133333333333333,30
98964,Holiday Inn Houston Hobby Airport,22.1,20
