Hotel ID,Hotel Name,Total Rating,Overall Customers
100610,Marriott Seattle Sea-Tac Airport,5.0,2
115754,SpringHill Suites Seattle Downtown/South Lake Union,2.6666666666666665,3
123036,Hampton Inn & Suites Seattle Downtown,12.0,2
122985,La Hacienda Motel,1.0,1
122994,Everspring Inn,1.0,1
100513,Continental Plaza Seattle,4.0,1
224833,Commodore Hotel,1.1666666666666667,6
100506,Hotel Seattle,3.3333333333333335,3
100617,Hilton Seattle Airport & Conference Center,5.0,1
72586,BEST WESTERN PLUS Executive Inn,3.5714285714285716,7
124269,Clarion Hotel Seattle Airport,1.0,2
224835,Days Inn Town Center Hotel Seattle,1.0,1
112434,Eighth Avenue Inn,1.0,3
100508,Kings Inn,2.4,10
100584,Seattle Pacific Hotel,2.5,4
122998,The College Inn,7.5,4
224860,Travelodge Sea-Tac Airport North,1.0,1
100554,Renaissance Seattle Hotel,7.222222222222222,9
100560,Hilton Seattle,2.5,4
123004,Holiday Inn Express Seattle City Center,3.75,8
100561,Quality Inn & Suites Seattle,2.5,4
100597,Doubletree by Hilton Seattle Airport,3.5,2
100505,Warwick Seattle Hotel,4.0,3
100574,Travelodge Seattle by the Space Needle,2.4,5
100602,Embassy Suites Seattle - Tacoma International Airport,5.0,1
100586,W Seattle,2.4,5
100537,Inn at Queen Anne,4.2727272727272725,11
100619,Radisson Hotel Seattle Airport,2.6666666666666665,3
100547,Executive Hotel Pacific,4.25,16
224843,La Quinta Inn & Suites Seattle Sea-Tac,4.0,1
100564,Sixth Avenue Inn,6.0,3
123003,Homewood Suites Seattle-Downtown,5.454545454545454,11
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,5.0,3
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,3.0,1
100540,MarQueen Hotel,3.5833333333333335,12
123021,Silver Cloud Inn - University,5.0,2
258824,Mediterranean Inn,5.666666666666667,9
100589,Roosevelt Hotel,3.4444444444444446,9
100509,Ace Hotel,2.7,10
217807,La Quinta Inn & Suites Seattle Downtown,3.0,2
268228,Marriott Waterfront Seattle,8.777777777777779,9
100527,Crowne Plaza Seattle Downtown Area,3.5,2
100544,Moore Hotel,7.0,11
112429,The Paramount Hotel,4.0,4
252350,Watertown Hotel Seattle,18.0,3
115755,"Hotel Deca, Seattle",6.333333333333333,6
72572,BEST WESTERN PLUS Pioneer Square Hotel,6.222222222222222,9
100581,University Inn Seattle,4.5,2
123022,Silver Cloud Inn - Lake Union,7.833333333333333,6
100585,Hotel Vintage Park - a Kimpton Hotel,7.333333333333333,12
100570,The Westin Seattle,6.444444444444445,9
224783,Grand Hyatt Seattle,10.0,15
112412,Alexis Hotel - a Kimpton Hotel,4.833333333333333,6
100567,The Edgewater Hotel Seattle,2.25,4
100542,Mayflower Park,3.888888888888889,9
100504,Hotel Monaco Seattle - a Kimpton Hotel,7.545454545454546,11
281828,The Fairmont Olympic Seattle,4.333333333333333,6
100562,Sheraton Seattle Hotel,4.571428571428571,7
100507,Inn at the Market,4.8,5
