Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,2.6666666666666665,3
123036,Hampton Inn & Suites Seattle Downtown,4.0,1
224833,Commodore Hotel,1.0,4
100506,Hotel Seattle,1.0,2
100617,Hilton Seattle Airport & Conference Center,5.0,1
72586,BEST WESTERN PLUS Executive Inn,4.0,1
124269,Clarion Hotel Seattle Airport,1.0,1
100584,Seattle Pacific Hotel,2.0,2
122998,The College Inn,5.0,2
100508,Kings Inn,3.0,1
100560,Hilton Seattle,2.0,1
100561,Quality Inn & Suites Seattle,2.5,2
123004,Holiday Inn Express Seattle City Center,4.0,3
100574,Travelodge Seattle by the Space Needle,2.5,2
100554,Renaissance Seattle Hotel,3.5,2
100586,W Seattle,2.0,2
100537,Inn at Queen Anne,2.5,2
100547,Executive Hotel Pacific,3.0,9
100564,Sixth Avenue Inn,1.0,1
123003,Homewood Suites Seattle-Downtown,4.0,2
100540,MarQueen Hotel,2.6,5
100589,Roosevelt Hotel,3.6,5
100509,Ace Hotel,3.0,3
258824,Mediterranean Inn,3.0,1
100527,Crowne Plaza Seattle Downtown Area,3.0,1
252350,Watertown Hotel Seattle,5.0,1
115755,"Hotel Deca, Seattle",4.5,2
112429,The Paramount Hotel,3.0,1
72572,BEST WESTERN PLUS Pioneer Square Hotel,5.0,2
100581,University Inn Seattle,5.0,1
100544,Moore Hotel,4.333333333333333,3
100585,Hotel Vintage Park - a Kimpton Hotel,5.0,1
100570,The Westin Seattle,9.0,4
224783,Grand Hyatt Seattle,9.5,4
112412,Alexis Hotel - a Kimpton Hotel,5.0,2
100567,The Edgewater Hotel Seattle,1.0,2
100542,Mayflower Park,4.333333333333333,3
100504,Hotel Monaco Seattle - a Kimpton Hotel,4.5,2
281828,The Fairmont Olympic Seattle,5.0,2
100562,Sheraton Seattle Hotel,5.0,2
100507,Inn at the Market,4.5,2
