Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,16.338461538461537,65
123036,Hampton Inn & Suites Seattle Downtown,19.70731707317073,41
100610,Marriott Seattle Sea-Tac Airport,15.838709677419354,31
122985,La Hacienda Motel,6.25,4
290883,Panama Hotel,11.666666666666666,6
122994,Everspring Inn,3.0,2
100513,Continental Plaza Seattle,12.5,2
606357,Admiral Bed and Breakfast,25.5,2
224833,Commodore Hotel,2.272727272727273,11
100531,Executive Extended Stay Suites and Hotel,2.4,5
253306,Jet Motel,10.0,5
224835,Days Inn Town Center Hotel Seattle,11.513513513513514,37
123032,Marco Polo Motel,21.5,2
100617,Hilton Seattle Airport & Conference Center,14.813953488372093,43
243759,Motel 6 Seattle Sea-Tac Airport South,16.5,2
100506,Hotel Seattle,8.578947368421053,19
72586,BEST WESTERN PLUS Executive Inn,14.117647058823529,34
100584,Seattle Pacific Hotel,7.026315789473684,38
124269,Clarion Hotel Seattle Airport,7.791666666666667,24
216847,Days Inn Seattle North,6.666666666666667,6
557193,Ramada Limited Tukwila/SeaTac,7.8,15
112434,Eighth Avenue Inn,10.64,25
100600,Econo Lodge SeaTac Airport,16.5,2
126402,BEST WESTERN Airport Executel,15.176470588235293,34
124270,Days Inn South Seattle,13.761904761904763,21
100508,Kings Inn,6.444444444444445,27
123029,Motel 6 Seattle South,18.0,1
244041,Motel 6 Seattle Airport,7.0,1
122998,The College Inn,11.928571428571429,14
224860,Travelodge Sea-Tac Airport North,7.5,10
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,20.7,20
100577,Travelodge Seattle University,8.363636363636363,11
100538,Inn at Virginia Mason,11.875,8
223938,Courtyard by Marriott Seattle Downtown / Lake Union,14.357142857142858,28
124044,Hotel Nexus Seattle,14.384615384615385,13
100537,Inn at Queen Anne,11.677966101694915,59
100554,Renaissance Seattle Hotel,13.125,80
100505,Warwick Seattle Hotel,14.978260869565217,92
217798,Red Roof Inn Seattle Airport - SEATAC,11.521739130434783,23
100560,Hilton Seattle,10.666666666666666,42
123004,Holiday Inn Express Seattle City Center,15.05084745762712,59
100586,W Seattle,16.154929577464788,142
123037,Georgetown Inn,8.333333333333334,3
100597,Doubletree by Hilton Seattle Airport,15.132352941176471,68
100561,Quality Inn & Suites Seattle,11.75,60
578306,Inn at El Gaucho,21.238095238095237,42
100574,Travelodge Seattle by the Space Needle,12.029411764705882,34
217795,Coast Gateway Hotel,13.761904761904763,21
100602,Embassy Suites Seattle - Tacoma International Airport,15.636363636363637,11
100587,Hotel Max,18.34862385321101,109
123013,University Motel Suites,10.0,3
223219,Holiday Inn Seattle,13.476190476190476,21
72579,BEST WESTERN Loyal Inn,19.11764705882353,17
100547,Executive Hotel Pacific,10.949367088607595,79
100619,Radisson Hotel Seattle Airport,14.365853658536585,41
100564,Sixth Avenue Inn,10.857142857142858,70
224843,La Quinta Inn & Suites Seattle Sea-Tac,15.85,20
123003,Homewood Suites Seattle-Downtown,11.5625,48
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,19.142857142857142,21
275251,Red Lion Hotel on Fifth Avenue Seattle,16.758064516129032,62
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,16.3125,16
112437,Red Lion Hotel Seattle Airport,12.705882352941176,34
258824,Mediterranean Inn,16.838461538461537,130
100540,MarQueen Hotel,13.625,64
582371,Silver Cloud Hotel Stadium,22.454545454545453,22
100589,Roosevelt Hotel,13.36,50
123021,Silver Cloud Inn - University,15.923076923076923,13
100544,Moore Hotel,15.419354838709678,155
100509,Ace Hotel,14.444444444444445,45
268228,Marriott Waterfront Seattle,16.21904761904762,105
100527,Crowne Plaza Seattle Downtown Area,16.791666666666668,96
281658,Silver Cloud Hotel - Broadway,18.05,40
217807,La Quinta Inn & Suites Seattle Downtown,15.342857142857143,35
224856,Residence Inn Seattle Downtown/Lake Union,21.046511627906977,43
100570,The Westin Seattle,14.650887573964496,169
252350,Watertown Hotel Seattle,18.024242424242424,165
115755,"Hotel Deca, Seattle",16.07792207792208,77
100581,University Inn Seattle,21.17391304347826,46
112429,The Paramount Hotel,11.192307692307692,26
123022,Silver Cloud Inn - Lake Union,18.074380165289256,121
72572,BEST WESTERN PLUS Pioneer Square Hotel,14.595238095238095,42
100585,Hotel Vintage Park - a Kimpton Hotel,16.25263157894737,95
100569,The Sorrento Hotel,16.377777777777776,45
224783,Grand Hyatt Seattle,18.201438848920862,139
112412,Alexis Hotel - a Kimpton Hotel,12.897058823529411,68
100567,The Edgewater Hotel Seattle,14.690140845070422,71
613399,Hotel 1000,22.636363636363637,44
100542,Mayflower Park,16.701149425287355,87
100565,Hotel Andra,16.526785714285715,112
100504,Hotel Monaco Seattle - a Kimpton Hotel,17.666666666666668,105
281828,The Fairmont Olympic Seattle,18.12987012987013,77
614244,Pan Pacific Seattle,21.5,34
100562,Sheraton Seattle Hotel,16.65680473372781,169
100507,Inn at the Market,19.03448275862069,87
