Hotel ID,Hotel Name,Total Rating,Overall Customers
115754,SpringHill Suites Seattle Downtown/South Lake Union,17.75862068965517,87
1101223,Belltown Inn,24.0,3
123036,Hampton Inn & Suites Seattle Downtown,21.34285714285714,70
100610,Marriott Seattle Sea-Tac Airport,16.170731707317074,41
122985,La Hacienda Motel,9.571428571428571,7
290883,Panama Hotel,12.285714285714286,7
122994,Everspring Inn,3.0,2
100513,Continental Plaza Seattle,12.5,2
606357,Admiral Bed and Breakfast,25.5,2
224833,Commodore Hotel,2.272727272727273,11
224835,Days Inn Town Center Hotel Seattle,12.377777777777778,45
253306,Jet Motel,12.5,8
100531,Executive Extended Stay Suites and Hotel,2.4,5
100617,Hilton Seattle Airport & Conference Center,16.56923076923077,65
112434,Eighth Avenue Inn,11.605263157894736,38
1130160,Baroness Hotel,1.0,1
123032,Marco Polo Motel,19.166666666666668,6
243759,Motel 6 Seattle Sea-Tac Airport South,17.75,4
72586,BEST WESTERN PLUS Executive Inn,16.528301886792452,53
100506,Hotel Seattle,8.541666666666666,24
100584,Seattle Pacific Hotel,7.767857142857143,56
72598,Comfort Inn & Suites Seattle,14.4,5
124269,Clarion Hotel Seattle Airport,10.771428571428572,35
557193,Ramada Limited Tukwila/SeaTac,8.85,20
216847,Days Inn Seattle North,8.875,8
126402,BEST WESTERN Airport Executel,16.408163265306122,49
100600,Econo Lodge SeaTac Airport,9.571428571428571,7
124270,Days Inn South Seattle,14.0,27
100508,Kings Inn,6.722222222222222,36
224860,Travelodge Sea-Tac Airport North,7.894736842105263,19
123029,Motel 6 Seattle South,19.0,2
122998,The College Inn,11.947368421052632,19
244041,Motel 6 Seattle Airport,11.666666666666666,3
100538,Inn at Virginia Mason,14.727272727272727,11
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,20.956521739130434,23
100577,Travelodge Seattle University,9.555555555555555,18
223938,Courtyard by Marriott Seattle Downtown / Lake Union,15.033333333333333,30
124044,Hotel Nexus Seattle,14.681818181818182,22
100505,Warwick Seattle Hotel,16.594202898550726,138
100537,Inn at Queen Anne,13.08235294117647,85
100554,Renaissance Seattle Hotel,14.05607476635514,107
100586,W Seattle,17.47422680412371,194
123004,Holiday Inn Express Seattle City Center,15.822784810126583,79
217798,Red Roof Inn Seattle Airport - SEATAC,11.5625,32
100560,Hilton Seattle,13.054545454545455,55
100597,Doubletree by Hilton Seattle Airport,17.612244897959183,98
123037,Georgetown Inn,8.333333333333334,3
578306,Inn at El Gaucho,21.114754098360656,61
100561,Quality Inn & Suites Seattle,13.529411764705882,85
100587,Hotel Max,18.60674157303371,178
217795,Coast Gateway Hotel,15.96875,32
100602,Embassy Suites Seattle - Tacoma International Airport,19.15,20
100574,Travelodge Seattle by the Space Needle,13.23913043478261,46
123013,University Motel Suites,11.2,5
223219,Holiday Inn Seattle,14.818181818181818,33
72579,BEST WESTERN Loyal Inn,18.37037037037037,27
100547,Executive Hotel Pacific,12.151785714285714,112
100619,Radisson Hotel Seattle Airport,17.06896551724138,58
100564,Sixth Avenue Inn,11.770114942528735,87
224843,La Quinta Inn & Suites Seattle Sea-Tac,17.285714285714285,28
123003,Homewood Suites Seattle-Downtown,13.746031746031745,63
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,19.36,25
275251,Red Lion Hotel on Fifth Avenue Seattle,18.091954022988507,87
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,16.46153846153846,26
112437,Red Lion Hotel Seattle Airport,14.577777777777778,45
258824,Mediterranean Inn,18.269005847953217,171
100540,MarQueen Hotel,15.346153846153847,78
582371,Silver Cloud Hotel Stadium,23.941176470588236,51
100544,Moore Hotel,17.22613065326633,199
100589,Roosevelt Hotel,13.455882352941176,68
123021,Silver Cloud Inn - University,17.571428571428573,21
100509,Ace Hotel,16.7,70
268228,Marriott Waterfront Seattle,18.240875912408757,137
100527,Crowne Plaza Seattle Downtown Area,17.341463414634145,123
100570,The Westin Seattle,16.829787234042552,235
281658,Silver Cloud Hotel - Broadway,18.8,55
224856,Residence Inn Seattle Downtown/Lake Union,22.481012658227847,79
217807,La Quinta Inn & Suites Seattle Downtown,16.982456140350877,57
1174533,Homewood Suites Seattle Convention Center Pike Street,25.666666666666668,3
252350,Watertown Hotel Seattle,18.995305164319248,213
115755,"Hotel Deca, Seattle",16.79047619047619,105
100581,University Inn Seattle,22.328358208955223,67
123022,Silver Cloud Inn - Lake Union,19.225165562913908,151
112429,The Paramount Hotel,12.970588235294118,34
72572,BEST WESTERN PLUS Pioneer Square Hotel,16.142857142857142,56
100585,Hotel Vintage Park - a Kimpton Hotel,17.496,125
100569,The Sorrento Hotel,17.822580645161292,62
224783,Grand Hyatt Seattle,19.862433862433864,189
112412,Alexis Hotel - a Kimpton Hotel,17.5,110
100567,The Edgewater Hotel Seattle,17.23015873015873,126
613399,Hotel 1000,24.137254901960784,102
100542,Mayflower Park,19.2265625,128
100565,Hotel Andra,18.25531914893617,141
100504,Hotel Monaco Seattle - a Kimpton Hotel,19.37323943661972,142
281828,The Fairmont Olympic Seattle,19.69607843137255,102
614244,Pan Pacific Seattle,23.215686274509803,102
100562,Sheraton Seattle Hotel,18.840148698884757,269
100507,Inn at the Market,20.333333333333332,123
