Hotel ID,Hotel Name,Total Rating,Overall Customers
224865,"The Grove, West Seattle Inn",22.3125,16
1101223,Belltown Inn,23.88535031847134,157
115754,SpringHill Suites Seattle Downtown/South Lake Union,21.41062801932367,207
100610,Marriott Seattle Sea-Tac Airport,22.298342541436465,181
100617,Hilton Seattle Airport & Conference Center,23.109803921568627,255
72586,BEST WESTERN PLUS Executive Inn,22.75813953488372,215
126402,BEST WESTERN Airport Executel,23.08049535603715,323
123036,Hampton Inn & Suites Seattle Downtown,23.491017964071855,167
124264,Four Points by Sheraton Downtown Seattle Center,25.452830188679247,53
100554,Renaissance Seattle Hotel,21.9037558685446,426
100587,Hotel Max,23.31804281345566,654
100586,W Seattle,21.653136531365313,542
100505,Warwick Seattle Hotel,20.7855421686747,415
1648642,Star Motel,25.0,2
122985,La Hacienda Motel,11.555555555555555,18
290883,Panama Hotel,17.807692307692307,26
122994,Everspring Inn,12.25,12
216847,Days Inn Seattle North,14.147058823529411,34
100584,Seattle Pacific Hotel,9.88888888888889,117
100506,Hotel Seattle,10.159420289855072,69
100508,Kings Inn,10.142857142857142,77
124269,Clarion Hotel Seattle Airport,15.590909090909092,88
224835,Days Inn Town Center Hotel Seattle,13.092592592592593,54
100513,Continental Plaza Seattle,12.5,2
606357,Admiral Bed and Breakfast,20.0,3
224833,Commodore Hotel,2.5833333333333335,12
253306,Jet Motel,14.588235294117647,17
1130160,Baroness Hotel,16.9,10
100600,Econo Lodge SeaTac Airport,12.44,25
100531,Executive Extended Stay Suites and Hotel,11.444444444444445,9
2095177,Columbus Motor Inn,11.0,2
123032,Marco Polo Motel,19.36842105263158,19
112434,Eighth Avenue Inn,11.132075471698114,53
243759,Motel 6 Seattle Sea-Tac Airport South,20.210526315789473,19
72598,Comfort Inn & Suites Seattle,19.272727272727273,44
100597,Doubletree by Hilton Seattle Airport,22.755605381165918,446
557193,Ramada Limited Tukwila/SeaTac,15.0,61
100570,The Westin Seattle,22.737752161383284,1041
124270,Days Inn South Seattle,16.868852459016395,61
224860,Travelodge Sea-Tac Airport North,10.183333333333334,60
123029,Motel 6 Seattle South,17.2,10
122998,The College Inn,15.289473684210526,38
244041,Motel 6 Seattle Airport,18.555555555555557,18
223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,23.203125,64
100538,Inn at Virginia Mason,17.666666666666668,45
100577,Travelodge Seattle University,17.78787878787879,66
124044,Hotel Nexus Seattle,20.508196721311474,122
223938,Courtyard by Marriott Seattle Downtown / Lake Union,20.38095238095238,84
100537,Inn at Queen Anne,16.848039215686274,204
123004,Holiday Inn Express Seattle City Center,20.807377049180328,244
100564,Sixth Avenue Inn,20.789473684210527,323
217798,Red Roof Inn Seattle Airport - SEATAC,21.18032786885246,183
100561,Quality Inn & Suites Seattle,18.45019920318725,251
100560,Hilton Seattle,20.512690355329948,197
100547,Executive Hotel Pacific,19.229545454545455,440
100574,Travelodge Seattle by the Space Needle,18.39568345323741,139
123037,Georgetown Inn,26.863636363636363,44
578306,Inn at El Gaucho,21.923809523809524,105
100602,Embassy Suites Seattle - Tacoma International Airport,22.475728155339805,103
217795,Coast Gateway Hotel,21.82300884955752,113
223219,Holiday Inn Seattle,21.32051282051282,156
72579,BEST WESTERN Loyal Inn,21.99337748344371,151
100619,Radisson Hotel Seattle Airport,21.52173913043478,207
258824,Mediterranean Inn,20.465447154471544,492
123013,University Motel Suites,19.0,9
275251,Red Lion Hotel on Fifth Avenue Seattle,22.524926686217007,341
224843,La Quinta Inn & Suites Seattle Sea-Tac,19.130434782608695,69
123003,Homewood Suites Seattle-Downtown,21.305882352941175,170
112437,Red Lion Hotel Seattle Airport,23.124324324324323,185
100527,Crowne Plaza Seattle Downtown Area,22.33668341708543,398
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,22.325,80
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,23.630252100840337,119
582371,Silver Cloud Hotel Stadium,24.96934865900383,261
1724250,Courtyard Seattle Downtown/Pioneer Square,27.26923076923077,104
124048,Hotel Five Seattle,21.71698113207547,53
100544,Moore Hotel,20.580645161290324,403
100540,MarQueen Hotel,21.809756097560975,205
268228,Marriott Waterfront Seattle,22.38235294117647,374
100589,Roosevelt Hotel,22.276785714285715,224
100567,The Edgewater Hotel Seattle,22.794617563739376,706
123021,Silver Cloud Inn - University,23.0,69
100509,Ace Hotel,19.94326241134752,141
224856,Residence Inn Seattle Downtown/Lake Union,25.55,240
281658,Silver Cloud Hotel - Broadway,23.638743455497384,191
217807,La Quinta Inn & Suites Seattle Downtown,21.00657894736842,152
1174533,Homewood Suites Seattle Convention Center Pike Street,27.215139442231077,251
115755,"Hotel Deca, Seattle",23.91891891891892,407
100562,Sheraton Seattle Hotel,23.203742203742205,962
252350,Watertown Hotel Seattle,22.35978835978836,378
123022,Silver Cloud Inn - Lake Union,23.926650366748166,409
1755673,Hyatt Place Seattle/Downtown,27.564705882352943,170
72572,BEST WESTERN PLUS Pioneer Square Hotel,25.0875,320
677260,The Arctic Club Seattle - a DoubleTree by Hilton Hotel,27.338709677419356,310
100585,Hotel Vintage Park - a Kimpton Hotel,25.05128205128205,429
112429,The Paramount Hotel,23.58371040723982,221
100581,University Inn Seattle,24.91160220994475,181
224783,Grand Hyatt Seattle,24.64855072463768,552
1200603,Hyatt At Olive 8,27.82247191011236,445
100569,The Sorrento Hotel,25.711026615969583,263
1152288,Four Seasons Hotel Seattle,28.439330543933053,239
112412,Alexis Hotel - a Kimpton Hotel,26.840077071290946,519
100565,Hotel Andra,25.045267489711936,486
613399,Hotel 1000,27.796039603960395,505
100542,Mayflower Park,25.741410488245933,553
1723585,The Maxwell Hotel Seattle,28.41737288135593,472
1199588,Cedarbrook Lodge,29.29230769230769,650
614244,Pan Pacific Seattle,27.582938388625593,633
100504,Hotel Monaco Seattle - a Kimpton Hotel,26.420774647887324,568
281828,The Fairmont Olympic Seattle,25.6242774566474,519
100507,Inn at the Market,27.872309899569583,697
