Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,January,239947,TownePlace Suites Phoenix Metrocenter Mall,25.0,1,1,68
2005,January,74652,Extended Stay America - Phoenix - Midtown,18.0,1,2,67
2005,January,119335,Extended Stay America - Phoenix - Airport - E. Oak St.,15.0,1,3,66
2005,January,74583,Fairfield Inn Phoenix Airport,15.0,1,4,65
2005,January,286542,Marriott's Canyon Villas,14.0,2,5,64
2005,January,119353,Homewood Suites by Hilton Phoenix-Metro Center,12.0,2,6,63
2005,January,1160848,Holiday Inn Phoenix-Midtown,9.5,2,7,62
2005,January,119330,Arizona Royal Villa Resort,9.5,2,8,61
2005,January,74626,Legacy Golf Resort,9.153846153846153,13,9,60
2005,January,112154,Embassy Suites Hotel Phoenix Biltmore,8.8,5,10,59
2005,January,73768,Days Inn I-17 & Thomas,8.0,4,11,58
2005,January,74845,Comfort Inn West,7.75,4,12,57
2005,January,239800,Hilton Garden Inn Phoenix,7.571428571428571,7,13,56
2005,January,218100,InnPlace Hotel Phoenix North,7.0,12,14,55
2005,January,224250,Embassy Suites Phoenix-Scottsdale,7.0,13,15,54
2005,January,223860,JW Marriott Desert Ridge Resort & Spa Phoenix,6.950819672131147,61,16,53
2005,January,73855,Hyatt Regency Phoenix,6.75,8,17,52
2005,January,74834,Comfort Suites Phoenix / MetroCenter,6.5,2,18,51
2005,January,73943,Royal Palms Resort and Spa,6.333333333333333,15,19,50
2005,January,115482,DoubleTree Suites by Hilton Phoenix,5.8,10,20,49
2005,January,73957,Pointe Hilton Squaw Peak Resort,5.518518518518518,54,21,48
2005,January,277997,Pointe Hilton Tapatio Cliffs Resort,5.193548387096774,62,22,47
2005,January,75662,Holiday Inn Express Phoenix Airport (University Drive),5.0,3,23,46
2005,January,224733,Candlewood Suites Phoenix,5.0,3,24,45
2005,January,74927,La Quinta Inn & Suites Phoenix Chandler,5.0,1,25,44
2005,January,119363,Country Inn & Suites Deer Valley,5.0,1,26,43
2005,January,115484,Arizona Biltmore,4.7894736842105265,19,27,42
2005,January,112162,Hotel San Carlos,4.642857142857143,14,28,41
2005,January,73727,Grace Inn Phoenix,4.5,2,29,40
2005,January,74657,Extended Stay America - Phoenix - Metro Center,4.333333333333333,3,30,39
2005,January,115483,Hampton Inn & Suites Phoenix Airport South,4.333333333333333,3,31,38
2005,January,73799,Embassy Suites Hotel Phoenix-North,4.25,4,32,37
2005,January,119366,Budget Suites of America,4.0,1,33,36
2005,January,73950,Sleep Inn Airport,4.0,2,34,35
2005,January,119355,Coast Phoenix Sky Harbor Hotel,4.0,1,35,34
2005,January,74545,Residence Inn Phoenix Airport,4.0,1,36,33
2005,January,119356,Hampton Inn Phoenix Airport North,4.0,1,37,32
2005,January,564652,Radisson Hotel Phoenix Airport,4.0,2,38,31
2005,January,73947,Sheraton Crescent Hotel,4.0,4,39,30
2005,January,112179,The Ritz-Carlton Phoenix,3.8,5,40,29
2005,January,73869,Motel 6 Phoenix - Black Canyon,3.0,2,41,28
2005,January,248145,Sierra Grande Suites,3.0,1,42,27
2005,January,239801,Studio 6 Phoenix - Deer Valley,3.0,1,43,26
2005,January,74805,Fairfield Inn Phoenix North,3.0,2,44,25
2005,January,271801,Crowne Plaza Phoenix,3.0,3,45,24
2005,January,73751,Courtyard by Marriott Phoenix North,3.0,1,46,23
2005,January,73821,Hilton Phoenix Airport,3.0,2,47,22
2005,January,73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,3.0,1,48,21
2005,January,74548,Marriott Phoenix Airport,3.0,2,49,20
2005,January,73810,Hampton Inn Phoenix Midtown (Downtown Area),3.0,1,50,19
2005,January,119351,Homewood Suites by Hilton Phoenix - Biltmore,3.0,3,51,18
2005,January,73739,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,3.0,1,52,17
2005,January,223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,2.5,2,53,16
2005,January,74687,Ramada Inn Phoenix Downtown,2.5,2,54,15
2005,January,74758,La Quinta Inn Phoenix - Arcadia,2.5,2,55,14
2005,January,74744,Super 8 Motel - Phoenix West I-10,2.0,1,56,13
2005,January,73859,La Quinta Inn Phoenix Thomas Road,2.0,1,57,12
2005,January,73718,Lexington Hotel Central Phoenix,2.0,6,58,11
2005,January,73792,Embassy Suites Phoenix Airport at 24th Street,2.0,4,59,10
2005,January,313465,Super 8 Phoenix Downtown,2.0,1,60,9
