Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,January,88151,Comfort Inn & Suites N at Pyramids,20.0,1,1,58
2005,January,78887,Clarion Hotel & Conference Center,14.0,2,2,57
2005,January,91602,La Quinta Inn Indianapolis Airport Lynhurst,12.5,2,3,56
2005,January,91454,Comfort Inn,12.0,2,4,55
2005,January,223363,Staybridge Suites Indianapolis - Fishers,9.333333333333334,3,5,54
2005,January,88188,Holiday Inn Indianapolis North/Carmel,9.0,1,6,53
2005,January,91607,Fairfield Inn & Suites Indianapolis Airport,8.5,2,7,52
2005,January,111623,Embassy Suites Indianapolis North,8.5,4,8,51
2005,January,88155,Embassy Suites Indianapolis - Downtown,7.166666666666667,6,9,50
2005,January,111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,7.142857142857143,7,10,49
2005,January,91484,Caribbean Cove Hotel & Conference Center,6.8,5,11,48
2005,January,91462,Courtyard Indianapolis South,6.5,2,12,47
2005,January,223830,Marriott Indianapolis Downtown,6.4,5,13,46
2005,January,141972,Quality Inn & Suites East,6.25,4,14,45
2005,January,91474,TownePlace Suites Indianapolis NW,6.0,1,15,44
2005,January,88164,Crowne Plaza Indianapolis Downtown (Union Station),5.285714285714286,7,16,43
2005,January,88186,The Westin Indianapolis,5.142857142857143,7,17,42
2005,January,288193,The Suites at 14 West,5.0,2,18,41
2005,January,120813,Country Inn & Suites By Carlson Indianapolis-South,5.0,1,19,40
2005,January,120783,Columbia Club,5.0,1,20,39
2005,January,91577,Residence Inn Indianapolis Downtown on the Canal,5.0,1,21,38
2005,January,287572,Hilton Garden Inn Indianapolis Downtown,4.714285714285714,7,22,37
2005,January,88173,Omni Severin Hotel,4.578947368421052,19,23,36
2005,January,91450,Holiday Inn Express Indianapolis South,4.5,2,24,35
2005,January,91519,Courtyard by Marriott Indianapolis Carmel,4.5,2,25,34
2005,January,88168,Hyatt Regency Indianapolis,4.111111111111111,9,26,33
2005,January,91490,Super 8 Indianapolis College Park,4.0,1,27,32
2005,January,251963,Super 8 Indianapolis South,4.0,1,28,31
2005,January,91458,Fairfield Inn Indianapolis South,4.0,1,29,30
2005,January,91609,Courtyard by Marriott Indianapolis Airport,4.0,1,30,29
2005,January,631598,Candlewood Suites Indianapolis Dwtn Medical Dist,4.0,1,31,28
2005,January,91509,Marriott Indianapolis North,4.0,3,32,27
2005,January,223827,Fairfield Inn & Suites Indianapolis East,4.0,1,33,26
2005,January,91558,La Quinta Inn Indianapolis East,4.0,1,34,25
2005,January,120794,Hyatt Place Indianapolis Airport,4.0,1,35,24
2005,January,224259,Hilton Indianapolis,4.0,2,36,23
2005,January,265878,Radisson Hotel Indianapolis Airport,3.9,10,37,22
2005,January,88171,Marriott Indianapolis East,3.5,4,38,21
2005,January,144736,Dollar Inn - Indianapolis,3.142857142857143,7,39,20
2005,January,88172,Hilton Indianapolis North,3.111111111111111,9,40,19
2005,January,240139,Super 8 Indianapolis/Emerson,3.0,1,41,18
2005,January,120810,Dollar Inn - Castleton,3.0,1,42,17
2005,January,91506,The Gatehouse Suites Indianapolis,3.0,2,43,16
2005,January,224793,La Quinta Inn Indianapolis Airport Executive Drive,3.0,2,44,15
2005,January,91441,Baymont Inn & Suites Indianapolis South,2.5,2,45,14
2005,January,91446,Bridgemont Residence Inn,2.0,1,46,13
2005,January,268139,America's Best Inn & Suites Indianapolis / Airport Area,2.0,1,47,12
2005,January,224820,Red Roof Inn Indianapolis North - College Park,2.0,1,48,11
2005,January,224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,1.6666666666666667,3,49,10
2005,January,88153,Best Inn,1.5,2,50,9
2005,January,91573,University Place Conference Center & Hotel Indianapolis,1.5,2,51,8
2005,January,124015,Cavalier's Resort & Conference Center,1.1666666666666667,6,52,7
2005,January,582205,Rodeway Inn,1.0,4,53,6
2005,January,91436,Kings Inn of Indianapolis,1.0,1,54,5
2005,January,278566,Americas Best Value Inn-Indy East,1.0,1,55,4
2005,January,120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,1.0,1,56,3
2005,January,530673,La Quinta Inn Indianapolis North at Pyramids,1.0,2,57,2
2005,January,120798,Jameson Inn of Indy Castleton,1.0,3,58,1
2005,February,88151,Comfort Inn & Suites N at Pyramids,20.0,1,1,0
2005,February,78887,Clarion Hotel & Conference Center,14.0,2,2,0
2005,February,91602,La Quinta Inn Indianapolis Airport Lynhurst,12.5,2,3,0
2005,February,91454,Comfort Inn,12.0,2,4,0
2005,February,223363,Staybridge Suites Indianapolis - Fishers,11.25,4,5,0
2005,February,91484,Caribbean Cove Hotel & Conference Center,9.142857142857142,7,6,5
2005,February,88188,Holiday Inn Indianapolis North/Carmel,9.0,1,7,-1
2005,February,223830,Marriott Indianapolis Downtown,8.666666666666666,6,8,5
2005,February,91607,Fairfield Inn & Suites Indianapolis Airport,8.5,2,9,-2
2005,February,111623,Embassy Suites Indianapolis North,8.5,4,10,-2
2005,February,111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,7.142857142857143,7,11,-1
2005,February,224820,Red Roof Inn Indianapolis North - College Park,7.0,2,12,36
2005,February,88168,Hyatt Regency Indianapolis,6.7272727272727275,11,13,13
2005,February,88155,Embassy Suites Indianapolis - Downtown,6.571428571428571,7,14,-5
2005,February,91462,Courtyard Indianapolis South,6.5,2,15,-3
2005,February,141972,Quality Inn & Suites East,6.25,4,16,-2
2005,February,91474,TownePlace Suites Indianapolis NW,6.0,1,17,-2
2005,February,88164,Crowne Plaza Indianapolis Downtown (Union Station),5.285714285714286,7,18,-2
2005,February,88186,The Westin Indianapolis,5.142857142857143,7,19,-2
2005,February,288193,The Suites at 14 West,5.0,2,20,-2
2005,February,120813,Country Inn & Suites By Carlson Indianapolis-South,5.0,1,21,-2
2005,February,120783,Columbia Club,5.0,1,22,-2
2005,February,91577,Residence Inn Indianapolis Downtown on the Canal,5.0,1,23,-2
2005,February,287572,Hilton Garden Inn Indianapolis Downtown,4.714285714285714,7,24,-2
2005,February,88173,Omni Severin Hotel,4.578947368421052,19,25,-2
2005,February,91450,Holiday Inn Express Indianapolis South,4.5,2,26,-2
2005,February,91519,Courtyard by Marriott Indianapolis Carmel,4.5,2,27,-2
2005,February,91509,Marriott Indianapolis North,4.2,5,28,4
2005,February,91490,Super 8 Indianapolis College Park,4.0,2,29,-2
2005,February,251963,Super 8 Indianapolis South,4.0,1,30,-2
2005,February,91458,Fairfield Inn Indianapolis South,4.0,1,31,-2
2005,February,91609,Courtyard by Marriott Indianapolis Airport,4.0,1,32,-2
2005,February,631598,Candlewood Suites Indianapolis Dwtn Medical Dist,4.0,1,33,-2
2005,February,223827,Fairfield Inn & Suites Indianapolis East,4.0,1,34,-1
2005,February,91558,La Quinta Inn Indianapolis East,4.0,1,35,-1
2005,February,120794,Hyatt Place Indianapolis Airport,4.0,1,36,-1
2005,February,224259,Hilton Indianapolis,4.0,2,37,-1
2005,February,265878,Radisson Hotel Indianapolis Airport,3.9,10,38,-1
2005,February,88171,Marriott Indianapolis East,3.5,4,39,-1
2005,February,144736,Dollar Inn - Indianapolis,3.142857142857143,7,40,-1
2005,February,88172,Hilton Indianapolis North,3.111111111111111,9,41,-1
2005,February,240139,Super 8 Indianapolis/Emerson,3.0,1,42,-1
2005,February,120810,Dollar Inn - Castleton,3.0,1,43,-1
2005,February,91506,The Gatehouse Suites Indianapolis,3.0,2,44,-1
2005,February,224793,La Quinta Inn Indianapolis Airport Executive Drive,3.0,2,45,-1
2005,February,91441,Baymont Inn & Suites Indianapolis South,2.5,2,46,-1
2005,February,91446,Bridgemont Residence Inn,2.0,1,47,-1
2005,February,268139,America's Best Inn & Suites Indianapolis / Airport Area,2.0,1,48,-1
2005,February,224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,1.6666666666666667,3,49,0
2005,February,88153,Best Inn,1.5,2,50,0
2005,February,91573,University Place Conference Center & Hotel Indianapolis,1.5,2,51,0
2005,February,124015,Cavalier's Resort & Conference Center,1.1666666666666667,6,52,0
2005,February,582205,Rodeway Inn,1.0,4,53,0
2005,February,91436,Kings Inn of Indianapolis,1.0,1,54,0
2005,February,278566,Americas Best Value Inn-Indy East,1.0,1,55,0
2005,February,120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,1.0,1,56,0
2005,February,530673,La Quinta Inn Indianapolis North at Pyramids,1.0,2,57,0
2005,February,120798,Jameson Inn of Indy Castleton,1.0,3,58,0
2005,March,91599,Residence Inn Indianapolis Airport,24.0,1,1,62
2005,March,224832,Wingate by Wyndham Indianapolis Northwest,24.0,1,2,61
2005,March,88151,Comfort Inn & Suites N at Pyramids,20.0,1,3,-2
