Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,January,240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,13.25,4,1,44
2005,January,95250,Homewood Suites by Hilton Columbus / Worthington,13.0,2,2,43
2005,January,223750,Hampton Inn and Suites Columbus Downtown,12.5,2,3,42
2005,January,122237,Red Roof Inn Columbus Downtown - Convention Center,11.0,2,4,41
2005,January,223775,Fairfield Inn & Suites Columbus OSU,10.0,3,5,40
2005,January,95288,Sheraton Suites Columbus,8.777777777777779,9,6,39
2005,January,95247,Crowne Plaza Columbus Downtown,8.75,4,7,38
2005,January,223223,Staybridge Suites Columbus Airport,7.0,3,8,37
2005,January,258165,Drury Inn & Suites Columbus Convention Center,7.0,7,9,36
2005,January,246937,The Blackwell,5.0,2,10,35
2005,January,223753,Country Inn & Suites Columbus-West,5.0,1,11,34
2005,January,114725,German Village Inn,5.0,1,12,33
2005,January,101646,TownePlace Suites Columbus Airport Gahanna,5.0,1,13,32
2005,January,223728,Extended Stay Deluxe - Columbus - Polaris,5.0,1,14,31
2005,January,95265,Columbus Airport Marriott,5.0,1,15,30
2005,January,223748,Hilton Columbus at Easton,5.0,1,16,29
2005,January,217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,4.833333333333333,6,17,28
2005,January,95258,Crowne Plaza Columbus North,4.5,2,18,27
2005,January,101657,Extended Stay America - Columbus - Worthington,4.0,1,19,26
2005,January,223737,Residence Inn Columbus Worthington,4.0,1,20,25
2005,January,223765,Varsity Inn OSU North,4.0,2,21,24
2005,January,75212,BEST WESTERN PLUS Columbus North,4.0,1,22,23
2005,January,75221,Comfort Inn & Suites,4.0,1,23,22
2005,January,95230,Courtyard by Marriott Columbus Worthington,4.0,1,24,21
2005,January,278081,Courtyard Columbus Easton,4.0,1,25,20
2005,January,223760,Courtyard by Marriott Columbus Downtown,3.6666666666666665,3,26,19
2005,January,122229,Renaissance Columbus Downtown Hotel,2.75,4,27,18
2005,January,95261,Holiday Inn Columbus Downtown Capital Square,2.6,5,28,17
2005,January,101649,Columbus Inn & Suites,2.25,4,29,16
2005,January,95253,Hyatt Regency Columbus,2.090909090909091,11,30,15
2005,January,101665,Knights Inn Downtown Columbus,2.0,2,31,14
2005,January,95263,Ramada Inn East Airport,2.0,1,32,13
2005,January,95264,Days Inn Columbus North,2.0,3,33,12
2005,January,123898,Super 8 Motel Columbus,2.0,1,34,11
2005,January,101641,Hampton Inn Columbus Airport,2.0,1,35,10
