Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,January,248601,Holiday Inn Express American Way/Airport,21.0,1,1,58
2005,January,122584,Comfort Suites I-240 East-Airport,20.0,1,2,57
2005,January,223758,Drury Inn & Suites Memphis Northeast,12.8,5,3,56
2005,January,98039,Memphis Marriott Downtown,11.0,7,4,55
2005,January,105151,La Quinta Inn & Suites Memphis Primacy Parkway,10.0,3,5,54
2005,January,105192,Sleep Inn at Court Square,8.785714285714286,14,6,53
2005,January,223103,Hampton Inn & Suites Memphis - Beale Street,8.0625,16,7,52
2005,January,295791,Hilton Memphis,8.0,13,8,51
2005,January,105238,Staybridge Suites Memphis - Poplar Ave East,7.0,8,9,50
2005,January,223774,Madison Hotel,6.153846153846154,26,10,49
2005,January,105281,Comfort Inn Downtown,5.869565217391305,23,11,48
2005,January,146517,DoubleTree by Hilton Hotel Memphis,5.571428571428571,7,12,47
2005,January,125626,Elvis Presley's Heartbreak Hotel,5.48,50,13,46
2005,January,105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,5.0,1,14,45
2005,January,98077,Residence Inn Memphis East,5.0,4,15,44
2005,January,105191,Sleep Inn - Memphis / American Way,5.0,1,16,43
2005,January,111860,Homestead Studio Suites - Memphis - Poplar Avenue,5.0,1,17,42
2005,January,258813,Homewood Suites Memphis - Hacks Cross,5.0,1,18,41
2005,January,268694,Holiday Inn Express Memphis Southwind,5.0,1,19,40
2005,January,223752,Days Inn Memphis at Graceland,4.733333333333333,15,20,39
2005,January,105180,Hampton Inn & Suites Memphis-Shady Grove Road,4.666666666666667,3,21,38
2005,January,223886,SpringHill Suites Memphis Downtown,4.6,5,22,37
2005,January,114850,The Peabody Memphis,4.5777777777777775,45,23,36
2005,January,310409,Residence Inn Memphis Downtown,4.5,4,24,35
2005,January,111855,Embassy Suites Memphis,4.416666666666667,12,25,34
2005,January,98034,Holiday Inn Express - Medical Center Midtown,4.2,5,26,33
2005,January,249713,Holiday Inn Univ of Memphis,4.0,2,27,32
2005,January,105177,Hampton Inn Memphis - Southwind,4.0,1,28,31
2005,January,98021,Courtyard by Marriott Memphis East/Park Avenue,4.0,1,29,30
2005,January,224306,Homewood Suites by Hilton Memphis-Poplar,4.0,2,30,29
2005,January,672520,Hyatt Place Memphis Primacy Parkway,3.8,5,31,28
2005,January,98058,Memphis Marriott,3.6,5,32,27
2005,January,223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,3.3333333333333335,3,33,26
2005,January,223744,Baymont Inn & Suites Memphis East,3.3333333333333335,3,34,25
2005,January,220079,Holiday Inn Select Memphis - Downtown (Beale Street),3.2222222222222223,9,35,24
2005,January,105190,SpringHill Suites Memphis East / Galleria,3.0,1,36,23
2005,January,105247,Extended Stay America - Memphis - Mt. Moriah,3.0,1,37,22
2005,January,239353,Colonial Inn & Suites,3.0,1,38,21
2005,January,98036,Hampton Inn Memphis-Poplar,3.0,2,39,20
2005,January,122561,Motel 6 Memphis East,3.0,1,40,19
2005,January,122542,Alberts Cabins,3.0,1,41,18
2005,January,98048,Artisan Hotel Memphis,3.0,9,42,17
2005,January,105241,Fairfield Inn Memphis I-240 & Perkins,3.0,2,43,16
2005,January,105170,Memphis-I-240 at Thousand Oaks Hotel,3.0,1,44,15
2005,January,122581,Fairfield Inn & Suites Memphis East,3.0,1,45,14
2005,January,98019,Motel 6 Memphis - Graceland,2.3333333333333335,3,46,13
2005,January,98031,La Quinta Inn & Suites Memphis Airport Graceland,2.0,2,47,12
2005,January,122567,Homestead Studio Suites - Memphis - Airport,2.0,1,48,11
2005,January,98045,Memphis Marriott East,2.0,1,49,10
2005,January,98020,Courtyard by Marriott Memphis Airport,2.0,3,50,9
2005,January,105194,Econo Lodge,1.5,2,51,8
2005,January,98037,Airport Inn,1.0,5,52,7
2005,January,105198,Guest Inn,1.0,1,53,6
2005,January,122494,American Inn Memphis,1.0,1,54,5
2005,January,98071,Motel 6 Memphis Downtown,1.0,1,55,4
2005,January,98023,Knights Inn Airport,1.0,1,56,3
2005,January,98018,Motel 6,1.0,2,57,2
2005,January,105222,Super 8 Memphis / Downtown / Graceland Area,1.0,3,58,1
2005,February,248601,Holiday Inn Express American Way/Airport,21.0,1,1,0
2005,February,122584,Comfort Suites I-240 East-Airport,20.0,1,2,0
2005,February,223758,Drury Inn & Suites Memphis Northeast,12.8,5,3,0
2005,February,105151,La Quinta Inn & Suites Memphis Primacy Parkway,12.75,4,4,1
2005,February,98039,Memphis Marriott Downtown,10.25,8,5,-1
2005,February,105192,Sleep Inn at Court Square,8.785714285714286,14,6,0
2005,February,223103,Hampton Inn & Suites Memphis - Beale Street,8.0625,16,7,0
2005,February,295791,Hilton Memphis,8.0,13,8,0
2005,February,105238,Staybridge Suites Memphis - Poplar Ave East,7.0,8,9,0
2005,February,223744,Baymont Inn & Suites Memphis East,6.5,4,10,24
2005,February,223774,Madison Hotel,6.153846153846154,26,11,-1
2005,February,125626,Elvis Presley's Heartbreak Hotel,6.092592592592593,54,12,1
2005,February,105281,Comfort Inn Downtown,5.869565217391305,23,13,-2
2005,February,146517,DoubleTree by Hilton Hotel Memphis,5.25,8,14,-2
2005,February,105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,5.0,1,15,-1
2005,February,105191,Sleep Inn - Memphis / American Way,5.0,1,16,0
2005,February,111860,Homestead Studio Suites - Memphis - Poplar Avenue,5.0,1,17,0
2005,February,258813,Homewood Suites Memphis - Hacks Cross,5.0,1,18,0
2005,February,268694,Holiday Inn Express Memphis Southwind,5.0,1,19,0
2005,February,223752,Days Inn Memphis at Graceland,4.733333333333333,15,20,0
2005,February,105180,Hampton Inn & Suites Memphis-Shady Grove Road,4.666666666666667,3,21,0
2005,February,223886,SpringHill Suites Memphis Downtown,4.6,5,22,0
2005,February,310409,Residence Inn Memphis Downtown,4.5,4,23,1
2005,February,111855,Embassy Suites Memphis,4.416666666666667,12,24,1
2005,February,114850,The Peabody Memphis,4.395833333333333,48,25,-2
2005,February,98077,Residence Inn Memphis East,4.2,5,26,-11
2005,February,98034,Holiday Inn Express - Medical Center Midtown,4.2,5,27,-1
2005,February,249713,Holiday Inn Univ of Memphis,4.0,2,28,-1
2005,February,105177,Hampton Inn Memphis - Southwind,4.0,1,29,-1
2005,February,98021,Courtyard by Marriott Memphis East/Park Avenue,4.0,1,30,-1
2005,February,224306,Homewood Suites by Hilton Memphis-Poplar,4.0,2,31,-1
2005,February,672520,Hyatt Place Memphis Primacy Parkway,3.8,5,32,-1
2005,February,98058,Memphis Marriott,3.6666666666666665,6,33,-1
2005,February,223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,3.3333333333333335,3,34,-1
2005,February,220079,Holiday Inn Select Memphis - Downtown (Beale Street),3.2222222222222223,9,35,0
2005,February,105190,SpringHill Suites Memphis East / Galleria,3.0,1,36,0
2005,February,105247,Extended Stay America - Memphis - Mt. Moriah,3.0,1,37,0
2005,February,239353,Colonial Inn & Suites,3.0,1,38,0
2005,February,98036,Hampton Inn Memphis-Poplar,3.0,2,39,0
2005,February,122561,Motel 6 Memphis East,3.0,1,40,0
2005,February,122542,Alberts Cabins,3.0,1,41,0
2005,February,98048,Artisan Hotel Memphis,3.0,9,42,0
2005,February,105241,Fairfield Inn Memphis I-240 & Perkins,3.0,2,43,0
2005,February,105170,Memphis-I-240 at Thousand Oaks Hotel,3.0,1,44,0
2005,February,122581,Fairfield Inn & Suites Memphis East,3.0,1,45,0
2005,February,98019,Motel 6 Memphis - Graceland,2.3333333333333335,3,46,0
2005,February,98031,La Quinta Inn & Suites Memphis Airport Graceland,2.0,2,47,0
2005,February,122567,Homestead Studio Suites - Memphis - Airport,2.0,1,48,0
2005,February,98045,Memphis Marriott East,2.0,1,49,0
2005,February,98020,Courtyard by Marriott Memphis Airport,2.0,3,50,0
2005,February,105194,Econo Lodge,1.5,2,51,0
2005,February,98037,Airport Inn,1.0,5,52,0
2005,February,105198,Guest Inn,1.0,1,53,0
2005,February,122494,American Inn Memphis,1.0,1,54,0
2005,February,98071,Motel 6 Memphis Downtown,1.0,1,55,0
2005,February,98023,Knights Inn Airport,1.0,1,56,0
2005,February,98018,Motel 6,1.0,2,57,0
2005,February,105222,Super 8 Memphis / Downtown / Graceland Area,1.0,3,58,0
2005,February,1485414,Vista Inn Motel Downtown Memphis,1.0,1,59,1
2005,March,122584,Comfort Suites I-240 East-Airport,20.0,1,1,1
2005,March,223758,Drury Inn & Suites Memphis Northeast,14.166666666666666,6,2,1
2005,March,105151,La Quinta Inn & Suites Memphis Primacy Parkway,12.75,4,3,1
2005,March,248601,Holiday Inn Express American Way/Airport,12.5,2,4,-3
2005,March,98045,Memphis Marriott East,10.5,2,5,44
2005,March,98039,Memphis Marriott Downtown,10.25,8,6,-1
2005,March,105192,Sleep Inn at Court Square,8.785714285714286,14,7,-1
2005,March,223103,Hampton Inn & Suites Memphis - Beale Street,8.235294117647058,17,8,-1
2005,March,295791,Hilton Memphis,8.0,13,9,-1
2005,March,310409,Residence Inn Memphis Downtown,7.833333333333333,6,10,13
2005,March,105238,Staybridge Suites Memphis - Poplar Ave East,7.0,8,11,-2
2005,March,125626,Elvis Presley's Heartbreak Hotel,6.620689655172414,58,12,0
2005,March,223744,Baymont Inn & Suites Memphis East,6.5,4,13,-3
2005,March,105281,Comfort Inn Downtown,6.24,25,14,-1
2005,March,223774,Madison Hotel,6.153846153846154,26,15,-4
2005,March,111855,Embassy Suites Memphis,6.0,13,16,8
2005,March,223752,Days Inn Memphis at Graceland,5.4375,16,17,3
2005,March,146517,DoubleTree by Hilton Hotel Memphis,5.25,8,18,-4
2005,March,105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,5.0,1,19,-4
2005,March,105191,Sleep Inn - Memphis / American Way,5.0,1,20,-4
2005,March,111860,Homestead Studio Suites - Memphis - Poplar Avenue,5.0,1,21,-4
2005,March,268694,Holiday Inn Express Memphis Southwind,5.0,1,22,-3
2005,March,114850,The Peabody Memphis,4.846153846153846,52,23,2
2005,March,105180,Hampton Inn & Suites Memphis-Shady Grove Road,4.666666666666667,3,24,-3
2005,March,223886,SpringHill Suites Memphis Downtown,4.6,5,25,-3
2005,March,98077,Residence Inn Memphis East,4.2,5,26,0
2005,March,98034,Holiday Inn Express - Medical Center Midtown,4.2,5,27,0
2005,March,249713,Holiday Inn Univ of Memphis,4.0,2,28,0
2005,March,105177,Hampton Inn Memphis - Southwind,4.0,1,29,0
2005,March,98021,Courtyard by Marriott Memphis East/Park Avenue,4.0,1,30,0
2005,March,224306,Homewood Suites by Hilton Memphis-Poplar,4.0,2,31,0
2005,March,672520,Hyatt Place Memphis Primacy Parkway,3.8,5,32,0
2005,March,98058,Memphis Marriott,3.6666666666666665,6,33,0
2005,March,223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,3.3333333333333335,3,34,0
2005,March,220079,Holiday Inn Select Memphis - Downtown (Beale Street),3.2222222222222223,9,35,0
2005,March,105190,SpringHill Suites Memphis East / Galleria,3.0,2,36,0
2005,March,105247,Extended Stay America - Memphis - Mt. Moriah,3.0,1,37,0
2005,March,239353,Colonial Inn & Suites,3.0,1,38,0
2005,March,98036,Hampton Inn Memphis-Poplar,3.0,2,39,0
2005,March,122561,Motel 6 Memphis East,3.0,1,40,0
2005,March,122542,Alberts Cabins,3.0,1,41,0
2005,March,98048,Artisan Hotel Memphis,3.0,9,42,0
2005,March,105241,Fairfield Inn Memphis I-240 & Perkins,3.0,2,43,0
2005,March,105170,Memphis-I-240 at Thousand Oaks Hotel,3.0,1,44,0
2005,March,258813,Homewood Suites Memphis - Hacks Cross,3.0,2,45,-27
2005,March,122581,Fairfield Inn & Suites Memphis East,3.0,1,46,-1
2005,March,98019,Motel 6 Memphis - Graceland,2.3333333333333335,3,47,-1
2005,March,98031,La Quinta Inn & Suites Memphis Airport Graceland,2.0,2,48,-1
2005,March,122567,Homestead Studio Suites - Memphis - Airport,2.0,1,49,-1
2005,March,98020,Courtyard by Marriott Memphis Airport,2.0,3,50,0
2005,March,105194,Econo Lodge,1.5,2,51,0
2005,March,98037,Airport Inn,1.0,5,52,0
2005,March,105198,Guest Inn,1.0,1,53,0
2005,March,122494,American Inn Memphis,1.0,1,54,0
2005,March,98071,Motel 6 Memphis Downtown,1.0,1,55,0
2005,March,98023,Knights Inn Airport,1.0,1,56,0
