Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,January,223217,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,19.0,1,1,76
2005,January,224856,Residence Inn Seattle Downtown/Lake Union,14.8,5,2,75
2005,January,72579,BEST WESTERN Loyal Inn,14.0,1,3,74
2005,January,217795,Coast Gateway Hotel,13.0,4,4,73
2005,January,252350,Watertown Hotel Seattle,11.11111111111111,27,5,72
2005,January,100538,Inn at Virginia Mason,11.0,3,6,71
2005,January,281658,Silver Cloud Hotel - Broadway,10.285714285714286,7,7,70
2005,January,100565,Hotel Andra,9.631578947368421,19,8,69
2005,January,100544,Moore Hotel,9.264705882352942,34,9,68
2005,January,223938,Courtyard by Marriott Seattle Downtown / Lake Union,9.0,2,10,67
2005,January,112412,Alexis Hotel - a Kimpton Hotel,8.96,25,11,66
2005,January,100581,University Inn Seattle,8.8,5,12,65
2005,January,224783,Grand Hyatt Seattle,8.676470588235293,34,13,64
2005,January,100617,Hilton Seattle Airport & Conference Center,8.571428571428571,7,14,63
2005,January,123022,Silver Cloud Inn - Lake Union,8.538461538461538,26,15,62
2005,January,100504,Hotel Monaco Seattle - a Kimpton Hotel,8.26086956521739,23,16,61
2005,January,217807,La Quinta Inn & Suites Seattle Downtown,8.25,4,17,60
2005,January,258824,Mediterranean Inn,8.03225806451613,31,18,59
2005,January,115755,"Hotel Deca, Seattle",7.947368421052632,19,19,58
2005,January,100527,Crowne Plaza Seattle Downtown Area,7.944444444444445,18,20,57
2005,January,268228,Marriott Waterfront Seattle,7.620689655172414,29,21,56
2005,January,123036,Hampton Inn & Suites Seattle Downtown,7.6,5,22,55
2005,January,100569,The Sorrento Hotel,7.5,6,23,54
2005,January,557193,Ramada Limited Tukwila/SeaTac,7.0,3,24,53
2005,January,100567,The Edgewater Hotel Seattle,6.894736842105263,19,25,52
2005,January,100554,Renaissance Seattle Hotel,6.7272727272727275,22,26,51
2005,January,100507,Inn at the Market,6.666666666666667,9,27,50
2005,January,100505,Warwick Seattle Hotel,6.647058823529412,17,28,49
2005,January,100610,Marriott Seattle Sea-Tac Airport,6.5,4,29,48
2005,January,275251,Red Lion Hotel on Fifth Avenue Seattle,6.428571428571429,7,30,47
2005,January,122998,The College Inn,6.4,5,31,46
2005,January,100586,W Seattle,6.333333333333333,30,32,45
2005,January,112429,The Paramount Hotel,6.083333333333333,12,33,44
2005,January,224835,Days Inn Town Center Hotel Seattle,6.0,9,34,43
